product_gmid,unified_price,resell_price,tender_price
268012,0,0,0
268013,0,0,0
268014,0,0,0
268015,0,0,0
307013,0,0,0
321233,0,0,0
475982,0,0,0
475871,0,0,0
475875,0,0,0
196680,0,0,0
196681,0,0,0
281498,0,0,0
298801,0,0,0
281499,0,0,0
281500,0,0,0
354883,0,0,0
475991,0,0,0
636858,0,0,0
551042,0,0,0
551043,0,0,0
247831,0,0,0
247832,0,0,0
628074,0,0,0
554523,0,0,0
323487,0,0,0
298682,0,0,0
320343,0,0,0
320344,0,0,0
305481,0,0,0
305479,0,0,0
630791,0,0,0
624625,0,0,0
630763,0,0,0
625765,0,0,0
625767,0,0,0
240939,0,0,0
611732,0,0,0
627331,0,0,0
627329,0,0,0
627332,0,0,0
627328,0,0,0
624480,0,0,0
627314,0,0,0
627327,0,0,0
626997,0,0,0
627326,0,0,0
626630,0,0,0
292037,0,0,0
627330,0,0,0
624479,0,0,0
626998,0,0,0
627160,0,0,0
528888,0,0,0
592593,0,0,0
671538,0,0,0
541078,0,0,0
224938,0,0,0
664051,0,0,0
67933,0,0,0
678014,0,0,0
642941,0,0,0
476956,0,0,0
476963,0,0,0
476955,0,0,0
476957,0,0,0
476954,0,0,0
665371,0,0,0
285368,0,0,0
476933,0,0,0
625681,0,0,0
518938,0,0,0
311168,0,0,0
311166,0,0,0
293665,0,0,0
239907,0,0,0
292174,0,0,0
436433,0,0,0
214082,0,0,0
346666,0,0,0
245296,0,0,0
592685,0,0,0
592684,0,0,0
476712,0,0,0
289137,0,0,0
289138,0,0,0
287552,0,0,0
287550,0,0,0
287553,0,0,0
592705,0,0,0
609071,0,0,0
671597,0,0,0
264980,0,0,0
311122,0,0,0
632425,0,0,0
298689,0,0,0
374872,0,0,0
298691,0,0,0
298693,0,0,0
628390,0,0,0
628389,0,0,0
628391,0,0,0
639164,0,0,0
540717,0,0,0
172136,0,0,0
671609,0,0,0
639608,0,0,0
624622,0,0,0
571696,0,0,0
187750,0,0,0
187747,0,0,0
479387,0,0,0
479530,0,0,0
323470,0,0,0
323473,0,0,0
355560,0,0,0
408003,0,0,0
624775,0,0,0
624774,0,0,0
298698,0,0,0
636827,0,0,0
298711,0,0,0
39171,0,0,0
310637,0,0,0
413689,0,0,0
414074,0,0,0
671637,0,0,0
671639,0,0,0
269069,0,0,0
489540,0,0,0
489541,0,0,0
666655,0,0,0
679231,0,0,0
666654,0,0,0
646799,0,0,0
627667,0,0,0
627060,0,0,0
627061,0,0,0
627062,0,0,0
168279,0,0,0
612011,0,0,0
633072,0,0,0
476947,0,0,0
306216,0,0,0
306217,0,0,0
306218,0,0,0
306219,0,0,0
477825,0,0,0
624773,0,0,0
666653,0,0,0
635403,0,0,0
662889,0,0,0
663982,0,0,0
663983,0,0,0
663984,0,0,0
663985,0,0,0
663986,0,0,0
663981,0,0,0
663996,0,0,0
663995,0,0,0
663998,0,0,0
663992,0,0,0
639628,0,0,0
671212,0,0,0
516219,0,0,0
539185,0,0,0
539183,0,0,0
539181,0,0,0
539182,0,0,0
405018,0,0,0
405039,0,0,0
405069,0,0,0
291024,0,0,0
222428,0,0,0
694156,0,0,0
545747,0,0,0
663987,0,0,0
554510,0,0,0
646872,0,0,0
297260,0,0,0
671563,0,0,0
671568,0,0,0
698117,0,0,0
679090,0,0,0
698115,0,0,0
684820,0,0,0
224948,0,0,0
476714,0,0,0
626499,0,0,0
241634,0,0,0
636825,0,0,0
650737,0,0,0
663988,0,0,0
475652,0,0,0
475862,0,0,0
475987,0,0,0
475988,0,0,0
476664,0,0,0
476624,0,0,0
663994,0,0,0
264433,0,0,0
407073,0,0,0
355496,0,0,0
665401,0,0,0
650739,0,0,0
627595,0,0,0
627597,0,0,0
261604,0,0,0
261605,0,0,0
632896,0,0,0
261608,0,0,0
261610,0,0,0
306220,0,0,0
306222,0,0,0
306225,0,0,0
306226,0,0,0
502299,0,0,0
476009,0,0,0
477015,0,0,0
477034,0,0,0
476043,0,0,0
415360,0,0,0
615902,0,0,0
250798,0,0,0
251781,0,0,0
477787,0,0,0
477044,0,0,0
643215,0,0,0
643216,0,0,0
641849,0,0,0
67294,0,0,0
645815,0,0,0
626547,0,0,0
245298,0,0,0
352016,0,0,0
370351,0,0,0
407096,0,0,0
518946,0,0,0
505579,0,0,0
436418,0,0,0
213714,0,0,0
258746,0,0,0
312451,0,0,0
642931,0,0,0
506739,0,0,0
645820,0,0,0
645818,0,0,0
645819,0,0,0
645817,0,0,0
615926,0,0,0
263980,0,0,0
306632,0,0,0
651969,0,0,0
653312,0,0,0
696080,0,0,0
696079,0,0,0
652574,0,0,0
654229,0,0,0
653030,0,0,0
693896,0,0,0
651777,0,0,0
380567,0,0,0
62375,0,0,0
443925,0,0,0
648641,0,0,0
298685,0,0,0
667138,0,0,0
250800,0,0,0
371014,0,0,0
594660,0,0,0
592231,0,0,0
655846,0,0,0
242086,0,0,0
663419,0,0,0
686913,0,0,0
