country,product_gmid,unified_price,resale_price,tender_price,supply_price
CM,268012,0,0,0,0
CM,268013,0,0,0,0
CM,268014,0,0,0,0
CM,268015,0,0,0,0
CM,307013,0,0,0,0
CM,321233,0,0,0,0
CM,475982,0,0,0,0
CM,475871,0,0,0,0
CM,475875,0,0,0,0
CM,196680,0,0,0,0
CM,196681,0,0,0,0
CM,281498,0,0,0,0
CM,298801,0,0,0,0
CM,281499,0,0,0,0
CM,281500,0,0,0,0
CM,354883,0,0,0,0
CM,475991,0,0,0,0
CM,636858,0,0,0,0
CM,551042,0,0,0,0
CM,551043,0,0,0,0
CM,247831,0,0,0,0
CM,247832,0,0,0,0
CM,628074,0,0,0,0
CM,554523,0,0,0,0
CM,323487,0,0,0,0
CM,298682,0,0,0,0
CM,320343,0,0,0,0
CM,320344,0,0,0,0
CM,305481,0,0,0,0
CM,305479,0,0,0,0
CM,630791,0,0,0,0
CM,624625,0,0,0,0
CM,630763,0,0,0,0
CM,625765,0,0,0,0
CM,625767,0,0,0,0
CM,240939,0,0,0,0
CM,611732,0,0,0,0
CM,627331,0,0,0,0
CM,627329,0,0,0,0
CM,627332,0,0,0,0
CM,627328,0,0,0,0
CM,624480,0,0,0,0
CM,627314,0,0,0,0
CM,627327,0,0,0,0
CM,626997,0,0,0,0
CM,627326,0,0,0,0
CM,626630,0,0,0,0
CM,292037,0,0,0,0
CM,627330,0,0,0,0
CM,624479,0,0,0,0
CM,626998,0,0,0,0
CM,627160,0,0,0,0
CM,528888,0,0,0,0
CM,592593,0,0,0,0
CM,671538,0,0,0,0
CM,541078,0,0,0,0
CM,224938,0,0,0,0
CM,664051,0,0,0,0
CM,67933,0,0,0,0
CM,678014,0,0,0,0
CM,642941,0,0,0,0
CM,476956,0,0,0,0
CM,476963,0,0,0,0
CM,476955,0,0,0,0
CM,476957,0,0,0,0
CM,476954,0,0,0,0
CM,665371,0,0,0,0
CM,285368,0,0,0,0
CM,476933,0,0,0,0
CM,625681,0,0,0,0
CM,518938,0,0,0,0
CM,311168,0,0,0,0
CM,311166,0,0,0,0
CM,293665,0,0,0,0
CM,239907,0,0,0,0
CM,292174,0,0,0,0
CM,436433,0,0,0,0
CM,214082,0,0,0,0
CM,346666,0,0,0,0
CM,245296,0,0,0,0
CM,592685,0,0,0,0
CM,592684,0,0,0,0
CM,476712,0,0,0,0
CM,289137,0,0,0,0
CM,289138,0,0,0,0
CM,287552,0,0,0,0
CM,287550,0,0,0,0
CM,287553,0,0,0,0
CM,592705,0,0,0,0
CM,609071,0,0,0,0
CM,671597,0,0,0,0
CM,264980,0,0,0,0
CM,311122,0,0,0,0
CM,632425,0,0,0,0
CM,298689,0,0,0,0
CM,374872,0,0,0,0
CM,298691,0,0,0,0
CM,298693,0,0,0,0
CM,628390,0,0,0,0
CM,628389,0,0,0,0
CM,628391,0,0,0,0
CM,639164,0,0,0,0
CM,540717,0,0,0,0
CM,172136,0,0,0,0
CM,671609,0,0,0,0
CM,639608,0,0,0,0
CM,624622,0,0,0,0
CM,571696,0,0,0,0
CM,187750,0,0,0,0
CM,187747,0,0,0,0
CM,479387,0,0,0,0
CM,479530,0,0,0,0
CM,323470,0,0,0,0
CM,323473,0,0,0,0
CM,355560,0,0,0,0
CM,408003,0,0,0,0
CM,624775,0,0,0,0
CM,624774,0,0,0,0
CM,298698,0,0,0,0
CM,636827,0,0,0,0
CM,298711,0,0,0,0
CM,39171,0,0,0,0
CM,310637,0,0,0,0
CM,413689,0,0,0,0
CM,414074,0,0,0,0
CM,671637,0,0,0,0
CM,671639,0,0,0,0
CM,269069,0,0,0,0
CM,489540,0,0,0,0
CM,489541,0,0,0,0
CM,666655,0,0,0,0
CM,679231,0,0,0,0
CM,666654,0,0,0,0
CM,646799,0,0,0,0
CM,627667,0,0,0,0
CM,627060,0,0,0,0
CM,627061,0,0,0,0
CM,627062,0,0,0,0
CM,168279,0,0,0,0
CM,612011,0,0,0,0
CM,633072,0,0,0,0
CM,476947,0,0,0,0
CM,306216,0,0,0,0
CM,306217,0,0,0,0
CM,306218,0,0,0,0
CM,306219,0,0,0,0
CM,477825,0,0,0,0
CM,624773,0,0,0,0
CM,666653,0,0,0,0
CM,635403,0,0,0,0
CM,662889,0,0,0,0
CM,663982,0,0,0,0
CM,663983,0,0,0,0
CM,663984,0,0,0,0
CM,663985,0,0,0,0
CM,663986,0,0,0,0
CM,663981,0,0,0,0
CM,663996,0,0,0,0
CM,663995,0,0,0,0
CM,663998,0,0,0,0
CM,663992,0,0,0,0
CM,639628,0,0,0,0
CM,671212,0,0,0,0
CM,516219,0,0,0,0
CM,539185,0,0,0,0
CM,539183,0,0,0,0
CM,539181,0,0,0,0
CM,539182,0,0,0,0
CM,405018,0,0,0,0
CM,405039,0,0,0,0
CM,405069,0,0,0,0
CM,291024,0,0,0,0
CM,222428,0,0,0,0
CM,694156,0,0,0,0
CM,545747,0,0,0,0
CM,663987,0,0,0,0
CM,554510,0,0,0,0
CM,646872,0,0,0,0
CM,297260,0,0,0,0
CM,671563,0,0,0,0
CM,671568,0,0,0,0
CM,698117,0,0,0,0
CM,679090,0,0,0,0
CM,698115,0,0,0,0
CM,684820,0,0,0,0
CM,224948,0,0,0,0
CM,476714,0,0,0,0
CM,626499,0,0,0,0
CM,241634,0,0,0,0
CM,636825,0,0,0,0
CM,650737,0,0,0,0
CM,663988,0,0,0,0
CM,475652,0,0,0,0
CM,475862,0,0,0,0
CM,475987,0,0,0,0
CM,475988,0,0,0,0
CM,476664,0,0,0,0
CM,476624,0,0,0,0
CM,663994,0,0,0,0
CM,264433,0,0,0,0
CM,407073,0,0,0,0
CM,355496,0,0,0,0
CM,665401,0,0,0,0
CM,650739,0,0,0,0
CM,627595,0,0,0,0
CM,627597,0,0,0,0
CM,261604,0,0,0,0
CM,261605,0,0,0,0
CM,632896,0,0,0,0
CM,261608,0,0,0,0
CM,261610,0,0,0,0
CM,306220,0,0,0,0
CM,306222,0,0,0,0
CM,306225,0,0,0,0
CM,306226,0,0,0,0
CM,502299,0,0,0,0
CM,476009,0,0,0,0
CM,477015,0,0,0,0
CM,477034,0,0,0,0
CM,476043,0,0,0,0
CM,415360,0,0,0,0
CM,615902,0,0,0,0
CM,250798,0,0,0,0
CM,251781,0,0,0,0
CM,477787,0,0,0,0
CM,477044,0,0,0,0
CM,643215,0,0,0,0
CM,643216,0,0,0,0
CM,641849,0,0,0,0
CM,67294,0,0,0,0
CM,645815,0,0,0,0
CM,626547,0,0,0,0
CM,245298,0,0,0,0
CM,352016,0,0,0,0
CM,370351,0,0,0,0
CM,407096,0,0,0,0
CM,518946,0,0,0,0
CM,505579,0,0,0,0
CM,436418,0,0,0,0
CM,213714,0,0,0,0
CM,258746,0,0,0,0
CM,312451,0,0,0,0
CM,642931,0,0,0,0
CM,506739,0,0,0,0
CM,645820,0,0,0,0
CM,645818,0,0,0,0
CM,645819,0,0,0,0
CM,645817,0,0,0,0
CM,615926,0,0,0,0
CM,263980,0,0,0,0
CM,306632,0,0,0,0
CM,651969,0,0,0,0
CM,653312,0,0,0,0
CM,696080,0,0,0,0
CM,696079,0,0,0,0
CM,652574,0,0,0,0
CM,654229,0,0,0,0
CM,653030,0,0,0,0
CM,693896,0,0,0,0
CM,651777,0,0,0,0
CM,380567,0,0,0,0
CM,62375,0,0,0,0
CM,443925,0,0,0,0
CM,648641,0,0,0,0
CM,298685,0,0,0,0
CM,667138,0,0,0,0
CM,250800,0,0,0,0
CM,371014,0,0,0,0
CM,594660,0,0,0,0
CM,592231,0,0,0,0
CM,655846,0,0,0,0
CM,242086,0,0,0,0
CM,663419,0,0,0,0
CM,686913,0,0,0,0
