Month,Country,distributor,GMID,Product,Qty,Value,Source
1,KE,Laborex,698116,BIOFERON 305MG CAPS BL3x10,960,10000,EPDIS
1,KE,Laborex,698116,BIOFERON GEL BL3x10,0,10000,EPDIS
1,KE,Laborex,618677,ENTEROGERMINA 2B5ML SUSP/10,16000,10000,EPDIS
1,KE,Laborex,618677,ENTEROGERMINA 2M5ML SUSP BU/10,17589,10000,EPDIS
1,KE,Laborex,374872,ORELOX 200MG FILM COATED TAB10,1080,10000,EPDIS
1,KE,Laborex,407096,ELOXATIN 5MG/ML 20ML INJ VL1,10,10000,EPDIS
1,KE,Laborex,414074,TAXOTERE 80MG/4ML IV  INJ FL1,80,10000,EPDIS
1,KE,Laborex,636825,STILNOX 10MG TAB14,7200,10000,EPDIS
1,KE,Laborex,645820,AMARYL TABS 1MG 30'S,480,10000,EPDIS
1,KE,Laborex,516219,ALLSTAR PEN1,1182,10000,EPDIS
1,KE,Laborex,306632,TARGOCID 400MG INJ /1,320,10000,EPDIS
1,KE,Laborex,310637,TAVANIC 500MG TAB5,480,10000,EPDIS
1,KE,Laborex,222428,PLAVIX 75MG TAB28,192,10000,EPDIS
1,KE,Laborex,539181,APROVASC 300-10MG TAB BL4X7,234,10000,EPDIS
1,KE,Laborex,645817,FLAGYL TABS 400MG 100'S,900,10000,EPDIS
1,KE,Laborex,370351,ELOXATIN 5MG/ML 10ML INJ VL1,20,10000,EPDIS
1,KE,Laborex,476963,FLEMING 1200MG INJ VL/5,4940,10000,EPDIS
