country,distributor,customer,product_gmid,unified_price,resale_price,tender_price,special_resale,special_tender,supply_price,promotion
ET,distributor,customer,645820,0,0,0,0,0,0,non-promoted
ET,distributor,customer,645818,0,0,0,0,0,0,non-promoted
ET,distributor,customer,632896,0,0,0,0,0,0,non-promoted
ET,distributor,customer,645819,0,0,0,0,0,0,non-promoted
ET,distributor,customer,321233,0,0,0,0,0,0,non-promoted
ET,distributor,customer,307013,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475652,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475862,0,0,0,0,0,0,non-promoted
ET,distributor,customer,380567,0,0,0,0,0,0,non-promoted
ET,distributor,customer,539185,0,0,0,0,0,0,non-promoted
ET,distributor,customer,539183,0,0,0,0,0,0,non-promoted
ET,distributor,customer,539181,0,0,0,0,0,0,non-promoted
ET,distributor,customer,539182,0,0,0,0,0,0,non-promoted
ET,distributor,customer,196681,0,0,0,0,0,0,non-promoted
ET,distributor,customer,514930,0,0,0,0,0,0,non-promoted
ET,distributor,customer,515056,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373881,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373877,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373878,0,0,0,0,0,0,non-promoted
ET,distributor,customer,338356,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373879,0,0,0,0,0,0,non-promoted
ET,distributor,customer,341781,0,0,0,0,0,0,non-promoted
ET,distributor,customer,306725,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373875,0,0,0,0,0,0,non-promoted
ET,distributor,customer,213860,0,0,0,0,0,0,non-promoted
ET,distributor,customer,1,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373876,0,0,0,0,0,0,non-promoted
ET,distributor,customer,222,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477045,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475987,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475988,0,0,0,0,0,0,non-promoted
ET,distributor,customer,698116,0,0,0,0,0,0,non-promoted
ET,distributor,customer,679090,0,0,0,0,0,0,non-promoted
ET,distributor,customer,654229,0,0,0,0,0,0,non-promoted
ET,distributor,customer,651737,0,0,0,0,0,0,non-promoted
ET,distributor,customer,352016,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476959,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476936,0,0,0,0,0,0,non-promoted
ET,distributor,customer,652574,0,0,0,0,0,0,non-promoted
ET,distributor,customer,653030,0,0,0,0,0,0,non-promoted
ET,distributor,customer,651969,0,0,0,0,0,0,non-promoted
ET,distributor,customer,655022,0,0,0,0,0,0,non-promoted
ET,distributor,customer,655023,0,0,0,0,0,0,non-promoted
ET,distributor,customer,655024,0,0,0,0,0,0,non-promoted
