country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
MU,516219,0,0,0,0,non-promoted
MU,268012,0,0,0,0,non-promoted
MU,268013,0,0,0,0,non-promoted
MU,268014,0,0,0,0,non-promoted
MU,268015,0,0,0,0,non-promoted
MU,261604,0,0,0,0,non-promoted
MU,494156,0,0,0,0,non-promoted
MU,261605,0,0,0,0,non-promoted
MU,261610,0,0,0,0,non-promoted
MU,475649,0,0,0,0,non-promoted
MU,307013,0,0,0,0,non-promoted
MU,321233,0,0,0,0,non-promoted
MU,645820,0,0,0,0,non-promoted
MU,645818,0,0,0,0,non-promoted
MU,645819,0,0,0,0,non-promoted
MU,632896,0,0,0,0,non-promoted
MU,475652,0,0,0,0,non-promoted
MU,475862,0,0,0,0,non-promoted
MU,475982,0,0,0,0,non-promoted
MU,475871,0,0,0,0,non-promoted
MU,475875,0,0,0,0,non-promoted
MU,380567,0,0,0,0,non-promoted
MU,684820,0,0,0,0,non-promoted
MU,539185,0,0,0,0,non-promoted
MU,539183,0,0,0,0,non-promoted
MU,539181,0,0,0,0,non-promoted
MU,539182,0,0,0,0,non-promoted
MU,196680,0,0,0,0,non-promoted
MU,196681,0,0,0,0,non-promoted
MU,663419,0,0,0,0,non-promoted
MU,281498,0,0,0,0,non-promoted
MU,281499,0,0,0,0,non-promoted
MU,281500,0,0,0,0,non-promoted
MU,298801,0,0,0,0,non-promoted
MU,354883,0,0,0,0,non-promoted
MU,651772,0,0,0,0,non-promoted
MU,475987,0,0,0,0,non-promoted
MU,476931,0,0,0,0,non-promoted
MU,475991,0,0,0,0,non-promoted
MU,475988,0,0,0,0,non-promoted
MU,352016,0,0,0,0,non-promoted
MU,679090,0,0,0,0,non-promoted
MU,475994,0,0,0,0,non-promoted
MU,476949,0,0,0,0,non-promoted
MU,476950,0,0,0,0,non-promoted
MU,346667,0,0,0,0,non-promoted
MU,654229,0,0,0,0,non-promoted
MU,651891,0,0,0,0,non-promoted
MU,476959,0,0,0,0,non-promoted
MU,476938,0,0,0,0,non-promoted
MU,476936,0,0,0,0,non-promoted
MU,652574,0,0,0,0,non-promoted
MU,653030,0,0,0,0,non-promoted
MU,651969,0,0,0,0,non-promoted
MU,551042,0,0,0,0,non-promoted
MU,551043,0,0,0,0,non-promoted
MU,628074,0,0,0,0,non-promoted
MU,668290,0,0,0,0,non-promoted
MU,245298,0,0,0,0,non-promoted
MU,554510,0,0,0,0,non-promoted
MU,554523,0,0,0,0,non-promoted
MU,323487,0,0,0,0,non-promoted
MU,298682,0,0,0,0,non-promoted
MU,320343,0,0,0,0,non-promoted
MU,320344,0,0,0,0,non-promoted
MU,305481,0,0,0,0,non-promoted
MU,141662,0,0,0,0,non-promoted
MU,305479,0,0,0,0,non-promoted
MU,371243,0,0,0,0,non-promoted
MU,624625,0,0,0,0,non-promoted
MU,625767,0,0,0,0,non-promoted
MU,630763,0,0,0,0,non-promoted
MU,625765,0,0,0,0,non-promoted
MU,630791,0,0,0,0,non-promoted
MU,487907,0,0,0,0,non-promoted
MU,240939,0,0,0,0,non-promoted
MU,611732,0,0,0,0,non-promoted
MU,663982,0,0,0,0,non-promoted
MU,624480,0,0,0,0,non-promoted
MU,627331,0,0,0,0,non-promoted
MU,443925,0,0,0,0,non-promoted
MU,627329,0,0,0,0,non-promoted
MU,627332,0,0,0,0,non-promoted
MU,627328,0,0,0,0,non-promoted
MU,663981,0,0,0,0,non-promoted
MU,663988,0,0,0,0,non-promoted
MU,627314,0,0,0,0,non-promoted
MU,627327,0,0,0,0,non-promoted
MU,626997,0,0,0,0,non-promoted
MU,627326,0,0,0,0,non-promoted
MU,663983,0,0,0,0,non-promoted
MU,624479,0,0,0,0,non-promoted
MU,627330,0,0,0,0,non-promoted
MU,626630,0,0,0,0,non-promoted
MU,324267,0,0,0,0,non-promoted
MU,627160,0,0,0,0,non-promoted
MU,693896,0,0,0,0,non-promoted
MU,476664,0,0,0,0,non-promoted
MU,370351,0,0,0,0,non-promoted
MU,528888,0,0,0,0,non-promoted
MU,502299,0,0,0,0,non-promoted
MU,641849,0,0,0,0,non-promoted
MU,643215,0,0,0,0,non-promoted
MU,643216,0,0,0,0,non-promoted
MU,642931,0,0,0,0,non-promoted
MU,592593,0,0,0,0,non-promoted
MU,671538,0,0,0,0,non-promoted
MU,224938,0,0,0,0,non-promoted
MU,541078,0,0,0,0,non-promoted
MU,664051,0,0,0,0,non-promoted
MU,664047,0,0,0,0,non-promoted
MU,645815,0,0,0,0,non-promoted
MU,67294,0,0,0,0,non-promoted
MU,354890,0,0,0,0,non-promoted
MU,663984,0,0,0,0,non-promoted
MU,645817,0,0,0,0,non-promoted
MU,663985,0,0,0,0,non-promoted
MU,342280,0,0,0,0,non-promoted
MU,476963,0,0,0,0,non-promoted
MU,476043,0,0,0,0,non-promoted
MU,476006,0,0,0,0,non-promoted
MU,476956,0,0,0,0,non-promoted
MU,476009,0,0,0,0,non-promoted
MU,476955,0,0,0,0,non-promoted
MU,477034,0,0,0,0,non-promoted
MU,477015,0,0,0,0,non-promoted
MU,476954,0,0,0,0,non-promoted
MU,476957,0,0,0,0,non-promoted
MU,663986,0,0,0,0,non-promoted
MU,665371,0,0,0,0,non-promoted
MU,297260,0,0,0,0,non-promoted
MU,663987,0,0,0,0,non-promoted
MU,390465,0,0,0,0,non-promoted
MU,285368,0,0,0,0,non-promoted
MU,638521,0,0,0,0,non-promoted
MU,390470,0,0,0,0,non-promoted
MU,264456,0,0,0,0,non-promoted
MU,476933,0,0,0,0,non-promoted
MU,298685,0,0,0,0,non-promoted
MU,296593,0,0,0,0,non-promoted
MU,405018,0,0,0,0,non-promoted
MU,405039,0,0,0,0,non-promoted
MU,415360,0,0,0,0,non-promoted
MU,405069,0,0,0,0,non-promoted
MU,305478,0,0,0,0,non-promoted
MU,481580,0,0,0,0,non-promoted
MU,671568,0,0,0,0,non-promoted
MU,615926,0,0,0,0,non-promoted
MU,241634,0,0,0,0,non-promoted
MU,380554,0,0,0,0,non-promoted
MU,615902,0,0,0,0,non-promoted
MU,381782,0,0,0,0,non-promoted
MU,625681,0,0,0,0,non-promoted
MU,311168,0,0,0,0,non-promoted
MU,277954,0,0,0,0,non-promoted
MU,311166,0,0,0,0,non-promoted
MU,293665,0,0,0,0,non-promoted
MU,518946,0,0,0,0,non-promoted
MU,505579,0,0,0,0,non-promoted
MU,667138,0,0,0,0,non-promoted
MU,506704,0,0,0,0,non-promoted
MU,306216,0,0,0,0,non-promoted
MU,306217,0,0,0,0,non-promoted
MU,306218,0,0,0,0,non-promoted
MU,306219,0,0,0,0,non-promoted
MU,506739,0,0,0,0,non-promoted
MU,291024,0,0,0,0,non-promoted
MU,292174,0,0,0,0,non-promoted
MU,436433,0,0,0,0,non-promoted
MU,250800,0,0,0,0,non-promoted
MU,436418,0,0,0,0,non-promoted
MU,507364,0,0,0,0,non-promoted
MU,506742,0,0,0,0,non-promoted
MU,338199,0,0,0,0,non-promoted
MU,239907,0,0,0,0,non-promoted
MU,214082,0,0,0,0,non-promoted
MU,346666,0,0,0,0,non-promoted
MU,245296,0,0,0,0,non-promoted
MU,476941,0,0,0,0,non-promoted
MU,592685,0,0,0,0,non-promoted
MU,592684,0,0,0,0,non-promoted
MU,213714,0,0,0,0,non-promoted
MU,213711,0,0,0,0,non-promoted
MU,289137,0,0,0,0,non-promoted
MU,651777,0,0,0,0,non-promoted
MU,287550,0,0,0,0,non-promoted
MU,287552,0,0,0,0,non-promoted
MU,287553,0,0,0,0,non-promoted
MU,289138,0,0,0,0,non-promoted
MU,476712,0,0,0,0,non-promoted
MU,592705,0,0,0,0,non-promoted
MU,609071,0,0,0,0,non-promoted
MU,671597,0,0,0,0,non-promoted
MU,264980,0,0,0,0,non-promoted
MU,311122,0,0,0,0,non-promoted
MU,305928,0,0,0,0,non-promoted
MU,296505,0,0,0,0,non-promoted
MU,662889,0,0,0,0,non-promoted
MU,476518,0,0,0,0,non-promoted
MU,476630,0,0,0,0,non-promoted
MU,298689,0,0,0,0,non-promoted
