MSR,Customer Name,Products
KE-INSULINS-5,A G PHARMACEUTICAL,RIFAFOUR E-275 150MG+ TAB BL6X14 ZA
KE-INSULINS-3,A TO Z PHARMACY LTD,RIFAFOUR E-275 150MG+ TAB BL6X14 ZA
KE-GP-2,GERTRUDES G. CHILDREN RUAKA,RIFINAH 150-75MG TABSC BL4X14 ZA
KE-GP-3,GERTRUDES G.CHIKDREN MOMBASA,APROVEL 150MG TAB BL2x14
KE-GP-2,GERTRUDES G.CHILDREN BURUBURU,APROVEL 300MG TAB BL2x14
KE-GP-2,GERTRUDES G.CHILDREN DONHOLM,"CO-APROVEL 150/12,5MG TAB28"
KE-GP-2,GERTRUDES G.CHILDREN EMBAKASI,"CO-APROVEL 300/12,5MG TAB28"
KE-GP-2,GERTRUDES G.CHILDREN JUNCTION,AMARYL 1MG TAB BL2x 15
KE-GP-2,GERTRUDES G.CHILDREN KITENGELA,AMARYL 2MG TAB BL2x 15
KE-INSULINS-1,GERTRUDES G.CHILDREN KOMAROCK,AMARYL 4MG TAB BL2x 15
KE-GP-2,GERTRUDES G.CHILDREN LAVINGTON,DAONIL 5MG TAB100
NP,GERTRUDES G.CHILDREN MUTHAIGA,CLEXANE 4000IU/0.4ML INJ2
KE-GP-2,GERTRUDES G.CHILDREN PANGANI,RIFAFOUR E-275 150MG+ TAB BL6X14 ZA
KE-GP-2,GERTRUDES G.CHILDREN RONGAI,RIFAFOUR E-275 150MG+ TAB BL6X14 ZA
KE-GP-2,GERTRUDES G.CHILDREN THIKA,RIFINAH 150-75MG TABSC BL4X14 ZA
KE-GP-2,GERTRUDES G.CHILDREN TRM,APROVEL 150MG TAB BL2x14
KE-INSULINS-1,GERTRUDES G.CHILDREN WEST,APROVEL 300MG TAB BL2x14
KE-INSULINS-3,GETEMBE PHARMACY KISUMUAC,"CO-APROVEL 150/12,5MG TAB28"
KE-GP-1,DR. M.H.SHAH,"CO-APROVEL 300/12,5MG TAB28"
KE-GP-3,FREETOWN CHEMIST,AMARYL 1MG TAB BL2x 15
KE-GP-6,INKAMED PHARMACEUTICALS - TWN,AMARYL 2MG TAB BL2x 15
KE-GP-6,KIMTON PHARMACY LTD,AMARYL 4MG TAB BL2x 15
KE-GP-1,LAVIDA PHARMACEUTICAL /20298705,DAONIL 5MG TAB100
KE-GP-7,NYAGANO PHARMACY LTD,CLEXANE 4000IU/0.4ML INJ2
KE-GP-4,USHIRIKA - MARTIAN LIMITED,AMARYL 2MG TAB BL2x 15
NP,KENGEN                        ,AMARYL 4MG TAB BL2x 15
NP,NAKURU CLINICAL UNIT,AMARYL 2MG TAB BL2x 15
NP,PRIMEPHARM PHARMACY KARATINA  ,AMARYL 4MG TAB BL2x 15
NP,SUBUKIA PHARMACY LIMITED,DAONIL 5MG TAB100
