distributor,distributor_product_name,sanofi_product_name,sanofi_product_id
"Highchem KE",,"AMAREL 1MG TAB BL2X15 M36 XE",1
"Highchem KE",,"AMAREL 2MG TAB BL2X15 M36 XE",2
"Highchem KE",,"AMAREL 3MG TAB BL2X15 M36 XE",3
"Highchem KE",,"AMAREL 4MG TAB BL2X15 M36 XD",4
"Highchem KE",,"AMARYL MIR 2-500MG TABCO BL3X10 XE",5
"Highchem KE",,"AMARYL MSR 2-500MG TABCO BL3X10 M24 XE",6
"Highchem KE",,"AMITRON 3G/60ML POWD BT1 M36 EX",7
"Highchem KE",,"AMITRON 500MG CAPEM BL12 M36 EX",8
"Highchem KE",,"AMITRON 500MG CAPEM BL50X10 M36 EX",9
"Highchem KE",,"APROVEL 150MG TABCO BL2X14 RM M36 XE",10
"Highchem KE",,"APROVEL 300MG TABCO BL2X14 RM M36 XE",11
"Highchem KE",,"ASPEGIC 100MG POWD SC20 SAF M24 XD",12
"Highchem KE",,"ASPEGIC 1G POWD SC20 SAF M30 XD",13
"Highchem KE",,"ASPEGIC 250MG POWD SC20 SAF M24 XD",14
"Highchem KE",,"ASPEGIC 500MG POWD SC20 SAF M30 XD",15
"Highchem KE",,"ATURGYL 7.5MG/15ML NASSP IN1 M24 XE",16
"Highchem KE",,"BIOFERON 305MG+ CAPEM BL3X10 M30 EX",17
"Highchem KE",,"BIPROFENID 100MG TAB BL2X10 S4 M24 XD",18
"Highchem KE",,"CLOMID 50MG TAB BL10 NDSI M36 XE",19
"Highchem KE",,"CLOMID 50MG TAB BL5 NDSI M36 XE",20
"Highchem KE",,"COAPRO 150-12.5MG TABCO BL2X14 RM M36 XD",21
"Highchem KE",,"COAPRO 300-12.5MG TABCO BL2X14 RM M36 XD",22
"Highchem KE",,"CODOLIPRANE 400-20MG TAB BL2X8 NDSI XD",23
"Highchem KE",,"CORDARONE 200MG TAB BL2X15 M24 XD",24
"Highchem KE",,"CORTANCYL 20MG TAB BL2X10 SWI M36 XE",25
"Highchem KE",,"CORTANCYL 5MG TAB BL30 SWI M36 XE",26
"Highchem KE",,"CORVASAL 2MG TAB BL2X15 S3 M36 XD",27
"Highchem KE",,"CORVASAL 4MG TAB BL2X15 S3 M24 XD",28
"Highchem KE",,"DAONIL 5MG TAB BL10X10 SWI M24 XE",29
"Highchem KE",,"DAONIL 5MG TAB BL20 SWI M24 XE",30
"Highchem KE",,"DEPAK CHRO500 333-145MG TABCR TB30 XD",31
"Highchem KE",,"DEPAKINE 200MG TABEC TB40 ICRA M36 X1",32
"Highchem KE",,"DEPAKINE 500MG TABEC TB40 M36 XD",33
"Highchem KE",,"DEPAKINE 8.65G/+ SYR BT1 ICRA M36 XD",34
"Highchem KE",,"DEPAKINE 8G/40ML SOL BT1 ICRA M36 XD",35
"Highchem KE",,"DITROPAN 5MG TAB BL2X30 M36 XD",36
"Highchem KE",,"DOGMATIL 50MG CAP BL30 M36 XE",37
"Highchem KE",,"DOLIPRANE 100MG POWD SC12 NDSI XD",38
"Highchem KE",,"DOLIPRANE 100MG SUP BL2X5 NDSI M36 XD",39
"Highchem KE",,"DOLIPRANE 150MG POWD SC12 NDSI XD",40
"Highchem KE",,"DOLIPRANE 150MG SUP BL2X5 NDSI M36 XD",41
"Highchem KE",,"DOLIPRANE 1G TABEF TB8 NDSI M36 XD",42
"Highchem KE",,"DOLIPRANE 200MG POWD SC12 NDSI XD",43
"Highchem KE",,"DOLIPRANE 200MG SUP BL2X5 NDSI M36 XD",44
"Highchem KE",,"DOLIPRANE 300MG POWD SC12 NDSI XD",45
"Highchem KE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",46
"Highchem KE",,"DOLIPRANE VIT C 500-150MG TABEF TB16 XD",47
"Highchem KE",,"DOLIPRANE VIT C 500-150MG TABEF TB16 FR",48
"Highchem KE",,"DOLIPRANE 500MG POWD SC12 NDSI M24 XD",49
"Highchem KE",,"DOLIPRANE 500MG TABEF TB2X8 NDSI M36 XD",50
"Highchem KE",,"DOLIPREX 500MG+ POWD SC8 NDSI XD",51
"Highchem KE",,"DOLIRHUME 500-30MG TAB BL2X8 NDSI M36 XD",52
"Highchem KE",,"ENTEROGERMINA 2BCFU/5ML SUSP BT10 S3 XD",53
"Highchem KE",,"ERCEFURYL 200MG CAP BL2X14 SAF M60 XE",54
"Highchem KE",,"ERCEFURYL 3.6G/90ML SOL BT1 S2 EX",55
"Highchem KE",,"EXACYL 500MG TAB BL20 S3 XE",56
"Highchem KE",,"EXACYL 1G/10ML SOL AM5 S3 M60 XE",57
"Highchem KE",,"FLAGENTYL 500MG TABCO BL4 S4 M49 XD",58
"Highchem KE",,"FLAGYL 500MG/+ INJ BG25 H FR",59
"Highchem KE",,"FLAGYL 125MG/5ML SUSP BT1 XD",60
"Highchem KE",,"FLAGYL 500MG PESSA BL2X5 S4 M36 XD",61
"Highchem KE",,"FLEMING 1G-125MG TABCO BL2X8 M24 EX",62
"Highchem KE",,"FLEMING 1G-200MG INJPO VL5 M24 EX",63
"Highchem KE",,"FLEMING 3G/+ POWD BT1 M24 EX",64
"Highchem KE",,"FLEMING 500-62.5MG TABCO BL2X8 M24 EX",65
"Highchem KE",,"FLEMING 6G/+ POWD BT1 M24 EX",66
"Highchem KE",,"GARDENAL 10MG TAB BL4X20 S3 M60 XE",67
"Highchem KE",,"HEMI-DAONIL 2.5MG TAB BL3X20 SWI M24 XE",68
"Highchem KE",,"IBEX 200MG+ CAPEM BL2X12 M36 EX",69
"Highchem KE",,"LARGACTIL 100MG TABCO BL3X10 M36 XD",70
"Highchem KE",,"LASILIX 20MG/2ML INJ AM1 XE",71
"Highchem KE",,"LASILIX 40MG TAB BL3X10 SWI M36 XE",72
"Highchem KE",,"LASILIX FAIBLE 20MG TAB BL2X15 SWI XE",73
"Highchem KE",,"LASILIX RETARD 60MG CAP TB30 M24 XE",74
"Highchem KE",,"MAALOX 8.75G/+ SUSP BT1 S3 M36 XE",75
"Highchem KE",,"MAALOX 460MG/+ SUSP SC20 S3 M36 XE",76
"Highchem KE",,"MAALOX 400-400MG TABCW BL4X10 S3 M60 XE",77
"Highchem KE",,"MAGNE B6 470-5MG TABSC BL5X10 S3 M24 XE",78
"Highchem KE",,"MAXILASE 25KIU/+ SYR BT1 SAF M18 XM",79
"Highchem KE",,"MAXILASE 3KIU TABSC BL2X12 S3 M24 XD",80
"Highchem KE",,"MITOSYL 40G/150G+ CREAM TB1 S3 M36 XE",81
"Highchem KE",,"MITOSYL 20-27G/65G CREAM TB1 S3 M36 XE",82
"Highchem KE",,"NORZOL 400-600MG TABCO BL10 M36 EX",83
"Highchem KE",,"NO-SPA 40MG/2ML INJ AM25 XD",84
"Highchem KE",,"NO-SPA 40MG/2ML INJ AM5 XD",85
"Highchem KE",,"NO-SPA 40MG TAB BL10X10 S3 M36 XD",86
"Highchem KE",,"NO-SPA 40MG TAB BL2X10 S3 M36 XD",87
"Highchem KE",,"NO-SPA 80MG TAB BL2X10 S3 M36 XD",88
"Highchem KE",,"NOVALGIN 2.5G/5ML INJ AM5 S3 M60 XE",89
"Highchem KE",,"NOVALGIN 500MG TABCO BL2X10 M36 XD",90
"Highchem KE",,"NOVALGIN 50MG/100ML SYR BT1 EX",91
"Highchem KE",,"NOZINAN HCL 100MG TABCO BL2X10 S3 M60 XD",92
"Highchem KE",,"NOZINAN 25MG TABCO BL2X10 S3 M61 XD",93
"Highchem KE",,"OFLOCET 200MG TABCO BL10 S4 M36 XD",94
"Highchem KE",,"ORELOX 100MG TABCO BL10 SWI M36 XD",95
"Highchem KE",,"ORELOX 200MG TABCO BL2X5 M36 XD",96
"Highchem KE",,"ORELOX 40MG/5ML GRAN BT1 SWI M24 XD",97
"Highchem KE",,"ORELOX 400MG/50ML GRAN BT1 SWI M24 XE",98
