distributor,distributor_product_name,sanofi_product_name,sanofi_gmid,sanofi_product_id
"Highchem KE",,"AMAREL 1MG TAB BL2X15 M36 XE",268012,1
"Highchem KE",,"AMAREL 2MG TAB BL2X15 M36 XE",268013,2
"Highchem KE",,"AMAREL 3MG TAB BL2X15 M36 XE",268014,3
"Highchem KE",,"AMAREL 4MG TAB BL2X15 M36 XD",268015,4
"Highchem KE",,"AMARYL MIR 2-500MG TABCO BL3X10 XE",307013,5
"Highchem KE",,"AMARYL MSR 2-500MG TABCO BL3X10 M24 XE",321233,6
"Highchem KE",,"AMITRON 3G/60ML POWD BT1 M36 EX",475982,7
"Highchem KE",,"AMITRON 500MG CAPEM BL12 M36 EX",475871,8
"Highchem KE",,"AMITRON 500MG CAPEM BL50X10 M36 EX",475875,9
"Highchem KE",,"APROVEL 150MG TABCO BL2X14 RM M36 XE",196680,10
"Highchem KE",,"APROVEL 300MG TABCO BL2X14 RM M36 XE",196681,11
"Highchem KE",,"ASPEGIC 100MG POWD SC20 SAF M24 XD",281498,12
"Highchem KE",,"ASPEGIC 1G POWD SC20 SAF M30 XD",298801,13
"Highchem KE",,"ASPEGIC 250MG POWD SC20 SAF M24 XD",281499,14
"Highchem KE",,"ASPEGIC 500MG POWD SC20 SAF M30 XD",281500,15
"Highchem KE",,"ATURGYL 7.5MG/15ML NASSP IN1 M24 XE",354883,16
"Highchem KE",,"BIOFERON 305MG+ CAPEM BL3X10 M30 EX",475991,17
"Highchem KE",,"BIPROFENID 100MG TAB BL2X10 S4 M24 XD",636858,18
"Highchem KE",,"CLOMID 50MG TAB BL10 NDSI M36 XE",551042,19
"Highchem KE",,"CLOMID 50MG TAB BL5 NDSI M36 XE",551043,20
"Highchem KE",,"COAPRO 150-12.5MG TABCO BL2X14 RM M36 XD",247831,21
"Highchem KE",,"COAPRO 300-12.5MG TABCO BL2X14 RM M36 XD",247832,22
"Highchem KE",,"CODOLIPRANE 400-20MG TAB BL2X8 NDSI XD",628074,23
"Highchem KE",,"CORDARONE 200MG TAB BL2X15 M24 XD",554523,24
"Highchem KE",,"CORTANCYL 20MG TAB BL2X10 SWI M36 XE",323487,25
"Highchem KE",,"CORTANCYL 5MG TAB BL30 SWI M36 XE",298682,26
"Highchem KE",,"CORVASAL 2MG TAB BL2X15 S3 M36 XD",320343,27
"Highchem KE",,"CORVASAL 4MG TAB BL2X15 S3 M24 XD",320344,28
"Highchem KE",,"DAONIL 5MG TAB BL10X10 SWI M24 XE",305481,29
"Highchem KE",,"DAONIL 5MG TAB BL20 SWI M24 XE",305479,30
"Highchem KE",,"DEPAK CHRO500 333-145MG TABCR TB30 XD",630791,31
"Highchem KE",,"DEPAKINE 200MG TABEC TB40 ICRA M36 X1",624625,32
"Highchem KE",,"DEPAKINE 500MG TABEC TB40 M36 XD",630763,33
"Highchem KE",,"DEPAKINE 8.65G/+ SYR BT1 ICRA M36 XD",625765,34
"Highchem KE",,"DEPAKINE 8G/40ML SOL BT1 ICRA M36 XD",625767,35
"Highchem KE",,"DITROPAN 5MG TAB BL2X30 M36 XD",240939,36
"Highchem KE",,"DOGMATIL 50MG CAP BL30 M36 XE",611732,37
"Highchem KE",,"DOLIPRANE 100MG POWD SC12 NDSI XD",627331,38
"Highchem KE",,"DOLIPRANE 100MG SUP BL2X5 NDSI M36 XD",627329,39
"Highchem KE",,"DOLIPRANE 150MG POWD SC12 NDSI XD",627332,40
"Highchem KE",,"DOLIPRANE 150MG SUP BL2X5 NDSI M36 XD",627328,41
"Highchem KE",,"DOLIPRANE 1G TABEF TB8 NDSI M36 XD",624480,42
"Highchem KE",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314,43
"Highchem KE",,"DOLIPRANE 200MG SUP BL2X5 NDSI M36 XD",627327,44
"Highchem KE",,"DOLIPRANE 300MG POWD SC12 NDSI XD",626997,45
"Highchem KE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326,46
"Highchem KE",,"DOLIPRANE VIT C 500-150MG TABEF TB16 XD",626630,47
"Highchem KE",,"DOLIPRANE VIT C 500-150MG TABEF TB16 FR",292037,48
"Highchem KE",,"DOLIPRANE 500MG POWD SC12 NDSI M24 XD",627330,49
"Highchem KE",,"DOLIPRANE 500MG TABEF TB2X8 NDSI M36 XD",624479,50
"Highchem KE",,"DOLIPREX 500MG+ POWD SC8 NDSI XD",626998,51
"Highchem KE",,"DOLIRHUME 500-30MG TAB BL2X8 NDSI M36 XD",627160,52
"Highchem KE",,"ENTEROGERMINA 2BCFU/5ML SUSP BT10 S3 XD",528888,53
"Highchem KE",,"ERCEFURYL 200MG CAP BL2X14 SAF M60 XE",592593,54
"Highchem KE",,"ERCEFURYL 3.6G/90ML SOL BT1 S2 EX",671538,55
"Highchem KE",,"EXACYL 500MG TAB BL20 S3 XE",541078,56
"Highchem KE",,"EXACYL 1G/10ML SOL AM5 S3 M60 XE",224938,57
"Highchem KE",,"FLAGENTYL 500MG TABCO BL4 S4 M49 XD",664051,58
"Highchem KE",,"FLAGYL 500MG/+ INJ BG25 H FR",67933,59
"Highchem KE",,"FLAGYL 125MG/5ML SUSP BT1 XD",678014,60
"Highchem KE",,"FLAGYL 500MG PESSA BL2X5 S4 M36 XD",642941,61
"Highchem KE",,"FLEMING 1G-125MG TABCO BL2X8 M24 EX",476956,62
"Highchem KE",,"FLEMING 1G-200MG INJPO VL5 M24 EX",476963,63
"Highchem KE",,"FLEMING 3G/+ POWD BT1 M24 EX",476955,64
"Highchem KE",,"FLEMING 500-62.5MG TABCO BL2X8 M24 EX",476957,65
"Highchem KE",,"FLEMING 6G/+ POWD BT1 M24 EX",476954,66
"Highchem KE",,"GARDENAL 10MG TAB BL4X20 S3 M60 XE",665371,67
"Highchem KE",,"HEMI-DAONIL 2.5MG TAB BL3X20 SWI M24 XE",285368,68
"Highchem KE",,"IBEX 200MG+ CAPEM BL2X12 M36 EX",476933,69
"Highchem KE",,"LARGACTIL 100MG TABCO BL3X10 M36 XD",625681,70
"Highchem KE",,"LASILIX 20MG/2ML INJ AM1 XE",518938,71
"Highchem KE",,"LASILIX 40MG TAB BL3X10 SWI M36 XE",311168,72
"Highchem KE",,"LASILIX FAIBLE 20MG TAB BL2X15 SWI XE",311166,73
"Highchem KE",,"LASILIX RETARD 60MG CAP TB30 M24 XE",293665,74
"Highchem KE",,"MAALOX 8.75G/+ SUSP BT1 S3 M36 XE",239907,75
"Highchem KE",,"MAALOX 460MG/+ SUSP SC20 S3 M36 XE",292174,76
"Highchem KE",,"MAALOX 400-400MG TABCW BL4X10 S3 M60 XE",436433,77
"Highchem KE",,"MAGNE B6 470-5MG TABSC BL5X10 S3 M24 XE",214082,78
"Highchem KE",,"MAXILASE 25KIU/+ SYR BT1 SAF M18 XM",346666,79
"Highchem KE",,"MAXILASE 3KIU TABSC BL2X12 S3 M24 XD",245296,80
"Highchem KE",,"MITOSYL 40G/150G+ CREAM TB1 S3 M36 XE",592685,81
"Highchem KE",,"MITOSYL 20-27G/65G CREAM TB1 S3 M36 XE",592684,82
"Highchem KE",,"NORZOL 400-600MG TABCO BL10 M36 EX",476712,83
"Highchem KE",,"NO-SPA 40MG/2ML INJ AM25 XD",289137,84
"Highchem KE",,"NO-SPA 40MG/2ML INJ AM5 XD",289138,85
"Highchem KE",,"NO-SPA 40MG TAB BL10X10 S3 M36 XD",287552,86
"Highchem KE",,"NO-SPA 40MG TAB BL2X10 S3 M36 XD",287550,87
"Highchem KE",,"NO-SPA 80MG TAB BL2X10 S3 M36 XD",287553,88
"Highchem KE",,"NOVALGIN 2.5G/5ML INJ AM5 S3 M60 XE",592705,89
"Highchem KE",,"NOVALGIN 500MG TABCO BL2X10 M36 XD",609071,90
"Highchem KE",,"NOVALGIN 50MG/100ML SYR BT1 EX",671597,91
"Highchem KE",,"NOZINAN HCL 100MG TABCO BL2X10 S3 M60 XD",264980,92
"Highchem KE",,"NOZINAN 25MG TABCO BL2X10 S3 M61 XD",311122,93
"Highchem KE",,"OFLOCET 200MG TABCO BL10 S4 M36 XD",632425,94
"Highchem KE",,"ORELOX 100MG TABCO BL10 SWI M36 XD",298689,95
"Highchem KE",,"ORELOX 200MG TABCO BL2X5 M36 XD",374872,96
"Highchem KE",,"ORELOX 40MG/5ML GRAN BT1 SWI M24 XD",298691,97
"Highchem KE",,"ORELOX 400MG/50ML GRAN BT1 SWI M24 XE",298693,98
"Highchem KE",,"OROKEN 100MG/5ML POWD BT1 S4 M24 XD",628390,99
"Highchem KE",,"OROKEN 200MG TABCO BL8 S4 M24 XD",628389,100
"Highchem KE",,"OROKEN 40MG/5ML POWD BT1 S4 M24 XD",628391,101
"Highchem KE",,"PROFENID 100MG SUP BL2X6 S4 M24 XD",639164,102
"Highchem KE",,"PROFENID 100MG/2ML INJ AM2 S4 M36 XE",540717,103
"Highchem KE",,"PROFENID 100MG INJPO VL50 H FR",172136,104
"Highchem KE",,"PROFENID 100MG TABCO BL3X10 XD",671609,105
"Highchem KE",,"PROFENID 50MG CAP BL2X12 S4 M36 XD",639608,106
"Highchem KE",,"PROFENID LP 200MG TABEC BL14 S3 M24 XD",624622,107
"Highchem KE",,"PYOSTACINE 500MG TABCO BL2X8 NF M48 XD",571696,108
"Highchem KE",,"QUINIMAX 125MG TABCO BT18 M36 XE",187750,109
