distributor,distributor_product_name,sanofi_product_name,sanofi_gmid,sanofi_product_id
Kenya,"Highchem KE",,"AMAREL 1MG TAB BL2X15 M36 XE",268012,1
Kenya,"Highchem KE",,"AMAREL 2MG TAB BL2X15 M36 XE",268013,2
Kenya,"Highchem KE",,"AMAREL 3MG TAB BL2X15 M36 XE",268014,3
Kenya,"Highchem KE",,"AMAREL 4MG TAB BL2X15 M36 XD",268015,4
Kenya,"Highchem KE",,"AMARYL MIR 2-500MG TABCO BL3X10 XE",307013,5
Kenya,"Highchem KE",,"AMARYL MSR 2-500MG TABCO BL3X10 M24 XE",321233,6
Kenya,"Highchem KE",,"AMITRON 3G/60ML POWD BT1 M36 EX",475982,7
Kenya,"Highchem KE",,"AMITRON 500MG CAPEM BL12 M36 EX",475871,8
Kenya,"Highchem KE",,"AMITRON 500MG CAPEM BL50X10 M36 EX",475875,9
Kenya,"Highchem KE",,"APROVEL 150MG TABCO BL2X14 RM M36 XE",196680,10
Kenya,"Highchem KE",,"APROVEL 300MG TABCO BL2X14 RM M36 XE",196681,11
Kenya,"Highchem KE",,"ASPEGIC 100MG POWD SC20 SAF M24 XD",281498,12
Kenya,"Highchem KE",,"ASPEGIC 1G POWD SC20 SAF M30 XD",298801,13
Kenya,"Highchem KE",,"ASPEGIC 250MG POWD SC20 SAF M24 XD",281499,14
Kenya,"Highchem KE",,"ASPEGIC 500MG POWD SC20 SAF M30 XD",281500,15
Kenya,"Highchem KE",,"ATURGYL 7.5MG/15ML NASSP IN1 M24 XE",354883,16
Kenya,"Highchem KE",,"BIOFERON 305MG+ CAPEM BL3X10 M30 EX",475991,17
Kenya,"Highchem KE",,"BIPROFENID 100MG TAB BL2X10 S4 M24 XD",636858,18
Kenya,"Highchem KE",,"CLOMID 50MG TAB BL10 NDSI M36 XE",551042,19
Kenya,"Highchem KE",,"CLOMID 50MG TAB BL5 NDSI M36 XE",551043,20
Kenya,"Highchem KE",,"COAPRO 150-12.5MG TABCO BL2X14 RM M36 XD",247831,21
Kenya,"Highchem KE",,"COAPRO 300-12.5MG TABCO BL2X14 RM M36 XD",247832,22
Kenya,"Highchem KE",,"CODOLIPRANE 400-20MG TAB BL2X8 NDSI XD",628074,23
Kenya,"Highchem KE",,"CORDARONE 200MG TAB BL2X15 M24 XD",554523,24
Kenya,"Highchem KE",,"CORTANCYL 20MG TAB BL2X10 SWI M36 XE",323487,25
Kenya,"Highchem KE",,"CORTANCYL 5MG TAB BL30 SWI M36 XE",298682,26
Kenya,"Highchem KE",,"CORVASAL 2MG TAB BL2X15 S3 M36 XD",320343,27
Kenya,"Highchem KE",,"CORVASAL 4MG TAB BL2X15 S3 M24 XD",320344,28
Kenya,"Highchem KE",,"DAONIL 5MG TAB BL10X10 SWI M24 XE",305481,29
Kenya,"Highchem KE",,"DAONIL 5MG TAB BL20 SWI M24 XE",305479,30
Kenya,"Highchem KE",,"DEPAK CHRO500 333-145MG TABCR TB30 XD",630791,31
Kenya,"Highchem KE",,"DEPAKINE 200MG TABEC TB40 ICRA M36 X1",624625,32
Kenya,"Highchem KE",,"DEPAKINE 500MG TABEC TB40 M36 XD",630763,33
Kenya,"Highchem KE",,"DEPAKINE 8.65G/+ SYR BT1 ICRA M36 XD",625765,34
Kenya,"Highchem KE",,"DEPAKINE 8G/40ML SOL BT1 ICRA M36 XD",625767,35
Kenya,"Highchem KE",,"DITROPAN 5MG TAB BL2X30 M36 XD",240939,36
Kenya,"Highchem KE",,"DOGMATIL 50MG CAP BL30 M36 XE",611732,37
