country,distributor_id,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
BF,666,DPBF,,"ALLSTAR MEDSUP MEDSU PEN1 MAU XE",516219
BF,666,DPBF,,"AMAREL 1MG TAB BL2X15 M36 XE",268012
BF,666,DPBF,,"AMAREL 2MG TAB BL2X15 M36 XE",268013
BF,666,DPBF,,"AMAREL 3MG TAB BL2X15 M36 XE",268014
BF,666,DPBF,,"AMAREL 4MG TAB BL2X15 M36 XD",268015
BF,666,DPBF,,"AMARYL 1MG TAB BL2X15 S3 M36 XE",261604
BF,666,DPBF,,"AMARYL M 2MG+ TABCO BL2X10 GH",494156
BF,666,DPBF,,"AMARYL 2MG TAB BL2X15 S3 M36 XE",261605
BF,666,DPBF,,"AMARYL 4MG TAB BL2X15 S3 M36 XE",261610
BF,666,DPBF,,"AMEDIN 10MG TAB BL2X14 M36 UG",475649
BF,666,DPBF,,"AMARYL MIR 2-500MG TABCO BL3X10 XE",307013
BF,666,DPBF,,"AMARYL MSR 2-500MG TABCO BL3X10 M24 XE",321233
BF,666,DPBF,,"AMARYL 1MG TAB BL3X10 M36 ZA",645820
BF,666,DPBF,,"AMARYL 2MG TAB BL3X10 M36 ZA",645818
BF,666,DPBF,,"AMARYL 4MG TAB BL3X10 M36 ZA",645819
BF,666,DPBF,,"AMARYL 3MG TAB BL2X15 S4 M36 XE",632896
BF,666,DPBF,,"AMEDIN 10MG TAB BL2X14 M36 MG",475652
BF,666,DPBF,,"AMEDIN 5MG TAB BL2X14 M36 UG",475862
BF,666,DPBF,,"AMITRON 3G/60ML POWD BT1 M36 EX",475982
BF,666,DPBF,,"AMITRON 500MG CAPEM BL12 M36 EX",475871
BF,666,DPBF,,"AMITRON 500MG CAPEM BL50X10 M36 EX",475875
BF,666,DPBF,,"APIDRA 300IU/3ML INJ SOLO5 M24 XN",380567
BF,666,DPBF,,"LANTUS 300IU/3ML INJ SOLO5 M36 XD",684820
BF,666,DPBF,,"APROVASC 150-10MG TAB BL4X7 M36 XD",539185
BF,666,DPBF,,"APROVASC 150-5MG TAB BL4X7 M36 XD",539183
BF,666,DPBF,,"APROVASC 300-10MG TAB BL4X7 M36 XD",539181
BF,666,DPBF,,"APROVASC 300-5MG TAB BL4X7 M36 XD",539182
BF,666,DPBF,,"APROVEL 150MG TABCO BL2X14 RM M36 XE",196680
BF,666,DPBF,,"APROVEL 300MG TABCO BL2X14 RM M36 XE",196681
BF,666,DPBF,,"ARTANE 2MG TAB BL2X25 FR",663419
BF,666,DPBF,,"ASPEGIC 100MG POWD SC20 SAF M24 XD",281498
BF,666,DPBF,,"ASPEGIC 250MG POWD SC20 SAF M24 XD",281499
BF,666,DPBF,,"ASPEGIC 500MG POWD SC20 SAF M30 XD",281500
BF,666,DPBF,,"ASPEGIC 1G POWD SC20 SAF M30 XD",298801
BF,666,DPBF,,"ATURGYL 7.5MG/15ML NASSP IN1 M24 XE",354883
BF,666,DPBF,,"MUCOSOLVAN 30MG TAB BL2X10 M36 XD",651772
BF,666,DPBF,,"AXACEF 250MG TABCO BL10 M36 MG",475987
BF,666,DPBF,,"AXACEF 250MG TABCO BL2X7 M36 EX",476931
BF,666,DPBF,,"BIOFERON 305MG+ CAPEM BL3X10 M30 EX",475991
BF,666,DPBF,,"AXACEF 500MG TABCO BL10 M36 MG",475988
BF,666,DPBF,,"BRONCHICUM 6.64G/+ ELIX BT1 S3 M36 XE",352016
BF,666,DPBF,,"BIOFERON 200ML SYR BT1 M30 H EX",679090
BF,666,DPBF,,"BIOFERON 8G/+ SYR BT1 M30 EX",475994
BF,666,DPBF,,"BIOZOLE 2.5G/100ML SYR BT1 M36 EX",476949
BF,666,DPBF,,"BIOZOLE 500MG/+ INFLS VL1 M24 EX",476950
BF,666,DPBF,,"BIPROFENID 100MG TAB BL2X10 S3 M24 XD",346667
BF,666,DPBF,,"BISOLVON LINCTUS DA 160MG/+ SYR BT1 ZA",654229
BF,666,DPBF,,"BISOLVON 8MG TAB BL20 M24 XD",651891
BF,666,DPBF,,"BRUMED 2G/100ML SYR BT1 M36 EX",476959
BF,666,DPBF,,"BRUMED 200MG TABSC BL10X10 M24 EX",476938
BF,666,DPBF,,"BRUMED 400MG TABSC BL10X10 M36 EX",476936
BF,666,DPBF,,"BUSCOPAN 20MG/1ML INJ AM5 M36 ZA",652574
BF,666,DPBF,,"BUSCOPAN PLUS 10-500MG TABCO BL50X1 EX",653030
BF,666,DPBF,,"BUSCOPAN 10MG TABSC BL5X10 M36 NG",651969
BF,666,DPBF,,"CLOMID 50MG TAB BL10 NDSI M36 XE",551042
BF,666,DPBF,,"CLOMID 50MG TAB BL5 NDSI M36 XE",551043
BF,666,DPBF,,"CODOLIPRANE 400-20MG TAB BL2X8 NDSI XD",628074
BF,666,DPBF,,"COLTRAMYL 4MG TAB BL12 PAP M36 EX",668290
BF,666,DPBF,,"CORDARONE 150MG/3ML INJ AM6 S3 M24 XD",245298
BF,666,DPBF,,"CORDARONE 200MG TAB BL2X15 M36 XD",554510
BF,666,DPBF,,"CORDARONE 200MG TAB BL2X15 M24 XD",554523
BF,666,DPBF,,"CORTANCYL 20MG TAB BL2X10 SWI M36 XE",323487
BF,666,DPBF,,"CORTANCYL 5MG TAB BL30 SWI M36 XE",298682
BF,666,DPBF,,"CORVASAL 2MG TAB BL2X15 S3 M36 XD",320343
BF,666,DPBF,,"CORVASAL 4MG TAB BL2X15 S3 M24 XD",320344
BF,666,DPBF,,"DAONIL 5MG TAB BL10X10 SWI M24 XE",305481
BF,666,DPBF,,"DAONIL 5MG TAB BL10X10 EX",141662
BF,666,DPBF,,"DAONIL 5MG TAB BL20 SWI M24 XE",305479
BF,666,DPBF,,"EPILIM 12G/300ML SYR BT1 M36 XE",371243
BF,666,DPBF,,"DEPAKINE 200MG TABEC TB40 ICRA M36 X1",624625
BF,666,DPBF,,"DEPAKINE 8G/40ML SOL BT1 ICRA M36 XD",625767
BF,666,DPBF,,"DEPAKINE 500MG TABEC TB40 M36 XD",630763
BF,666,DPBF,,"DEPAKINE 8.65G/+ SYR BT1 ICRA M36 XD",625765
BF,666,DPBF,,"DEPAK CHRO500 333-145MG TABCR TB30 XD",630791
BF,666,DPBF,,"DETURGYLONE 17.8MG/+ NASSP IN1 S4 M36 XE",487907
BF,666,DPBF,,"DITROPAN 5MG TAB BL2X30 M36 XD",240939
BF,666,DPBF,,"DOGMATIL 50MG CAP BL30 M36 XE",611732
BF,666,DPBF,,"DOLIPRANETABS 1G TAB BL2X4 EX",663982
BF,666,DPBF,,"DOLIPRANE 1G TABEF TB8 NDSI M36 XD",624480
BF,666,DPBF,,"DOLIPRANE 100MG POWD SC12 NDSI XD",627331
BF,666,DPBF,,"DOLIPRANE 1G POWD SC8 NF FR",443925
BF,666,DPBF,,"DOLIPRANE 100MG SUP BL2X5 NDSI M36 XD",627329
BF,666,DPBF,,"DOLIPRANE 150MG POWD SC12 NDSI XD",627332
BF,666,DPBF,,"DOLIPRANE 150MG SUP BL2X5 NDSI M36 XD",627328
