country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
,MEX,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,LABOREX,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,TEDIS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,UBIPHARM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,PLANETPHARMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SEP,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"UBIPHARM CONGO",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,BEKER,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,DEJEN,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,DUGDA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,EBG,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"EAST CANTONMENTS PHARMACY",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"ERNEST CHEMISTS",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,GOKALS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,OSONS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"REISS & CO LTD",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,UNICHEM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"WORLDWIDE HEALTHCARE LTD",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SOGUIMAP,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SODIPHARM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
KE,HARLEYS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
KE,HIGHCHEM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
KE,SURGIPHARM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MG,COFARMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MG,DROGEMAD,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MG,INTERPHARMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MG,MADAPHAR,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MG,OPHAM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MG,SOMAPHAR,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MG,SOPHARMAD,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"AFRICA LAB",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,CAMED,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,COPHARMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,CAMEC,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,CHIGHUETTY,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,CHIVA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"EL EMEL",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,MAURIPHARM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"ORIGINE PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MU,ANICHEM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MU,MSJ,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MU,"PHARMACIE  NOUVELLE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SAPHAR,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,BALMTCHAD,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,MED,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"TCH PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,GTPHARM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,OCDI,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SOCOPH.,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SOTOMED,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,UNIPHART,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
TZ,BAHARI,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
TZ,"JD PHARMACY",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
UG,ERIS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
UG,LIFEPHARMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,CHIMIO,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,ALCHEM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"IBIS PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,MULTIPHAR,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,GAPOB,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"U.B. PHAR S.A.",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PROMO PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DE LA NOBLESSE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"AUXI EXPORT",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"DEPOT PHARMACEUTIQUE EXTRA PLUS",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,CONCORD,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,COGEZAF,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"DEPOT PHARMACEUTIQUE SAINT SAUVEUR",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"NAP PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,PROCHIPHAR,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"KALOUM PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"AMIALSAR ",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"FEELA PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMA GROUPE INTERNATIONAL PGI",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MG,DICOPROPHAGI,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"G.C. PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"EL WATANIYA PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,ESSALAMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SALAMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"GKDIS PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"W PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"BARAKATT MEDICAL",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"RAHMA PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SNIM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"ESSIHA AVIA PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,MAURIMED,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"GAM PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"COMPAGNIE PHARMACEUTIQUE AFRICAINE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
UG,HML,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,CENTRAPHARM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,COPHARMED,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"NOUVELLE PHARMACIE DE LA SANTE PUBLIQUE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SIAP PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE NOUVELLE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"GRANDE PHARMACIE DE LA CORNE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DE LA NATION",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DE L'OCEAN INDIEN",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DE DJIBOUTI",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"GRANDE PHARMACIE DES FORESTIERS",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,PHARMAGABON,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE ANJOUANAISE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHIE TRALENI-GOBADJOU",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DES COMORES",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DE LA CORNICHE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SUN ENTERPRISES",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,KIPHARMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,DUOPHARM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,COPHASE,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"YASH PHARMACEUTICALS",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DE L-INDEPENDANCE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DES ECOLES",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE ESPERANCE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,DISTRIPHAR,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"ABACUS PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"NEW AVAKASH INTERNATIONAL",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE PK 12",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SOPHAR,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,P.N.A,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE DE LA REPUBLIQUE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PAX PHARMA LTD",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"CAISSE NATIONALE DE LA SECURITE SOCIALE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,GEFARMA,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE YASSINE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SKY PHARMACEUTICALS",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,PHARMACAM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SOGEN,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
MU,IOTRAD,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"A.M.T. PHARMA",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,EPDIS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SANOFI AVENTIS CI",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"UNION BENINOISE DE PHARMACIENS",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PHARMACIE NATIONALE D-APPROVISIONNEMENT",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SANOFI AVENTIS GABON",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,PROPHARMED,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SANOFI AVENTIS CONGO",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
UG,"VITAL SUPPLIES",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,MERCAFAR,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,DPBF,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"MEX P/C DPBF",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"LABOREX BRZ",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"LABOREX PNR",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"LABOREX CONGO",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,Laborex,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,TEDIS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"TEDIS C/M BURKINA FASO",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,UBIPHARM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"PLANETPHARMA S.A.    BF",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"LABOREX BRZ",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"LABOREX BRZ",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"LABOREX PNR",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"LABOREX POINTE NOIRE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SEP BRZ",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SOCIETE EQUATORIALE PHARMACEUTIQUE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SEP - BRAZZAVILLE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SEP PNR",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"UBI BRZ",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"UBI PNR",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,Beker,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,"DEJEN G/MESKEL BERHE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,Dejen,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,Dugda,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,"DUGDA AGRO INDUSTRY P.L.C",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
ET,EBG,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,ECP,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,ECP,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"EAST CANTONMENTS PHARMACY",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"EAST CANTONMENTS PHARMACY LIMITED",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"ERNEST CHEMIST",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"ERNEST CHEMISTS LTD",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"GOKALS LABOREX LIMITED",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,GOKALS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"OSONS CHEMIST LTD",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"OSONS CHEMISTS LIMITED",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,OSONS,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"REISS & CO",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"REISS & CO (GHANA) LIMITED",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"REISS & CO (GHANA) LTD",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"UNICHEM GH. LTD",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,UNICHEM,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,WHL,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,Laborex,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"LABOREX GUINEE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SGIP,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SOGUIMAP,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,SODIPH,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
,"SODIPHARM  S.A.",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
KE,Harleys,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
KE,"HARLEYS LIMITED",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
KE,Highchem,,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
KE,"HIGHCHEM MARKETING LIMITED",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326
