country,distributor_id,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
80,716,MEX,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
75,717,LABOREX,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
80,718,TEDIS,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
80,719,UBIPHARM,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
80,720,PLANETPHARMA,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
75,721,SEP,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
75,722,"UBIPHARM CONGO",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
73,723,BEKER,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
73,724,DEJEN,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
73,725,DUGDA,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
73,726,EBG,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
74,727,"EAST CANTONMENTS PHARMACY",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
74,728,"ERNEST CHEMISTS",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
74,729,GOKALS,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
74,730,OSONS,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
74,731,"REISS & CO LTD",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
74,732,UNICHEM,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
74,733,"WORLDWIDE HEALTHCARE LTD",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
90,734,SOGUIMAP,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
90,735,SODIPHARM,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
3,736,HARLEYS,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
3,737,HIGHCHEM,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
3,738,SURGIPHARM,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
113,739,COFARMA,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
113,740,DROGEMAD,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
113,741,INTERPHARMA,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
113,742,MADAPHAR,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
113,743,OPHAM,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
113,744,SOMAPHAR,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
113,745,SOPHARMAD,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
93,746,"AFRICA LAB",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
93,747,CAMED,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
93,748,COPHARMA,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
94,749,CAMEC,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
94,750,CHIGHUETTY,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
94,751,CHIVA,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
94,752,"EL EMEL",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
94,753,MAURIPHARM,,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
94,754,"ORIGINE PHARMA",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314
