Name,Email,Phone,Address,City,State,Postal Code,Country,is_subsidiary,parent_company
MEX,saleem@tecdiary.com,105292122,Taman Desa,Kuala Lumpur,WP,58100,BF,No,
LABOREX,saleem@tecdiary.com,105292123,Taman Desa,Kuala Lumpur,WP,58100,CG,No,
TEDIS,,,,,,,BF,No,
UBIPHARM,,,,,,,BF,No,
PLANETPHARMA,,,,,,,BF,No,
SEP,,,,,,,CG,No,
UBIPHARM CONGO,,,,,,,CG,No,
BEKER,,,,,,,ET,No,
DEJEN,,,,,,,ET,No,
DUGDA,,,,,,,ET,No,
EBG,,,,,,,ET,No,
EAST CANTONMENTS PHARMACY,,,,,,,GH,No,
ERNEST CHEMISTS,,,,,,,GH,No,
GOKALS,,,,,,,GH,No,
OSONS,,,,,,,GH,No,
REISS & CO LTD,,,,,,,GH,No,
UNICHEM,,,,,,,GH,No,
WORLDWIDE HEALTHCARE LTD,,,,,,,GH,No,
SOGUIMAP,,,,,,,GN,No,
SODIPHARM,,,,,,,GN,No,
HARLEYS,,,,,,,KE,No,
HIGHCHEM,,,,,,,KE,No,
SURGIPHARM,,,,,,,KE,No,
COFARMA,,,,,,,MG,No,
DROGEMAD,,,,,,,MG,No,
INTERPHARMA,,,,,,,MG,No,
MADAPHAR,,,,,,,MG,No,
OPHAM,,,,,,,MG,No,
SOMAPHAR,,,,,,,MG,No,
SOPHARMAD,,,,,,,MG,No,
AFRICA LAB,,,,,,,ML,No,
CAMED,,,,,,,ML,No,
COPHARMA,,,,,,,ML,No,
CAMEC,,,,,,,MR,No,
CHIGHUETTY,,,,,,,MR,No,
CHIVA,,,,,,,MR,No,
EL EMEL,,,,,,,MR,No,
MAURIPHARM,,,,,,,MR,No,
ORIGINE PHARMA,,,,,,,MR,No,
ANICHEM,,,,,,,MU,No,
MSJ,,,,,,,MU,No,
PHARMACIE  NOUVELLE,,,,,,,MU,No,
SAPHAR,,,,,,,NE,No,
BALMTCHAD,,,,,,,TD,No,
MED,,,,,,,TD,No,
TCH PHARMA,,,,,,,TD,No,
GTPHARM,,,,,,,TG,No,
OCDI,,,,,,,TG,No,
SOCOPH.,,,,,,,TG,No,
SOTOMED,,,,,,,TG,No,
UNIPHART,,,,,,,TG,No,
BAHARI,,,,,,,TZ,No,
JD PHARMACY,,,,,,,TZ,No,
ERIS,,,,,,,UG,No,
LIFEPHARMA,,,,,,,UG,No,
CHIMIO,,,,,,,BI,No,
ALCHEM,,,,,,,BI,No,
IBIS PHARMA,,,,,,,BI,No,
MULTIPHAR,,,,,,,BI,No,
GAPOB,,,,,,,BJ,No,
U.B. PHAR S.A.,,,,,,,BJ,No,
PROMO PHARMA,,,,,,,BJ,No,
PHARMACIE DE LA NOBLESSE,,,,,,,CD,No,
