Name,Email,Phone,Address,City,State,Postal Code,Country,is_subsidiary,parent_company
DPBF,saleem@tecdiary.com,105292122,Taman Desa,Kuala Lumpur,WP,58100,BF,Yes,MEX
MEX P/C DPBF,saleem@tecdiary.com,105292123,Taman Desa,Kuala Lumpur,WP,58100,BF,Yes,MEX
LABOREX BRZ,,,,,,,CG,Yes,LABOREX
LABOREX PNR,,,,,,,CG,Yes,LABOREX
LABOREX CONGO,,,,,,,CG,Yes,LABOREX
Laborex,,,,,,,BF,Yes,LABOREX
TEDIS,,,,,,,BF,Yes,TEDIS
TEDIS C/M BURKINA FASO,,,,,,,BF,Yes,TEDIS
UBIPHARM,,,,,,,BF,Yes,UBIPHARM
PLANETPHARMA S.A.    BF,,,,,,,BF,Yes,PLANETPHARMA
LABOREX BRZ,,,,,,,CG,Yes,LABOREX
LABOREX BRZ,,,,,,,CG,Yes,LABOREX
LABOREX PNR,,,,,,,CG,Yes,LABOREX
LABOREX POINTE NOIRE,,,,,,,CG,Yes,LABOREX
SEP BRZ,,,,,,,CG,Yes,SEP
SOCIETE EQUATORIALE PHARMACEUTIQUE,,,,,,,CG,Yes,SEP
SEP - BRAZZAVILLE,,,,,,,CG,Yes,SEP
SEP PNR,,,,,,,CG,Yes,SEP
UBI BRZ,,,,,,,CG,Yes,UBIPHARM
UBI PNR,,,,,,,CG,Yes,UBIPHARM CONGO
Beker,,,,,,,ET,Yes,BEKER
BEKER GENERAL BUSINESS PLC,,,,,,,ET,Yes,BEKER
DEJEN G/MESKEL BERHE,,,,,,,ET,Yes,DEJEN
Dejen,,,,,,,ET,Yes,DEJEN
Dugda,,,,,,,ET,Yes,DUGDA
DUGDA AGRO INDUSTRY P.L.C,,,,,,,ET,Yes,DUGDA
EBG,,,,,,,ET,Yes,EBG
ECP,,,,,,,GH,Yes,EAST CANTONMENTS PHARMACY
ECP,,,,,,,GH,Yes,EAST CANTONMENTS PHARMACY
EAST CANTONMENTS PHARMACY,,,,,,,GH,Yes,EAST CANTONMENTS PHARMACY
EAST CANTONMENTS PHARMACY LIMITED,,,,,,,GH,Yes,EAST CANTONMENTS PHARMACY
ERNEST CHEMIST,,,,,,,GH,Yes,ERNEST CHEMISTS
ERNEST CHEMISTS LTD,,,,,,,GH,Yes,ERNEST CHEMISTS
GOKALS LABOREX LIMITED,,,,,,,GH,Yes,GOKALS
GOKALS,,,,,,,GH,Yes,GOKALS
OSONS CHEMIST LTD,,,,,,,GH,Yes,OSONS
OSONS CHEMISTS LIMITED,,,,,,,GH,Yes,OSONS
OSONS,,,,,,,GH,Yes,OSONS
REISS & CO,,,,,,,GH,Yes,REISS & CO LTD
REISS & CO (GHANA) LIMITED,,,,,,,GH,Yes,REISS & CO LTD
REISS & CO (GHANA) LTD,,,,,,,GH,Yes,REISS & CO LTD
UNICHEM GH. LTD,,,,,,,GH,Yes,UNICHEM
UNICHEM,,,,,,,GH,Yes,UNICHEM
WHL,,,,,,,GH,Yes,WORLDWIDE HEALTHCARE LTD
Laborex,,,,,,,GN,Yes,LABOREX
LABOREX GUINEE,,,,,,,GN,Yes,LABOREX
SGIP,,,,,,,GN,Yes,SOGUIMAP
SOGUIMAP,,,,,,,GN,Yes,SOGUIMAP
SODIPH,,,,,,,GN,Yes,SODIPHARM
SODIPHARM  S.A.,,,,,,,GN,Yes,SODIPHARM
Harleys,,,,,,,KE,Yes,HARLEYS
HARLEYS LIMITED,,,,,,,KE,Yes,HARLEYS
Highchem,,,,,,,KE,Yes,HIGHCHEM
HIGHCHEM MARKETING LIMITED,,,,,,,KE,Yes,HIGHCHEM
HIGHCHEM MARKETING LTD,,,,,,,KE,Yes,HIGHCHEM
Laborex,,,,,,,KE,Yes,LABOREX
LABOREX KENYA LTD,,,,,,,KE,Yes,LABOREX
LABOREX KENYA,,,,,,,KE,Yes,LABOREX
Surgipharm,,,,,,,KE,Yes,SURGIPHARM
