Name,Email,Phone,Address,City,State,Postal Code,Country,is_subsidiary,parent_company
DPBF,saleem@tecdiary.com,105292122,Taman Desa,Kuala Lumpur,WP,58100,BF,Yes,MEX
MEX P/C DPBF,saleem@tecdiary.com,105292123,Taman Desa,Kuala Lumpur,WP,58100,BF,Yes,MEX
LABOREX BRZ,,,,,,,CG,Yes,LABOREX
LABOREX PNR,,,,,,,CG,Yes,LABOREX
LABOREX CONGO,,,,,,,CG,Yes,LABOREX
Laborex,,,,,,,BF,Yes,LABOREX
TEDIS,,,,,,,BF,Yes,TEDIS
TEDIS C/M BURKINA FASO,,,,,,,BF,Yes,TEDIS
UBIPHARM,,,,,,,BF,Yes,UBIPHARM
PLANETPHARMA S.A.    BF,,,,,,,BF,Yes,PLANETPHARMA
LABOREX BRZ,,,,,,,CG,Yes,LABOREX
LABOREX BRZ,,,,,,,CG,Yes,LABOREX
LABOREX PNR,,,,,,,CG,Yes,LABOREX
LABOREX POINTE NOIRE,,,,,,,CG,Yes,LABOREX
SEP BRZ,,,,,,,CG,Yes,SEP
SOCIETE EQUATORIALE PHARMACEUTIQUE,,,,,,,CG,Yes,SEP
SEP - BRAZZAVILLE,,,,,,,CG,Yes,SEP
SEP PNR,,,,,,,CG,Yes,SEP
UBI BRZ,,,,,,,CG,Yes,UBIPHARM
UBI PNR,,,,,,,CG,Yes,UBIPHARM CONGO
Beker,,,,,,,ET,Yes,BEKER
BEKER GENERAL BUSINESS PLC,,,,,,,ET,Yes,BEKER
DEJEN G/MESKEL BERHE,,,,,,,ET,Yes,DEJEN
Dejen,,,,,,,ET,Yes,DEJEN
Dugda,,,,,,,ET,Yes,DUGDA
DUGDA AGRO INDUSTRY P.L.C,,,,,,,ET,Yes,DUGDA
EBG,,,,,,,ET,Yes,EBG
ECP,,,,,,,GH,Yes,EAST CANTONMENTS PHARMACY
ECP,,,,,,,GH,Yes,EAST CANTONMENTS PHARMACY
EAST CANTONMENTS PHARMACY,,,,,,,GH,Yes,EAST CANTONMENTS PHARMACY
EAST CANTONMENTS PHARMACY LIMITED,,,,,,,GH,Yes,EAST CANTONMENTS PHARMACY
ERNEST CHEMIST,,,,,,,GH,Yes,ERNEST CHEMISTS
ERNEST CHEMISTS LTD,,,,,,,GH,Yes,ERNEST CHEMISTS
GOKALS LABOREX LIMITED,,,,,,,GH,Yes,GOKALS
GOKALS,,,,,,,GH,Yes,GOKALS
OSONS CHEMIST LTD,,,,,,,GH,Yes,OSONS
OSONS CHEMISTS LIMITED,,,,,,,GH,Yes,OSONS
OSONS,,,,,,,GH,Yes,OSONS
REISS & CO,,,,,,,GH,Yes,REISS & CO LTD
REISS & CO (GHANA) LIMITED,,,,,,,GH,Yes,REISS & CO LTD
REISS & CO (GHANA) LTD,,,,,,,GH,Yes,REISS & CO LTD
UNICHEM GH. LTD,,,,,,,GH,Yes,UNICHEM
UNICHEM,,,,,,,GH,Yes,UNICHEM
WHL,,,,,,,GH,Yes,WORLDWIDE HEALTHCARE LTD
Laborex,,,,,,,GN,Yes,LABOREX
LABOREX GUINEE,,,,,,,GN,Yes,LABOREX
SGIP,,,,,,,GN,Yes,SOGUIMAP
SOGUIMAP,,,,,,,GN,Yes,SOGUIMAP
SODIPH,,,,,,,GN,Yes,SODIPHARM
SODIPHARM  S.A.,,,,,,,GN,Yes,SODIPHARM
Harleys,,,,,,,KE,Yes,HARLEYS
HARLEYS LIMITED,,,,,,,KE,Yes,HARLEYS
Highchem,,,,,,,KE,Yes,HIGHCHEM
HIGHCHEM MARKETING LIMITED,,,,,,,KE,Yes,HIGHCHEM
HIGHCHEM MARKETING LTD,,,,,,,KE,Yes,HIGHCHEM
Laborex,,,,,,,KE,Yes,LABOREX
LABOREX KENYA LTD,,,,,,,KE,Yes,LABOREX
LABOREX KENYA,,,,,,,KE,Yes,LABOREX
Surgipharm,,,,,,,KE,Yes,SURGIPHARM
COFARMA,,,,,,,MG,Yes,COFARMA
C O F A R M A,,,,,,,MG,Yes,COFARMA
DROGEMAD,,,,,,,MG,Yes,DROGEMAD
INTERPHARMA,,,,,,,MG,Yes,INTERPHARMA
INTERPHARMA SARL,,,,,,,MG,Yes,INTERPHARMA
MADAPHAR UBIPHARM,,,,,,,MG,Yes,UBIPHARM
UBIPHARM MADAGASCAR SA,,,,,,,MG,Yes,UBIPHARM
MADAPHAR,,,,,,,MG,Yes,MADAPHAR
MADIPHAR,,,,,,,MG,Yes,MADAPHAR
OPHAM,,,,,,,MG,Yes,OPHAM
SOMAPHAR,,,,,,,MG,Yes,SOMAPHAR
SOPHARMAD,,,,,,,MG,Yes,SOPHARMAD
S O P H A R M A D  S.A,,,,,,,MG,Yes,SOPHARMAD
AFRICA,,,,,,,ML,Yes,AFRICA LAB
AFRICA LAB,,,,,,,ML,Yes,AFRICA LAB
CAMED,,,,,,,ML,Yes,CAMED
COPHAR,,,,,,,ML,Yes,COPHARMA
COPHARMA-UBIPHARM,,,,,,,ML,Yes,COPHARMA
Laborex,,,,,,,ML,Yes,LABOREX
LABOREX MALI SA,,,,,,,ML,Yes,LABOREX
CAMEC,,,,,,,MR,Yes,CAMEC
C A M E C,,,,,,,MR,Yes,CAMEC
CHIGHUETTY,,,,,,,MR,Yes,CHIGHUETTY
CHIVA,,,,,,,MR,Yes,CHIVA
CHIVA - MEDICA,,,,,,,MR,Yes,CHIVA
EL EMEL,,,,,,,MR,Yes,EL EMEL
EL EMEL PHARMA SA,,,,,,,MR,Yes,EL EMEL
Laborex,,,,,,,MR,Yes,LABOREX
LABOREX MAURITANIE S.A.,,,,,,,MR,Yes,LABOREX
LABOREX MAURITANIE,,,,,,,MR,Yes,LABOREX
MAURIPHARM,,,,,,,MR,Yes,MAURIPHARM
ORIGINE PH,,,,,,,MR,Yes,ORIGINE PHARMA
ORIGINE PHARMA  S.A.R.L.,,,,,,,MR,Yes,ORIGINE PHARMA
ORIGINE PHARMA,,,,,,,MR,Yes,ORIGINE PHARMA
SOMAPHAR,,,,,,,MR,Yes,SOMAPHAR
ANICHEM,,,,,,,MU,Yes,ANICHEM
Anichem ,,,,,,,MU,Yes,ANICHEM
ANICHEM PHARMACY,,,,,,,MU,Yes,ANICHEM
MSJ,,,,,,,MU,Yes,MSJ
MSJ LTD - UNICORN TRADING,,,,,,,MU,Yes,MSJ
UNICORN (MSJ LTD),,,,,,,MU,Yes,MSJ
PNL,,,,,,,MU,Yes,PHARMACIE  NOUVELLE
Laborex,,,,,,,NE,Yes,LABOREX
LABOREX NIGER,,,,,,,NE,Yes,LABOREX
SAPHAR,,,,,,,NE,Yes,SAPHAR
UBI,,,,,,,NE,Yes,UBIPHARM
BALMTCHAD,,,,,,,TD,Yes,BALMTCHAD
SOCIETE BALM - TCHAD S.A/AG,,,,,,,TD,Yes,BALMTCHAD
Laborex,,,,,,,TD,Yes,LABOREX
LABOREX TCHAD,,,,,,,TD,Yes,LABOREX
MED-PHARMT,,,,,,,TD,Yes,MED
MED PHARMAT,,,,,,,TD,Yes,MED
TCH PHARM,,,,,,,TD,Yes,TCH PHARMA
GTPHARM,,,,,,,TG,Yes,GTPHARM
OCDI,,,,,,,TG,Yes,OCDI
SOCOPH.,,,,,,,TG,Yes,SOCOPH.
SOTOMED,,,,,,,TG,Yes,SOTOMED
UNIPHART,,,,,,,TG,Yes,UNIPHART
Bahari,,,,,,,TZ,Yes,BAHARI
BAHARI PHARMACY LIMITED,,,,,,,TZ,Yes,BAHARI
JD,,,,,,,TZ,Yes,JD PHARMACY
J.D. PHARMACY LTD,,,,,,,TZ,Yes,JD PHARMACY
Laborex,,,,,,,TZ,Yes,LABOREX
Eris,,,,,,,UG,Yes,ERIS
ERIS  LTD,,,,,,,UG,Yes,ERIS
Laborex,,,,,,,UG,Yes,LABOREX
LifePharma,,,,,,,UG,Yes,LIFEPHARMA
Surgipharm,,,,,,,UG,Yes,SURGIPHARM
UBIPHARM,,,,,,,BF,Yes,UBIPHARM
TEDIS  BURKINA        CL,,,,,,,BF,Yes,TEDIS
CHIMIO,,,,,,,BI,Yes,CHIMIO
CHIMIO S.A.,,,,,,,BI,Yes,CHIMIO
ALCHEM INDUSTRIES,,,,,,,BI,Yes,ALCHEM
IBIS PHARMA / BURUNDI         CL,,,,,,,BI,Yes,IBIS PHARMA
MULTIPHAR (PHARMACIE DE GROS),,,,,,,BI,Yes,MULTIPHAR
GAPOB,,,,,,,BJ,Yes,GAPOB
U.B. PHAR S.A.,,,,,,,BJ,Yes,U.B. PHAR S.A.
PROMO PHARMA,,,,,,,BJ,Yes,PROMO PHARMA
PROMO-PHARMA SA,,,,,,,BJ,Yes,PROMO PHARMA
PHARMACIE DE LA NOBLESSE,,,,,,,CD,Yes,PHARMACIE DE LA NOBLESSE
AUXI-EXPORT / RDC        CL,,,,,,,CD,Yes,AUXI EXPORT
DEPOT PHARMACEUTIQUE EXTRA PLUS,,,,,,,CD,Yes,DEPOT PHARMACEUTIQUE EXTRA PLUS
CONCORD CONGO,,,,,,,CD,Yes,CONCORD
CONCORD CONGO S.P.R.L.,,,,,,,CD,Yes,CONCORD
COGEZAF / RDC        CL,,,,,,,CD,Yes,COGEZAF
COGEZAF S.A.,,,,,,,CD,Yes,COGEZAF
IBIS PHARMA / RDC           CL,,,,,,,CD,Yes,IBIS PHARMA
DEPOT PHARMACEUTIQUE SAINT SAUVEUR,,,,,,,CD,Yes,DEPOT PHARMACEUTIQUE SAINT SAUVEUR
SODIPHARM,,,,,,,GN,Yes,SODIPHARM
SOGUIMED-UBIPHARM GUINEE,,,,,,,GN,Yes,UBIPHARM
NAP PHARMA  sarl,,,,,,,GN,Yes,NAP PHARMA
PROCHIPHAR / GUINEE      CL,,,,,,,GN,Yes,PROCHIPHAR
TEDIS/ GUINEE       CL,,,,,,,GN,Yes,TEDIS
KALOUM PHARMA SARL,,,,,,,GN,Yes,KALOUM PHARMA
AMIALSAR  SARL,,,,,,,GN,Yes,AMIALSAR 
FEELA PHARMA,,,,,,,GN,Yes,FEELA PHARMA
PHARMA GROUPE INTERNATIONAL PGI,,,,,,,GN,Yes,PHARMA GROUPE INTERNATIONAL PGI
SOMAPHAR PLATEFORME,,,,,,,MG,Yes,SOMAPHAR
DICOPROPHAGI SARL,,,,,,,MG,Yes,DICOPROPHAGI
LABOREX MALI,,,,,,,ML,Yes,LABOREX
TEDIS,,,,,,,ML,Yes,TEDIS
SOMAPHAR MR,,,,,,,MR,Yes,SOMAPHAR
G.C. PHARMA,,,,,,,MR,Yes,G.C. PHARMA
G. C. PHARMA,,,,,,,MR,Yes,G.C. PHARMA
G.C. PHARMA,,,,,,,MR,Yes,G.C. PHARMA
EL WATANIYA PHARMA SARL,,,,,,,MR,Yes,EL WATANIYA PHARMA
ESSALAMA PHARMA,,,,,,,MR,Yes,ESSALAMA
SALAMA,,,,,,,MR,Yes,SALAMA
GKDIS PHARMA,,,,,,,MR,Yes,GKDIS PHARMA
W PHARMA,,,,,,,MR,Yes,W PHARMA
BARAKATT MEDICAL,,,,,,,MR,Yes,BARAKATT MEDICAL
RAHMA PHARMA SA,,,,,,,MR,Yes,RAHMA PHARMA
SNIM,,,,,,,MR,Yes,SNIM
ESSIHA AVIA PHARMA,,,,,,,MR,Yes,ESSIHA AVIA PHARMA
MAURIMED SA,,,,,,,MR,Yes,MAURIMED
MAURI-MED,,,,,,,MR,Yes,MAURIMED
GROUPE AL RAHAMA MEDICAL (GAM PHARMA),,,,,,,TD,Yes,GAM PHARMA
UNIPHART S.A.,,,,,,,TG,Yes,UNIPHART
