Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
Surgipharm KE,Surgipharm KE,sales@surgipharm.com ,+254 20 3749304,Nairobi,Nairobi ,,,Kenya,,,,,,,
Surgipharm UG,Surgipharm UG,,,Kampala,Kampala,,,Uganda,,,,,,,
BEKER ET,BEKER ET,,,Addis,Addis ,,,Ethiopia,,,,,,,
Bahari Pharmacy TZ,Bahari Pharmacy TZ,,,Dar Es Salaam,Dar es Salaam,,,Tanzania,,,,,,,
Dejen ET,Dejen ET,,,Addis,Addis ,,,Ethiopia,,,,,,,
Direct ET,Direct ET,,,Addis,Addis ,,,Ethiopia,,,,,,,
Direct KE,Direct KE,,,Nairobi,Nairobi ,,,Kenya,,,,,,,
Dugda ET,Dugda ET,,,Addis,Addis ,,,Ethiopia,,,,,,,
EBG ET,EBG ET,,,Addis,Addis ,,,Ethiopia,,,,,,,
Eris UG,Eris UG,,,Kampala,Kampala,,,Uganda,,,,,,,
HML UG,HML UG,,,Kampala,Kampala,,,Uganda,,,,,,,
Harleys KE,Harleys KE,,,Nairobi,Nairobi ,,,Kenya,,,,,,,
Highchem KE,Highchem KE,,,Nairobi,Nairobi ,,,Kenya,,,,,,,
JD TZ,JD TZ,,,Dar Es Salaam,Dar es Salaam,,,Tanzania,,,,,,,
Laborex KE,Laborex KE,,,Nairobi,Nairobi ,,,Kenya,,,,,,,
Laborex TZ,Laborex TZ,,,Dar Es Salaam,Dar es Salaam,,,Tanzania,,,,,,,
Laborex UG,Laborex UG,,,Kampala,Kampala,,,Uganda,,,,,,,
Life Pharma UG,Life Pharma UG,,,Kampala,Kampala,,,Uganda,,,,,,,
PFSA ET,PFSA ET,,,Addis,Addis ,,,Ethiopia,,,,,,,
