"Name;Email;Phone;Address;City;State;Postal Code;Country;is_subsidiary;parent_company"
"A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;;;;;;;AO;no;AMD PASSOS"
"AURATIS MANAGEMENT CONSULTANCY DWC-LLC;;;;;;;AO;no;AURATIS MANAGEMENT CONULTANCY"
"AMT (ANGOLA) TRADING, LDA.;;;;;;;AO;no;AMT (ANGOLA) TRADING"
"AUSTRALPHARMA-SOC.COM.DIST.PR.FARM.,SARL;;;;;;;AO;no;AUSTRALPHARMA"
"BIAL PORTELA & COMPANHIA, S.A;;;;;;;MZ;no;BIAL PORTELA & COMPANHIA"
"BIAL PORTELA & COMPANHIA, S.A;;;;;;;AO;yes;BIAL PORTELA & COMPANHIA"
"BIOLS-PHARMACEUTICALS, UNIP., LDA.;;;;;;;GW;yes;BIOLS PHARMACEUTICALS "
"BIOLS-PHARMACEUTICALS, UNIP., LDA.;;;;;;;AO;no;BIOLS PHARMACEUTICALS "
"CAFELI;;;;;;;AO;no;CAFELI"
"CASSAM COM.GERAL-INES C.F.CASSAM (C.FARMACEUTICA);;;;;;;AO;no;CASSAM"
"CONTICASH-SOC. GROSSISTA, LDA.;;;;;;;AO;no;CONTICASH"
"COSMOPROUD, UNIP., LDA.;;;;;;;AO;no;COSMOPROUD"
"ECOFARMA;;;;;;;AO;no;ECOFARMA"
"ECOMAR, SA;;;;;;;AO;no;ECOMAR"
"EMPROFAC, SARL;;;;;;;CV;no;EMPROFAC"
"ETIOGEN, LDA. - A/C FILIPE GOMES;;;;;;;AO;no;ETIOGEN"
"FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;;;;;;;AO;no;FARMAKA"
"FHC PHARMACEUTICA, S.A.;;;;;;;AO;no;FHC PHARMACEUTICA"
"GIANT BRIGHTNESS, LDA;;;;;;;AO;no;GIANT BRIGHTNESS"
"GREENMED, LDA.;;;;;;;AO;no;GREENMED"
"GRUPO HEMOFARMA, LDA;;;;;;;AO;no;GRUPO HEMOFARMA"
"KENT PHARMA,S.A.;;;;;;;AO;no;KENT PHARMA"
"KNIPHAR-PRODUTOS FARMACEUTICOS,LDA;;;;;;;AO;no;KNIPHAR PRODUTOS FARMACEUTICOS"
"LIFEWAY, LDA.;;;;;;;AO;no;LIFEWAY"
"LUZOFARMA, L.DA;;;;;;;AO;no;LUZOFARMA"
"MEDIAFARMACO, LDA;;;;;;;AO;no;MEDIAFARMACO"
"NBC MEDICAL, LDA.;;;;;;;AO;no;NBC MEDICAL"
"ODISSEIAMARGEM, P. F. - UNIP. LDA.;;;;;;;AO;no;ODISSEIAMARGEM"
"PHF-PROD.HOSPITALARES E FARM., LDA.;;;;;;;AO;no;PHF PROD HOSPITALARES E FARM"
"PORT FARMACEUTICAL, LDA.;;;;;;;AO;no;PORT FARMACEUTICAL"
"PORTICO PROPERTIES LIMITED, SUC. EM PORTUGAL;;;;;;;AO;no;PORTICO PROPERTIES "
"PRAMELHOR;;;;;;;AO;no;PRAMELHOR"
"QUALIUM FARMA - IND. FARMAC., UNIP., LDA.;;;;;;;AO;no;QUALIUM FARMA"
"QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;;;;;;;AO;no;QUILABAN"
"QUIMEXPORT-COMÉRCIO INTERNACIONAL, LDA.;;;;;;;CV;yes;QUIMEXPORT"
"QUIMEXPORT-COMÉRCIO INTERNACIONAL, LDA.;;;;;;;AO;no;QUIMEXPORT"
"SOCIFARMA-SOC.FARM.ANGOLANA,S.A.;;;;;;;AO;no;SOCIFARMA"
"STOCKPHARMA, LDA.;;;;;;;AO;no;STOCKPHARMA"
"TRADE MEDIC, S.A.;;;;;;;GW;no;TRADE MEDIC"
"VELVET MED-HEALTHCARE SOLUTIONS, LDA.;;;;;;;AO;no;VELVET MED HEALTHCARE SOLUTIONS"
"VELVET MED-HEALTHCARE SOLUTIONS, LDA.;;;;;;;ST;yes;VELVET MED HEALTHCARE SOLUTIONS"
"VELVET MED-HEALTHCARE SOLUTIONS, LDA.;;;;;;;CV;yes;VELVET MED HEALTHCARE SOLUTIONS"
"VIRTUGAL, LDA.;;;;;;;AO;no;VIRTUGAL"
"XARMADIS PROD. FARM., LDA.;;;;;;;GW;yes;XARMADIS"
"XARMADIS PROD. FARM., LDA.;;;;;;;AO;no;XARMADIS"
"ZTM INTERNATIONAL LIMITED;;;;;;;AO;no;ZTM INTERNATIONAL "
