MSR/ALIGNNMENT,CUSTOMER,PRODUCT
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,KRISHNA CHEMIST LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,NILA PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,M.P SHAH HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,THE NAIROBI HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,NILA PHARMACEUTICALS,AMARYL 2MG 30 TABS
KE-DCV-1,NILA PHARMACEUTICALS,AMARYL 4MG 30 TABS
KE-DCV-4,BLISS GVS HEALTHCARE LTD/ ASTERIXS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,GOODLIFE PHARMACY LIMITED,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,TRANSWIDE PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,AMARYL 4MG 30 TABS
KE-DCV-1,GENERIC AFRICA LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-1,NILA PHARMACEUTICALS,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,AMARYL 2MG 30 TABS
KE-DCV-5,TRANSWIDE PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-1,NILA PHARMACEUTICALS,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,KENYATTA NATIONAL HOSPITAL,LANTUS VIAL 10MG 1
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,TRANSWIDE PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-5,AVENUE HOSPITAL LTD.,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,GENERIC AFRICA LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,OMAERA PHARMACEUTICALS LTD.,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,LANTUS VIAL 10MG 1
KE-DCV-3,DOCPHARMA LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,KRISHNA CHEMIST LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,HIGHRIDGE PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,NJIMIA PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-4,MATER MISEROCORDIAE HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,NAIROBI WEST HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,GOODLIFE PHARMACY LIMITED,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,NYERI MED SERV LTD/OUTSPAN HSP,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,THE NAIROBI HOSPITAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,M.P SHAH HOSPITAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,TRANSWIDE PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,GENERIC AFRICA LTD,AMARYL 2MG 30 TABS
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,AMARYL 2MG 30 TABS
KE-DCV-3,SKY HEALTHCARE LIMITED,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,LIONS SIGHTFIRST EYE HOSPITAL,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-1,ORION PHARMACY LTD.,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,PHARMAPLUS PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,SUNCITY CHEMISTS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,NAIROBI WOMENS HOSPITAL LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD - Nairobi,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,KENYATTA NATIONAL HOSPITAL,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-4,KRISHNA CHEMIST LTD,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-1,MEDINA PHARMACY LIMITED,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,CITY LINK PHARMA LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD - Nairobi,AMARYL 4MG 30 TABS
KE-DCV-2,ALFAJIRI PHARMACEUTICALS LTD,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-4,BEKY HOLDINGS PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,THE NAIROBI HOSPITAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-3,KENYA ARMY HEADQUARTERS,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-1,NILA PHARMACEUTICALS,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,AMARYL 4MG 30 TABS
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-2,AAR HEALTHCARE KENYA LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD - Nairobi,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-4,SATYA PHARMACY LIMITED,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,KRISHNA CHEMIST LTD,AMARYL 2MG 30 TABS
KE-DCV-2,SALAMA PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,EASTLEIGH PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-3,DR. IGNATIUS MUTURI,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,APIDRA SOLOSTAR 300IU INJ/5
KE-DCV-5,GOODLIFE PHARMACY LIMITED,AMARYL 4MG 30 TABS
KE-DCV-3,JALARAM MEDICAL CENTER,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-5,LIONS SIGHTFIRST EYE HOSPITAL,ALLSTAR MEDSU PEN1 XE
KE-DCV-4,MATER MISEROCORDIAE HOSPITAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-1,GENERIC AFRICA LTD,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-4,BLISS GVS HEALTHCARE LTD/ ASTERIXS,LANTUS VIAL 10MG 1
KE-DCV-1,UNIVERSITY OF NAIROBI - CLINIC,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-3,OMAERA PHARMACEUTICALS LTD.,AMARYL 4MG 30 TABS
KE-DCV-1,THE NAIROBI HOSPITAL,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-2,SALAMA PHARMACEUTICALS,AMARYL 4MG 30 TABS
KE-DCV-4,NORTHERN PHARMACY,AMARYL 4MG 30 TABS
KE-DCV-1,GENERIC AFRICA LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-3,KENYA ARMY HEADQUARTERS,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,OMAERA PHARMACEUTICALS LTD.,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-1,NILA PHARMACEUTICALS,AMARYL 1MG 30 TABS
KE-DCV-5,GOODLIFE PHARMACY LIMITED,AMARYL 2MG 30 TABS
KE-DCV-3,EASTLEIGH PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-2,SALAMA PHARMACEUTICALS,AMARYL 2MG 30 TABS
KE-DCV-1,THE NAIROBI HOSPITAL,AMARYL 4MG 30 TABS
KE-DCV-2,SALAMA PHARMACEUTICALS,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,TRANSWIDE PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,EASTLEIGH PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-5,GOODLIFE PHARMACY LIMITED,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-2,VETERAN PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-1,GENERIC AFRICA LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-5,M.P SHAH HOSPITAL,LANTUS VIAL 10MG 1
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-1,THE NAIROBI HOSPITAL,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-4,KRISHNA CHEMIST LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,GENERIC AFRICA LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-4,PHILMED LIMITED,AMARYL 2MG 30 TABS
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,AMARYL 1MG 30 TABS
KE-DCV-3,OMAERA PHARMACEUTICALS LTD.,AMARYL 2MG 30 TABS
KE-DCV-5,COMPREHENSIVE DIABETES CENTRE,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,A G PHARMACEUTICAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,SUNCITY CHEMISTS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,NEEM PHARMACY,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,NYERI MED SERV LTD/OUTSPAN HSP,AMARYL 4MG 30 TABS
KE-DCV-2,ALFAJIRI PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-4,METROPOLITAN HOSPITAL LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD - Nairobi,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-1,NILA PHARMACEUTICALS,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-2,DISCHEM PHARMACIE,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,GOODLIFE PHARMACY LIMITED,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-5,GOODLIFE PHARMACY LIMITED,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-3,GATHIMAINI PHARMACY,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-3,KENYA ARMY HEADQUARTERS,LANTUS VIAL 10MG 1
KE-DCV-2,ALFAJIRI PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,TEMPLE STORES PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,KRISHNA CHEMIST LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-4,KRISHNA CHEMIST LTD,AMARYL 4MG 30 TABS
KE-DCV-4,KRISHNA CHEMIST LTD,ALLSTAR MEDSU PEN1 XE
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD - Nairobi,AMARYL 2MG 30 TABS
KE-DCV-1,COPTIC HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,ELMART PHARMA LTD             ,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,Citymed Pharmacy,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,NAIROBI SOUTH HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,FORCES MEMORIAL HOSPITAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,FORCES MEMORIAL HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,NEW LEMUMA PHARMACY CO LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,NILA PHARMACEUTICALS,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-2,ALFAJIRI PHARMACEUTICALS LTD,LANTUS VIAL 10MG 1
KE-DCV-4,BEL-EA PHARMACY LTD,AMARYL 2MG 30 TABS
KE-DCV-2,TRANSCHEM PHARMACEUTICALS,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-4,KAM PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,KIREC PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,NAIROBI WOMENS HOSPITAL LTD,LANTUS VIAL 10MG 1
KE-DCV-1,NAIROBI WOMENS HOSPITAL LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,KENYA ARMY HEADQUARTERS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,VETERAN PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-4,KRISHNA CHEMIST LTD,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-3,NJIMIA PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-5,DOVEY PHARMACEUTICALS LIMITED,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,THE NAIROBI HOSPITAL,AMARYL 2MG 30 TABS
KE-DCV-3,JALARAM MEDICAL CENTER,ALLSTAR MEDSU PEN1 XE
KE-DCV-2,ALFAJIRI PHARMACEUTICALS LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD,AMARYL 1MG 30 TABS
KE-DCV-4,CENTRAL BANK OF KENYA,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,EMBU CHILDREN HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,FREB PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,KRISHNA CHEMIST LTD,AMARYL 1MG 30 TABS
KE-DCV-2,KIREC PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-3,NYERI MED SERV LTD/OUTSPAN HSP,AMARYL 2MG 30 TABS
KE-DCV-1,NAIROBI WOMENS HOSPITAL LTD,AMARYL 2MG 30 TABS
