MSR,Customer Name,Products
CHC_OTC_Others,,BUSCOPAN AMPOULES 20mg/1ml * 5's 
CHC_OTC_Others,,BUSCOPAN PLUS TABLETS * 50's
CHC_OTC_Others,,BUSCOPAN TABLETS BP 10mg * 50's
CHC_OTC_Others,,DULCOLAX TABLETS 5mg * 30's SugarC
CHC_OTC_Others,,RHINAPHYTO 6.64G/+ ELIX BT1 M36 XD
CHC_OTC_Others,,RHINATHIOL 10G/200ML SOL BTX1 XM
CHC_OTC_Others,,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
CHC_OTC_Others,,RHINATHIOL 6.25G/+ SYR BT
CHC_RX_Others,,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
CHC_RX_Others,,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC_RX_Others,,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-DCV_Others,,ALLSTAR MEDSU PEN1 XE
KE-DCV_Others,,AMARYL 1MG 30 TABS
KE-DCV_Others,,AMARYL 2MG 30 TABS
KE-DCV_Others,,AMARYL 3MG 30'S
KE-DCV_Others,,AMARYL 4MG 30 TABS
KE-DCV_Others,,AMARYL M SR 2MG 30'S
KE-DCV_Others,,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV_Others,,APIDRA SOLOSTAR 300IU INJ/5
KE-DCV_Others,,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV_Others,,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV_Others,,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV_Others,,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV_Others,,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV_Others,,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV_Others,,LANTUS VIAL 10MG 1
KE-G.MED-1_Others,,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE
KE-G.MED-1_Others,,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1_Others,,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1_Others,,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-1_Others,,PLAVIX 75MG TABCO BL2X14 M36 XE
KE-G.MED-1_Others,,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1_Others,,TRITACE 5MG 28 TABS
KE-G.MED-1_Others,,TRITAZIDE 5-12.5MG TAB BL2X14 S3 M36 XD
KE-G.MED-1_Others,,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE
KE-G.MED-3_Others,,APROVASC 150/5
KE-G.MED-3_Others,,APROVASC 300/10
KE-G.MED-3_Others,,APROVASC 300/5
KE-G.MED-3_Others,,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3_Others,,EPILIM 200MG TAB BL10X10
KE-G.MED-3_Others,,EPILIM 400MG/4ML INJPO VL+S1 M60 XE
KE-G.MED-3_Others,,EPILIM CHRONO 333-145MG T
KE-G.MED-3_Others,,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
KE-G.MED-3_Others,,ORELOX 100MG TABCO BL1X10
KE-G.MED-3_Others,,ORELOX 200MG 10CP
KE-G.MED-3_Others,,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-G.MED-3_Others,,ORELOX 800MG/+ GRAN BTX1
KE-G.MED-4_Others,,AXACEF 250MG TABCO BL1X10 M36 GH
KE-G.MED-4_Others,,AXACEF 500MG TABCO BL1X10 M36 KE
KE-G.MED-4_Others,,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4_Others,,FLAGYL 400MG 100 TABS
KE-G.MED-4_Others,,FLAGYL SUSPENSION 100ML
KE-G.MED-4_Others,,FLEMING 1G-200MG INJPO VL5 M24 EX
KE-G.MED-4_Others,,FLEMING 2.8MG/70ML PO BTX1 M24 EX
KE-G.MED-4_Others,,FLEMING 5.6G/70ML PO BTX1 M24 GH
KE-G.MED-4_Others,,FLEMING 500-125MG TABCO BL2X7 M24 EX
KE-G.MED-4_Others,,FLEMING 875-125MG TABCO BL2X7 M24 EX
KE-G.MED-4_Others,,ZOXON 1G INJPO VL1+AM1 M36 KE
