Name,Email,Phone,Address,City,Country,is_subsidiary,parent_company
A G PHARMACEUTICAL,saleem@tecdiary.com,105292122,Taman Desa,Kuala Lumpur,KE,No,
A TO Z PHARMACY LTD,saleem@tecdiary.com,105292123,Taman Desa,Kuala Lumpur,KE,No,
A.I.C. KIJABE HOSPITAL,,,,,KE,,
AAR HEALTHCARE KENYA LTD,,,,,KE,,
ABAAHI CHEMIST,,,,,KE,,
ACCRA PHARMACY LTD,,,,,KE,,
ACHIMS CHEMIST,,,,,KE,,
ACHIRAL PHARMACEUTICALS,,,,,KE,,
ACTION IN FOCUS CASH,,,,,KE,,
ADAKIM CHEMIST,,,,,KE,,
ADEN CHEMIST-CASH,,,,,KE,,
AFRICAN PHARMACEUTICALS LTD,,,,,KE,,
THE AFRICAN UNION COMMISSION,,,,,KE,,
AFRICANA MALL HEALTHCARE LIMITED - CASH,,,,,KE,,
AFRILIFE CHEMIST,,,,,KE,,
AFRILIFE CHEMIST-CASH,,,,,KE,,
AFROMED HEALTHCARE PHARMACY-PH,,,,,KE,,
Afyacare Chemist-Cash,,,,,KE,,
AGA KHAN HOSPITAL NAIROBI,,,,,KE,,
AGEAN HEALTHCARE-CASH,,,,,KE,,
AGMART PHARMACEUTICALS,,,,,KE,,
Agmart-Cash,,,,,KE,,
AHADI PHARMACY-CASH,,,,,KE,,
AILGLE CHEMIST CASH,,,,,KE,,
AAKASH PHARMACY LTD,,,,,KE,,
AL AMIN NURSING HOME,,,,,KE,,
AL AQSA MEDICAL AND LAB SERVICES  ,,,,,KE,,
AL HABIB-CASH,,,,,KE,,
AL MANAAR PHARMACY-CASH,,,,,KE,,
AL SHIFA PHARMACY LTD MOMBASA,,,,,KE,,
ALADIN CHEMIST-CASH,,,,,KE,,
ALCHEM PHARMACY LTD,,,,,KE,,
ALCON INVESTMENT-CASH,,,,,KE,,
ALFA CHEMIST,,,,,KE,,
ALFAJIRI PHARMACEUTICALS LTD,,,,,KE,,
ALFURGAN CASH,,,,,KE,,
AL-HAQ PHARMACY-CASH,,,,,KE,,
Alhidaya Chemist,,,,,KE,,
ALLAMED PHARMACEUTICALS LTD,,,,,KE,,
ALLIANCE MEDICAL CENTER,,,,,KE,,
ALLMED HEALTHCARE,,,,,KE,,
ALPHA HILL MEDICAL CLINIC-CASH,,,,,KE,,
Alpha Hill Medical Clinic-Cash - MDS,,,,,KE,,
ALPHAPHARM,,,,,KE,,
ALPHAPHARM-CASH,,,,,KE,,
AL-SHIFA PHARMACY LTD - MOMBASA,,,,,KE,,
AM PHARMA SURGICAL LTD,,,,,KE,,
AM PHARMA SURGICAL LTD-CASH,,,,,KE,,
AMANDA CHEMIST CASH,,,,,KE,,
AMYLIN CHEMIST,,,,,KE,,
ANDRONE CHEMIST-CASH,,,,,KE,,
APEC PHARMACY LTD,,,,,KE,,
ARACHIS PHARMACEUTICALS LTD,,,,,KE,,
ARK PHARMACY-CASH,,,,,KE,,
ARNICA ,,,,,KE,,
ASCENT MEDIMART-CASH,,,,,KE,,
ASSOCIATED BATTERY MANUFACTURERS (E.A) LIMITED,,,,,KE,,
ASTRAPHARM CHEMIST LIMITED,,,,,KE,,
ATOM PHARMACEUTICAL LTD,,,,,KE,,
AURORA PHARMACY-CASH,,,,,KE,,
AVA PHARMACY LTD,,,,,KE,,
Avante Pharma Limited,,,,,KE,,
AVENUE HEALTHCARE - NAIROBI BRANCH,,,,,KE,,
AVENUE HEALTHCARE LTD MOMBASA,,,,,KE,,
AVENUE HOSPITAL LTD.,,,,,KE,,
AWALE PHARMACEUTICALS,,,,,KE,,
AWANGMACH CHEMIST-CASH,,,,,KE,,
AXAR PHARMACEUTICALS LTD-KISII,,,,,KE,,
AZERA CHEMIST - CASH,,,,,KE,,
AZFAR CHEMIST-CASH,,,,,KE,,
B MED PHARMACY CASH,,,,,KE,,
BADAR PHARMACY LTD.,,,,,KE,,
BADRIA MEDICAL CLINIC-CASH,,,,,KE,,
BAHARI MEDICAL CLINIC,,,,,KE,,
BAHARI MEDICAL CLINIC -,,,,,KE,,
BAMBURI LIGHT PHARMACY,,,,,KE,,
BARICHEM-CASH,,,,,KE,,
BATIAN PEAK PHARMACEUTICALS LTD,,,,,KE,,
Baychem-Cash,,,,,KE,,
BAYLEAF PHARMACY-CASH,,,,,KE,,
BEETMAT CHEMIST-CASH,,,,,KE,,
BEIRUT PHARMARCY ,,,,,KE,,
BEIRUT PHARMACY-CASH,,,,,KE,,
BEL-EA PHARMACY LTD,,,,,KE,,
BELMONT PHARMACEUTICALS LTD,,,,,KE,,
BENFAH CHEMIST,,,,,KE,,
BENNESSERE PHARMACY CASH,,,,,KE,,
BEREYA CHEMIST-CASH,,,,,KE,,
BERUGAA PHARMACY,,,,,KE,,
Berugaa Pharmacy-Cash,,,,,KE,,
Berurgaa Pharmacy,,,,,KE,,
BESTO PHARMACY - CASH,,,,,KE,,
BETA CARE HOSPITAL LTD,,,,,KE,,
BETACHEM-CASH,,,,,KE,,
BETHPHAGE PHARMACY CASH,,,,,KE,,
BETHSAIDA PHARMACY -KSM ACC,,,,,KE,,
BIBO PHARMACEUTICALS LTD,,,,,KE,,
BILOVA CHEMISTS LTD,,,,,KE,,
BIOCELL CASH,,,,,KE,,
BIOCELL-CASH,,,,,KE,,
BIOCYTE PHARMACEUTICALS,,,,,KE,,
BIOCYTE PHARMACEUTICALS ELDORET AC - CASH,,,,,KE,,
BIODEAL LABORATORIES LTD  CR,,,,,KE,,
Bitab Pharmacy-Cash,,,,,KE,,
BLESSED CHEMIST,,,,,KE,,
BLESSED JAB CHEMIST CASH,,,,,KE,,
BLISS GVS HEALTHCARE LTD/ ASTERIXS,,,,,KE,,
BLISSPHARM CHEMIST,,,,,KE,,
BLUE OAK PHARMACY-CASH,,,,,KE,,
B-Med Pharmacy-Cash,,,,,KE,,
Bomani Pharmacy - CASH,,,,,KE,,
BOMU HOSPITAL,,,,,KE,,
BONDENI CHEMIST - MOMBASA,,,,,KE,,
BONFAITH PHARMACEUTICALS,,,,,KE,,
BOSIB CHEMIST,,,,,KE,,
BRABEN CHEMIST,,,,,KE,,
BRAIN SPINE AND REHABILIATION HOSPITAL,,,,,KE,,
BRANT CHEMISTS,,,,,KE,,
