Name,Email,Phone,Address,City,Country,is_subsidiary,parent_company
VANTAGE HEALTHCARE SOLUTIONS  ,,,,,KE,,
EAGLE EYE LASER CENTER LTD    ,,,,,KE,,
WHOLESALE CASH ACCOUNT KISUMU,,,,,KE,,
NARASHA CHEMIST LIMITED       ,,,,,KE,,
BASPEN SYOKIMAU COTAGE HOSPITA,,,,,KE,,
APPEX HOSPITAL                ,,,,,KE,,
FIELD TECHNOLOGY DEVELOPMENT PARTNERS LTD,,,,,KE,,
KWALE DISTRICT EYE CENTRE,,,,,KE,,
MEDINA REMEDIES LIMITED       ,,,,,KE,,
MEDIHEAL SOURCING LIMITED,,,,,KE,,
GREENSPAN CHEMISTS,,,,,KE,,
MOMBASA CANCER CENTRE LLP,,,,,KE,,
SAVANI MEDICAL CENTRE,,,,,KE,,
