Name,Email,Phone,Address,City,Country,is_subsidiary,parent_company
A TO Z PHARMACY LTD           ,,,,,KE,,
A.I.C. KIJABE HOSPITAL        ,,,,,KE,,
AAR HEALTHCARE KENYA LTD      ,,,,,KE,,
ABAAHI PHARMA                 ,,,,,KE,,
ACHIRAL PHARMACEUTICALS       ,,,,,KE,,
ADAKIM CHEMIST                ,,,,,KE,,
ADAMS ARCADE BRICK PHARMA LTD ,,,,,KE,,
AFRICA GREATNESS PHARMA       ,,,,,KE,,
AGA KHAN HOSPITAL KISUMU      ,,,,,KE,,
AL RIYADH CHEMIST             ,,,,,KE,,
AL-HIDDAYA PHARMACEUTICALS LTD,,,,,KE,,
ALLIANCE MEDICAL CENTRE MOMBAS,,,,,KE,,
AL-MANAAR PHARMACEUTICAL LTD  ,,,,,KE,,
AMBER MEDICAL CLINIC          ,,,,,KE,,
AMYLIN CHEMIST                ,,,,,KE,,
ANISA OMAR                    ,,,,,KE,,
ANSELL PHARMACEUTICALS LTD    ,,,,,KE,,
ARACHIS PHARMACEUTICALS LTD   ,,,,,KE,,
ASSOCIATED VEHICLE ASSEMBLERS ,,,,,KE,,
ASTRAPHARM CHEMIST LIMITED    ,,,,,KE,,
ATOM PHARMACEUTICAL LTD       ,,,,,KE,,
AVENUE GARDEN CITY            ,,,,,KE,,
AVENUE HEALTHCARE BURUBURU    ,,,,,KE,,
AVENUE HEALTHCARE EMBAKASI    ,,,,,KE,,
AVENUE HEALTHCARE ENTERPRISE  ,,,,,KE,,
AVENUE HEALTHCARE GREENSPAN   ,,,,,KE,,
AVENUE HEALTHCARE L CHANGAMWE ,,,,,KE,,
AVENUE HEALTHCARE LANGATA     ,,,,,KE,,
AVENUE HEALTHCARE LTD KISUMU  ,,,,,KE,,
AVENUE HEALTHCARE LTD MOMBASA ,,,,,KE,,
AVENUE HEALTHCARE LTD NAIROBI ,,,,,KE,,
AVENUE HEALTHCARE LTD NAKURU  ,,,,,KE,,
AVENUE HOSPITAL               ,,,,,KE,,
AVENUE NGONG ROAD             ,,,,,KE,,
AVENUE RONGAI                 ,,,,,KE,,
AVENUE SOUTH C                ,,,,,KE,,
AXITA PHARMACY                ,,,,,KE,,
BADAR PHARMACY LTD            ,,,,,KE,,
BARAKAAT CHEMIST LIMITED      ,,,,,KE,,
BATIAN PEAK  PHARMACY         ,,,,,KE,,
BECAMOL CHEMIST               ,,,,,KE,,
BEKY HOLDINGS PHARMACY LTD    ,,,,,KE,,
BEL-EA PHARMACY LTD           ,,,,,KE,,
BELEVIEW SOUTH HOSPITAL       ,,,,,KE,,
BELMONT PHARMACEUTICALS LIMITE,,,,,KE,,
BENORA PHARMACY LTD           ,,,,,KE,,
BIBO PHARMACEUTICALS LTD      ,,,,,KE,,
BIGSTAR PHARMACY              ,,,,,KE,,
BILOVA CHEMIST                ,,,,,KE,,
BLISSPHARM CHEMIST            ,,,,,KE,,
BLUE OAK PHARMACY             ,,,,,KE,,
BOMENI CHEMIST LTD            ,,,,,KE,,
BONDENI CHEMIST               ,,,,,KE,,
BUNGOMA WEST CHEMIST,,,,,KE,,
BUNGOMA WEST MEDICAL SERVICES ,,,,,KE,,
BURHANI PHARMACY              ,,,,,KE,,
CANAAN PHARMACEUITICAL LTD    ,,,,,KE,,
CANAAN PHARMACEUTICALS LTD,,,,,KE,,
CARE HOSPITAL LIMITED         ,,,,,KE,,
CASH ACCOUNT  KOINANGE        ,,,,,KE,,
CASH ACCOUNT MSA- AL-SHIFA,,,,,KE,,
CASH ACCOUNT MSA- AVENUE MSA,,,,,KE,,
CASH ACCOUNT MSA- C/O DR NAJI FOR MR MOMIN,,,,,KE,,
CASH ACCOUNT MSA- DR IBRAHIM,,,,,KE,,
CASH ACCOUNT MSA- MEWA,,,,,KE,,
CASH ACCOUNT MSA- MEWA MEDICAL,,,,,KE,,
CASH ACCOUNT MSA- MEWA MEDICAL CENTRE,,,,,KE,,
CASH SALE (C.O.D)- ABAAHI CHEMIST (C/O VERONICA),,,,,KE,,
CASH SALE (C.O.D)- ABAAHI CHEMIST (C/O VERONICA)/ INV 20396985,,,,,KE,,
CASH SALE (C.O.D)- BROSCH PHARMACY,,,,,KE,,
CASH SALE (C.O.D)- DR CHANA C/O NAIROBI WEST HOSPITAL,,,,,KE,,
CASH SALE (C.O.D)- DR P.C PATEL,,,,,KE,,
CASH SALE (C.O.D)- DR RAMESH SHAH/DIPAM SHAH,,,,,KE,,
CASH SALE (C.O.D)- DR. ABDULRAHMAN,,,,,KE,,
CASH SALE (C.O.D)- MODANA PHARMACY,,,,,KE,,
CASH SALE (C.O.D)- SYNAPSE PHARMACEUTICALS LTD,,,,,KE,,
CEDAR CLINICAL ASSOCIATES     ,,,,,KE,,
CENTRAL BANK OF KENYA         ,,,,,KE,,
CENTURION PHARMACY LTD.,,,,,KE,,
CHERANGANY NURSING HOME LTD   ,,,,,KE,,
COPTIC CHURCH NURSING HOME,,,,,KE,,
