Name,Email,Phone,Address,City,Country,is_subsidiary,parent_company
AGA KHAN HOSPITAL NAIROBI,,,,,KE,No,
TRANSCHEM PHARMACEUTICALS,,,,,KE,No,
KRISHNA CHEMIST LTD,,,,,KE,No,
NILA PHARMACEUTICALS,,,,,KE,No,
M.P SHAH HOSPITAL,,,,,KE,No,
THE NAIROBI HOSPITAL,,,,,KE,No,
BLISS GVS HEALTHCARE LTD/ ASTERIXS,,,,,KE,No,
GOODLIFE PHARMACY LIMITED,,,,,KE,No,
TRANSWIDE PHARMACEUTICALS LTD,,,,,KE,No,
GENERIC AFRICA LTD,,,,,KE,No,
KENYATTA NATIONAL HOSPITAL,,,,,KE,No,
RANGECHEM PHARMACEUTICALS LTD,,,,,KE,No,
AVENUE HOSPITAL LTD.,,,,,KE,No,
OMAERA PHARMACEUTICALS LTD.,,,,,KE,No,
DOCPHARMA LTD,,,,,KE,No,
HIGHRIDGE PHARMACY LTD,,,,,KE,No,
NJIMIA PHARMACEUTICALS LTD,,,,,KE,No,
MATER MISEROCORDIAE HOSPITAL,,,,,KE,No,
NAIROBI WEST HOSPITAL,,,,,KE,No,
NYERI MED SERV LTD/OUTSPAN HSP,,,,,KE,No,
SKY HEALTHCARE LIMITED,,,,,KE,No,
LIONS SIGHTFIRST EYE HOSPITAL,,,,,KE,No,
ORION PHARMACY LTD.,,,,,KE,No,
PHARMAPLUS PHARMACEUTICALS LTD,,,,,KE,No,
SUNCITY CHEMISTS LTD,,,,,KE,No,
NAIROBI WOMENS HOSPITAL LTD,,,,,KE,No,
ELDOHOSP PHARMACEUTICALS LTD - Nairobi,,,,,KE,No,
MEDINA PHARMACY LIMITED,,,,,KE,No,
CITY LINK PHARMA LTD,,,,,KE,No,
ALFAJIRI PHARMACEUTICALS LTD,,,,,KE,No,
BEKY HOLDINGS PHARMACY LTD,,,,,KE,No,
KENYA ARMY HEADQUARTERS,,,,,KE,No,
AAR HEALTHCARE KENYA LTD,,,,,KE,No,
