MONTH,COUNTRY,DISTRIBUTOR,Distributor NAMING,QUANTITY_UNITS
8,TZ,JD,SANOFI AMARYL M 2MG TABS 30S,738
8,TZ,JD,SANOFI AMARYL TABS 1MG 30S,82
8,TZ,JD,SANOFI APIDRA SOLOSTAR 5 X 3MLS,42
8,TZ,JD,SANOFI CLEXANE INJ 40MG 2S (4000 ANTI-XA IU/0.4 ML),899
8,TZ,JD,SANOFI CLEXANE INJ 60MG 2S,48
8,TZ,JD,SANOFI EPILIM 200MG TAB 100S U.K,224
8,TZ,JD,SANOFI EPILIM CHRONO 500MG TAB 100S,148
8,TZ,JD,SANOFI MAALOX PLUS 200MG CHEWABLE TABS 40S,88
8,TZ,JD,SANOFI NO-SPA 40MG TABS 100S,274
8,TZ,JD,SANOFI NO-SPA 40MG TABS 20S,163
8,TZ,JD,SANOFI ORELOX TABS 100MG 10Sx1,89
8,TZ,JD,SANOFI ORELOX TABS 200MG 10S,170
8,TZ,JD,SANOFI RHINATHIOL PROMETHAZINE SYRUP 125MLS,340
8,TZ,JD,SANOFI RHINATHIOL SYRUP 2% CHILD 125MLS 1 U.K,4854
8,TZ,JD,SANOFI RHINATHIOL SYRUP ADULT S/FREE 200MLS,351
8,TZ,Laborex,AMARYL TABS 1MG 30'S          ,269
8,TZ,Laborex,AMARYL TABS 2MG 30'S          ,240
8,TZ,Laborex,RHINATHIOL AD 5% S/S 10G200ML ,1
8,TZ,Laborex,"RHINATHIOL ENF 2% 2,5G /125ML ",1017
8,UG,Eris,"Amaryl 4mg Tabs, 30's",60
8,UG,Eris,"Clexane 40mg Inj, 2's",179
8,UG,Eris,Cordarone 200mg Tabs 30's,8
8,UG,Eris,"Epilim Chrono 500mg Tabs, 100's",68
8,UG,Eris,"Epilim Syrup 200mg/5ml, 300ml",4
8,UG,Eris,"Flagentyl 500mg Tabs, 4's",52
8,UG,Eris,"Lantus Solostar 100IU, 3ml 5PN",74
8,UG,Eris,"No Spa 40mg Tabs, 100's",229
8,UG,Eris,"Xatral 10mg Tabs, 30's",11
8,UG,Laborex,AMARYL TABS 2MG 30'S          ,52
8,UG,Laborex,AMARYL TABS 4MG 30'S          ,90
8,UG,Laborex,CLEXANE 40MG INJ 2'S          ,284
8,UG,Laborex,CLEXANE INJ  60MG 2'S         ,1048
8,UG,Laborex,CLEXANE INJ 80MG 2'S          ,629
8,UG,Laborex,CORDARONE 200MG CP B/30       ,321
8,UG,Laborex,EPILIM CHRONO TABS 500MG 100S ,74
8,UG,Laborex,EPILIM SYRUP 200MG/5ML 300ML  ,1215
8,UG,Laborex,FLAGENTYL 500MG CP B/4        ,68
8,UG,Laborex,LANTUS 100UI/ML VIAL 10ML     ,78
8,UG,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,78
8,UG,Laborex,NO SPA 40MG CP B/100          ,1237
8,UG,Laborex,NO SPA 40MG INJ 2ML B/25      ,1
8,UG,Laborex,NO SPA 40MG INJ 2ML B/5       ,202
8,UG,Laborex,RHINATHIOL AD 5% S/S 10G200ML ,384
8,UG,Laborex,RHINATHIOL AD 5% SP F/125ML   ,734
8,UG,Laborex,"RHINATHIOL ENF 2% 2,5G /125ML ",1106
8,UG,Laborex,XATRAL LP 10MG COMP B/30      ,112
8,UG,Surgipharm,Amaryl M Tab 2mg 30's,29
8,UG,Surgipharm,Amaryl Tabs 2mg x 30 (Glimepiride),225
8,UG,Surgipharm,Amaryl Tabs 4mg x 30 (Glimepiride),316
8,UG,Surgipharm,Bioferon Caps x 30 (Ferrous Fumerate/Folic Acid/Vit B12/Vit C/Zinc),1218
8,UG,Surgipharm,Clexane Inj 40mg x 2 (Enoxaparin),3100
8,UG,Surgipharm,Clexane Inj 60mg x 2 (Enoxaparin),1733
8,UG,Surgipharm,Clexane Inj 80mg x 2 (Enoxaparin),822
8,UG,Surgipharm,Cordarone X Tabs 200mg x 30 (Amiodarone),30
8,UG,Surgipharm,Epilim Chrono Tabs 500mg x 100 (Sodium Valproate),1259
8,UG,Surgipharm,Epilim Syr 200mg/5ml x 300ml (Sodium Valproate),367
8,UG,Surgipharm,Epilim Tabs 200mg x 100 (Sodium Valproate),3079
8,UG,Surgipharm,Flagentyl Tabs 500mg x 4 (Secnidazole),1019
8,UG,Surgipharm,Fleming 1000mg Tab 2x7(Amox 875mg/clav125mg),115
8,UG,Surgipharm,Fleming 457mg/5ml Susp.X70ml,427
