MONTH,COUNTRY,DISTRIBUTOR,Distributor NAMING,QUANTITY_UNITS
1,KE,Harleys,Bioferon Capsules 30's,"1,509"
1,KE,Harleys,Bronchicum Elixir S 100ml,414
1,KE,Harleys,Buscopan injection 20mg/ml  - 5s,"1,850"
1,KE,Harleys,Buscopan plus tablets 50's,25956
1,KE,Harleys,Ercefuryl 4% Syrup 90ml,47
1,KE,Harleys,Ibex Capsule 2 x 12's,3633
1,KE,Harleys,Mucosolvan liquid 15mg/5ml 100ml,36575
1,KE,Harleys,No-Spa 40mg/2ml Injection 25's,254
1,KE,Harleys,NO-SPA Tablets 40mg 100's,"1,150"
1,KE,Harleys,No-Spa Tablets 40mg 20's,3
1,KE,Harleys,Paraflam Tablets 10's,290
1,KE,Harleys,Amaryl M 2mg/500mgtablets 30's,1533
1,KE,Harleys,Amaryl M SR 2mg/500mg tablets 30's,88
1,KE,Harleys,Amaryl Tablets 1mg  30's,866
1,KE,Harleys,Apidra Solostar 300IU pens 5s - COLD CHAIN,34
1,KE,Harleys,Aprovasc 150mg/5mg tablets 28's,343
1,KE,Harleys,Aprovasc 300mg/5mg tablets 28's,36
1,KE,Harleys,Aprovel 300mg tablets 28's,307
1,KE,Harleys,Axacef 250mg Tablets 10's,5
1,KE,Harleys,Axacef 500mg Tablets 10's,662
1,KE,Harleys,Clexane 40mg inj 2's,9853
1,KE,Harleys,Clexane 80mg injection 2's,3092
1,KE,Harleys,Coaprovel Tablets 150/12.5 mg 28's,822
1,KE,Harleys,Epilim Chrono 500mg  Tablets 100's - DDA,270
1,KE,Harleys,Flagentyl  500mg Tablets 4's,14301
1,KE,Harleys,Fleming 1gm Tablets 14's,1564
1,KE,Harleys,Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,2142
1,KE,Harleys,Fleming 625mg Tablets 14's,14
1,KE,Harleys,Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,25
1,KE,Harleys,Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,1528
1,KE,Harleys,Lantus vial 10ml - COLD CHAIN,136
1,KE,Harleys,Maalox plus 200mg (4x10),14
1,KE,Harleys,Orelox 100mg tablets 10's,160
1,KE,Harleys,Orelox 200mg Tablets 10's,3
1,KE,Harleys,Orelox 40mg/5ml suspension 100ml,2576
1,KE,Harleys,Orelox 40mg/5ml suspension 50ml,1309
1,KE,Harleys,Plavix 75mg Tablets 28's,713
1,KE,Harleys,Stilnox10mg Tablet's 14's - DDA,6477
1,KE,Harleys,Tavanic Tablets 500mg 5's,1870
1,KE,Harleys,Taxotere 20mg/Vial,121
1,KE,Harleys,Tritazide 5mg/25mg Tablets 28's,25
1,KE,Harleys,Xatral LP Tablets 10mg 30's,1
1,KE,Harleys,Zoxon 1gm Injection 1's,45
1,KE,Highchem,AMARYL M 2mg/500mg 30'S,363
1,KE,Highchem,AMARYL TABS 1.0mg 30'S,917
1,KE,Highchem,AMARYL TABS 2.0mg 30'S,100
1,KE,Highchem,AMARYL TABS 4.0mg 30'S,12
1,KE,Highchem,APROVASC 150/5mg TABS 28'S,91
1,KE,Highchem,APROVASC 150-10 MG 28'S,72
1,KE,Highchem,APROVASC 300-10 MG 28'S,87
1,KE,Highchem,APROVASC 300-5MG TABS,13
1,KE,Highchem,APROVEL 300mg TABS 28'S,52
1,KE,Highchem,ARTESUNATE AMO 100mg/270mg 3's,36862
1,KE,Highchem,ARTESUNATE AMO.25mg/67.5mg 3's,71733
1,KE,Highchem,ARTESUNATE AMOD 100MG/270 6's,27836
1,KE,Highchem,ARTESUNATE AMOD 50mg/135mg 3's,46924
1,KE,Highchem,BIOFERON CAPS 30'S,213
1,KE,Highchem,CLEXANE 40mg 2'S,653
1,KE,Highchem,CO-APROVEL TABS 150/12.5mg 28'S,334
1,KE,Highchem,CO-APROVEL TABS 300/12.5mg 28'S,209
1,KE,Highchem,CORDARONE TAB 200mg 30'S,611
1,KE,Highchem,EPILIM 200mg TABS EC 100'S,1664
1,KE,Highchem,EPILIM CHRONO 300mg TABS 100'S,380
1,KE,Highchem,ERCEFURYL 200mg CAPS 28'S,80
1,KE,Highchem,FLAGENTYL 500mg TABS,406
1,KE,Highchem,LANTUS SOLOSTAR 3ml 5'S,542
1,KE,Highchem,MAALOX 150ml SUSPENSION,3164
1,KE,Highchem,MAALOX 350ml SUSPENSION,464
1,KE,Highchem,MAALOX 460mg SATCHETS LEMON,558
1,KE,Highchem,MAALOX PLUS 200MG TABS BL4X10,579
1,KE,Highchem,NO SPA 40mg TABS 100'S,435
1,KE,Highchem,NO SPA 40mg TABS 20'S,313
1,KE,Highchem,NO SPA 40mg/2ml INJECTION 25'S,45
1,KE,Highchem,NO SPA 40mg/2ml INJECTION 5'S,140
1,KE,Highchem,NO SPA FORTE 80mg TABS 20'S,405
1,KE,Highchem,ORELOX 100mg TABS 10'S,598
1,KE,Highchem,ORELOX 100ml SUSPENSION,40
1,KE,Highchem,ORELOX 200mg TABS 10'S,256
1,KE,Highchem,ORELOX 50ml SUSPENSION,42
1,KE,Highchem,PLAVIX 75mg TABS 28'S,575
1,KE,Highchem,RHINATHIOL AD 125ml SP,4766
1,KE,Highchem,RHINATHIOL ENFT 125ml SP,1840
1,KE,Highchem,RHINATHIOL PROM 125ml SP,1640
1,KE,Highchem,RHINATHIOL SUGAR FREE AD 200ml SRP,92
1,KE,Highchem,STILNOX 10mg TABS 14'S,4136
1,KE,Highchem,TAVANIC 500mg TABS 5'S,118
1,KE,Highchem,TRITAZIDE 5/12.5mg TABS 28'S,6
1,KE,Highchem,TRITAZIDE 5/25mg TABS 28'S,251
1,KE,Highchem,XATRAL LP 10mg TABS 30'S,368
1,KE,Highchem,XATRAL LP TABLETS 5MG*56s,290
1,KE,Laborex,AMARYL M 2MG CP B/30          ,683
1,KE,Laborex,AMARYL M SR 2MG CP B/30       ,367
1,KE,Laborex,AMARYL TABS 1MG 30'S          ,1180
1,KE,Laborex,AMARYL TABS 2MG 30'S          ,10
1,KE,Laborex,APIDRA SOLOSTAR 100IU/ML 3ML/5,173
1,KE,Laborex,APROVASC 150-5MG CP B/28      ,77
1,KE,Laborex,APROVASC 300-5MG CP B/28      ,40
1,KE,Laborex,BRONCHICUM ELIXIR 100ML       ,7354
1,KE,Laborex,BUSCOPAN PLUS TABS 50'S      .,7725
1,KE,Laborex,CLEXANE 40MG INJ 2'S          ,15559
1,KE,Laborex,CLEXANE INJ  20MG 2'S         ,1519
1,KE,Laborex,CLEXANE INJ  60MG 2'S         ,9058
1,KE,Laborex,CLEXANE INJ 80MG 2'S          ,4636
1,KE,Laborex,"CO APROVEL 150/12,5MG RMCP/28 ",1407
1,KE,Laborex,"CO APROVEL 300/12,5MG RMCP/28 ",1072
1,KE,Laborex,CORDARONE 200MG CP B/30       ,506
1,KE,Laborex,ENTEROGERMINA 2M/5ML F/10     ,41678
1,KE,Laborex,EPILIM CHRONO TABS 500MG 100S ,2088
1,KE,Laborex,EPILIM EC TABS 200MG 100'S    ,3243
1,KE,Laborex,EPILIM IV 400MG PER VIAL      ,260
1,KE,Laborex,EPILIM SYRUP 200MG/5ML 300ML  ,2356
1,KE,Laborex,ERCEFURYL 200MG GELU B/28     ,182
1,KE,Laborex,ERCEFURYL SUSP BUV F/90ML     ,229
1,KE,Laborex,LANTUS 1000UI VIAL 1'S        ,223
1,KE,Laborex,LANTUS 300IU/3ML CART/5       ,859
1,KE,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,996
1,KE,Laborex,LASIX INJ 20MG/2ML AMP 5'S    ,13364
1,KE,Laborex,LASIX TABS 40MG 20'S          ,4139
1,KE,Laborex,"MAALOX ME CIT SUSP4,3MLSAC/20 ",4081
1,KE,Laborex,MAALOX PLUS 200MG TABS 40'S  .,12
1,KE,Laborex,MAALOX SUSP 350ML             ,1
1,KE,Laborex,MONOTILDIEM SR 200MG TAB 28'S ,40
1,KE,Laborex,"MUCOSOLVAN 1,5G/100ML SIR    .",39772
1,KE,Laborex,NO SPA 40MG CP B/100          ,59
1,KE,Laborex,NO SPA 40MG CP B/20           ,78
1,KE,Laborex,NO SPA 40MG INJ 2ML B/25      ,122
1,KE,Laborex,NO SPA 40MG INJ 2ML B/5       ,244
1,KE,Laborex,NO SPA 80MG CP B/20           ,129
1,KE,Laborex,ORELOX 100MG CP B/10          ,3049
1,KE,Laborex,ORELOX 200MG CP B/10          ,3551
