MONTH,COUNTRY,DISTRIBUTOR,Distributor NAMING,QUANTITY_UNITS
6,KE,Harleys,Bronchicum Elixir S 100ml,414
6,KE,Harleys,Buscopan injection 20mg/ml  - 5s,"1,850"
6,KE,Harleys,Buscopan plus tablets 50's,25956
6,KE,Harleys,Ercefuryl 4% Syrup 90ml,47
6,KE,Harleys,Ibex Capsule 2 x 12's,3633
6,KE,Harleys,Mucosolvan liquid 15mg/5ml 100ml,36575
6,KE,Harleys,No-Spa 40mg/2ml Injection 25's,254
6,KE,Harleys,NO-SPA Tablets 40mg 100's,"1,150"
6,KE,Harleys,No-Spa Tablets 40mg 20's,3
6,KE,Harleys,Amaryl M 2mg/500mgtablets 30's,1533
6,KE,Harleys,Amaryl M SR 2mg/500mg tablets 30's,88
6,KE,Harleys,Amaryl Tablets 1mg  30's,866
6,KE,Harleys,Apidra Solostar 300IU pens 5s - COLD CHAIN,34
6,KE,Harleys,Aprovasc 150mg/5mg tablets 28's,343
6,KE,Harleys,Aprovasc 300mg/5mg tablets 28's,36
6,KE,Harleys,Aprovel 300mg tablets 28's,307
6,KE,Harleys,Axacef 250mg Tablets 10's,5
6,KE,Harleys,Axacef 500mg Tablets 10's,662
6,KE,Harleys,Clexane 40mg inj 2's,9853
6,KE,Harleys,Clexane 80mg injection 2's,3092
6,KE,Harleys,Coaprovel Tablets 150/12.5 mg 28's,822
6,KE,Harleys,Epilim Chrono 500mg  Tablets 100's - DDA,270
6,KE,Harleys,Flagentyl  500mg Tablets 4's,14301
6,KE,Harleys,Fleming 1gm Tablets 14's,1564
6,KE,Harleys,Fleming 625mg Tablets 14's,14
6,KE,Harleys,Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,25
6,KE,Harleys,Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,1528
6,KE,Harleys,Lantus vial 10ml - COLD CHAIN,136
6,KE,Harleys,Maalox plus 200mg (4x10),14
6,KE,Harleys,Orelox 100mg tablets 10's,160
6,KE,Harleys,Orelox 200mg Tablets 10's,3
6,KE,Harleys,Orelox 40mg/5ml suspension 100ml,2576
6,KE,Harleys,Orelox 40mg/5ml suspension 50ml,1309
6,KE,Harleys,Plavix 75mg Tablets 28's,713
6,KE,Harleys,Stilnox10mg Tablet's 14's - DDA,6477
6,KE,Harleys,Tavanic Tablets 500mg 5's,1870
6,KE,Harleys,Taxotere 20mg/Vial,121
6,KE,Harleys,Tritazide 5mg/25mg Tablets 28's,25
6,KE,Harleys,Xatral LP Tablets 10mg 30's,1
6,KE,Harleys,Zoxon 1gm Injection 1's,45
6,KE,Highchem,AMARYL M 2mg/500mg 30'S,363
6,KE,Highchem,AMARYL TABS 1.0mg 30'S,917
6,KE,Highchem,AMARYL TABS 2.0mg 30'S,100
6,KE,Highchem,AMARYL TABS 4.0mg 30'S,12
6,KE,Highchem,APROVASC 150/5mg TABS 28'S,91
6,KE,Highchem,APROVASC 150-10 MG 28'S,72
6,KE,Highchem,APROVASC 300-10 MG 28'S,87
6,KE,Highchem,APROVASC 300-5MG TABS,13
6,KE,Highchem,APROVEL 300mg TABS 28'S,52
6,KE,Highchem,ARTESUNATE AMO 100mg/270mg 3's,36862
6,KE,Highchem,ARTESUNATE AMO.25mg/67.5mg 3's,71733
6,KE,Highchem,ARTESUNATE AMOD 100MG/270 6's,27836
6,KE,Highchem,ARTESUNATE AMOD 50mg/135mg 3's,46924
6,KE,Highchem,CLEXANE 40mg 2'S,653
6,KE,Highchem,CO-APROVEL TABS 150/12.5mg 28'S,334
6,KE,Highchem,CO-APROVEL TABS 300/12.5mg 28'S,209
6,KE,Highchem,CORDARONE TAB 200mg 30'S,611
6,KE,Highchem,EPILIM 200mg TABS EC 100'S,1664
6,KE,Highchem,EPILIM CHRONO 300mg TABS 100'S,380
6,KE,Highchem,ERCEFURYL 200mg CAPS 28'S,80
6,KE,Highchem,FLAGENTYL 500mg TABS,406
6,KE,Highchem,LANTUS SOLOSTAR 3ml 5'S,542
6,KE,Highchem,MAALOX 150ml SUSPENSION,3164
6,KE,Highchem,MAALOX 350ml SUSPENSION,464
6,KE,Highchem,MAALOX 460mg SATCHETS LEMON,558
6,KE,Highchem,MAALOX PLUS 200MG TABS BL4X10,579
6,KE,Highchem,NO SPA 40mg TABS 100'S,435
6,KE,Highchem,NO SPA 40mg TABS 20'S,313
6,KE,Highchem,NO SPA 40mg/2ml INJECTION 25'S,45
6,KE,Highchem,NO SPA 40mg/2ml INJECTION 5'S,140
6,KE,Highchem,NO SPA FORTE 80mg TABS 20'S,405
6,KE,Highchem,ORELOX 100mg TABS 10'S,598
6,KE,Highchem,ORELOX 100ml SUSPENSION,40
6,KE,Highchem,ORELOX 200mg TABS 10'S,256
6,KE,Highchem,ORELOX 50ml SUSPENSION,42
6,KE,Highchem,PLAVIX 75mg TABS 28'S,575
6,KE,Highchem,RHINATHIOL AD 125ml SP,4766
6,KE,Highchem,RHINATHIOL ENFT 125ml SP,1840
6,KE,Highchem,RHINATHIOL PROM 125ml SP,1640
6,KE,Highchem,RHINATHIOL SUGAR FREE AD 200ml SRP,92
6,KE,Highchem,STILNOX 10mg TABS 14'S,4136
6,KE,Highchem,TAVANIC 500mg TABS 5'S,118
6,KE,Highchem,TRITAZIDE 5/12.5mg TABS 28'S,6
6,KE,Highchem,TRITAZIDE 5/25mg TABS 28'S,251
6,KE,Highchem,XATRAL LP 10mg TABS 30'S,368
6,KE,Highchem,XATRAL LP TABLETS 5MG*56s,290
6,KE,Laborex,AMARYL M 2MG CP B/30          ,683
6,KE,Laborex,AMARYL M SR 2MG CP B/30       ,367
6,KE,Laborex,AMARYL TABS 1MG 30'S          ,1180
6,KE,Laborex,AMARYL TABS 2MG 30'S          ,10
6,KE,Laborex,APIDRA SOLOSTAR 100IU/ML 3ML/5,173
6,KE,Laborex,APROVASC 150-5MG CP B/28      ,77
6,KE,Laborex,APROVASC 300-5MG CP B/28      ,40
6,KE,Laborex,BRONCHICUM ELIXIR 100ML       ,7354
6,KE,Laborex,BUSCOPAN PLUS TABS 50'S      .,7725
6,KE,Laborex,CLEXANE 40MG INJ 2'S          ,15559
6,KE,Laborex,CLEXANE INJ  20MG 2'S         ,1519
6,KE,Laborex,CLEXANE INJ  60MG 2'S         ,9058
6,KE,Laborex,CLEXANE INJ 80MG 2'S          ,4636
6,KE,Laborex,"CO APROVEL 150/12,5MG RMCP/28 ",1407
6,KE,Laborex,"CO APROVEL 300/12,5MG RMCP/28 ",1072
6,KE,Laborex,CORDARONE 200MG CP B/30       ,506
6,KE,Laborex,ENTEROGERMINA 2M/5ML F/10     ,41678
6,KE,Laborex,EPILIM CHRONO TABS 500MG 100S ,2088
6,KE,Laborex,EPILIM EC TABS 200MG 100'S    ,3243
6,KE,Laborex,EPILIM IV 400MG PER VIAL      ,260
6,KE,Laborex,EPILIM SYRUP 200MG/5ML 300ML  ,2356
6,KE,Laborex,ERCEFURYL 200MG GELU B/28     ,182
6,KE,Laborex,ERCEFURYL SUSP BUV F/90ML     ,229
6,KE,Laborex,LANTUS 1000UI VIAL 1'S        ,223
6,KE,Laborex,LANTUS 300IU/3ML CART/5       ,859
6,KE,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,996
6,KE,Laborex,LASIX INJ 20MG/2ML AMP 5'S    ,13364
6,KE,Laborex,LASIX TABS 40MG 20'S          ,4139
6,KE,Laborex,"MAALOX ME CIT SUSP4,3MLSAC/20 ",4081
6,KE,Laborex,MAALOX PLUS 200MG TABS 40'S  .,12
6,KE,Laborex,MAALOX SUSP 350ML             ,1
6,KE,Laborex,MONOTILDIEM SR 200MG TAB 28'S ,40
6,KE,Laborex,"MUCOSOLVAN 1,5G/100ML SIR    .",39772
6,KE,Laborex,NO SPA 40MG CP B/100          ,59
6,KE,Laborex,NO SPA 40MG CP B/20           ,78
6,KE,Laborex,NO SPA 40MG INJ 2ML B/25      ,122
6,KE,Laborex,NO SPA 40MG INJ 2ML B/5       ,244
6,KE,Laborex,NO SPA 80MG CP B/20           ,129
6,KE,Laborex,ORELOX 100MG CP B/10          ,3049
