MONTH,COUNTRY,CUSTOMER,PRODUCT,UNITS,VALUE
6,KE,A G PHARMACEUTICAL,AMARYL 1MG 30 TABS,39,10.325426
6,KE,A G PHARMACEUTICAL,AMARYL 2MG 30 TABS,146,21.61532
6,KE,A G PHARMACEUTICAL,AMARYL 4MG 30 TABS,324,26.682233
6,KE,A G PHARMACEUTICAL,AMARYL MIR 2-500MG TABCO BL3X10 XE,315,50.690183
6,KE,A G PHARMACEUTICAL,APROVASC 150/5,133,10.911272
6,KE,A G PHARMACEUTICAL,APROVASC 300/5,209,14.514873
6,KE,A G PHARMACEUTICAL,APROVEL 150MG TABCO BL2X14 RM M36 XE,307,27.525851
6,KE,A G PHARMACEUTICAL,APROVEL 300MG TABCO BL2X14 RM M36 XE,400,27.692491
6,KE,A G PHARMACEUTICAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,34,3.732711
6,KE,A G PHARMACEUTICAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,879,55.227231
6,KE,A G PHARMACEUTICAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,207,16.2659
6,KE,A G PHARMACEUTICAL,EPILIM 12G/300ML SYR BTX1,446,63.04241
6,KE,A G PHARMACEUTICAL,EPILIM 200MG TAB BL10X10,219,22.078789
6,KE,A G PHARMACEUTICAL,EPILIM CHRONO 333-145MG T,351,12.422753
6,KE,A G PHARMACEUTICAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,194,11.951473
6,KE,A G PHARMACEUTICAL,FLAGENTYL 500MG TABCO BL1X4 S3 XE,65,37.142831
6,KE,A G PHARMACEUTICAL,FLAGYL 400MG 100 TABS,93,17.363384
6,KE,A G PHARMACEUTICAL,FLAGYL SUSPENSION 100ML,31,12.243094
6,KE,A G PHARMACEUTICAL,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,141,5.018968
6,KE,A G PHARMACEUTICAL,LANTUS SOLOSTAR 100IU/ML 3ML 5,8866,241.722384
6,KE,A G PHARMACEUTICAL,ORELOX 100MG TABCO BL1X10,50,6.982201
6,KE,A G PHARMACEUTICAL,ORELOX 200MG 10CP,769,94.023223
6,KE,A G PHARMACEUTICAL,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,208,31.44711
6,KE,A G PHARMACEUTICAL,ORELOX 800MG/+ GRAN BTX1,681,68.597528
6,KE,A G PHARMACEUTICAL,PLAVIX 75MG TABCO BL2X14 M36 XE,1593,80.879454
6,KE,A G PHARMACEUTICAL,"TRITACE 2,5MG  28 TABS",42,5.430362
6,KE,A G PHARMACEUTICAL,TRITACE 5MG 28 TABS,2044,155.451079
6,KE,A G PHARMACEUTICAL,XATRAL 10MG TABCR BL3X10 S3 M36 XD,2534,116.988368
6,KE,A G PHARMACEUTICAL,XATRAL 5MG TAB BL4X14 S3 M36 XD,195,9.431035
