MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - MSA,BUSCOPAN TABLETS BP 10MG * 50S,10
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - MSA,FLAGYL TABS 400mg * 100's,2
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - MSA,MAALOX PLUS TABLETS 200MG * 40's,3
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - MSA,XATRAL LP TABS 10mg * 30's,2
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,AMARYL M TABS 2mg * 30's,1
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,AMARYL TABS 2mg * 30's,2
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,AMARYL TABS 4mg * 30's,1
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,BUSCOPAN AMPOULES 20mg/1ml * 5's,2
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,BUSCOPAN TABLETS BP 10MG * 50S,8
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,CO APROVEL TABS 300mg * 28's,6
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,CORDARONE TABLETS 200mg * 30,3
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,EPILIM EC TABLETS 200mg * 100,1
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,EPILIM SYRUP 300ml,4
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,ERCEFURYL CAPSULES 200mg * 28,5
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,ERCEFURYL SUSPENSION 90ml,1
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLAGENTYL TABS 500mg * 4,26
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLAGYL SUSPENSION 100ml,105
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLAGYL TABS 400mg * 100's,16
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING INJ 1.2GM * 5'S,2
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING SUSP 228.5MG/5ML * 70ML,10
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING SUSP 457MG/5ML * 70ML,20
1,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING TABS 1 G * 2*7'S,11
