MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
5,KE,highchem,BILOVA CHEMIST,ORELOX 100mg TABS 10'S,5
5,KE,highchem,KRISHNA CHEMIST LTD,ORELOX 100mg TABS 10'S,5
5,KE,highchem,HIGHCHEM PHARMA CASH ACCOUNT,ORELOX 50ml SUSPENSION,1
5,KE,highchem,HIGHCHEM PHARMA CASH ACCOUNT,ORELOX 50ml SUSPENSION,1
5,KE,highchem,PHARMA & ALLIED LOGISTICS LTD,CLEXANE 60mg 2'S,2
5,KE,highchem,HIGHRIDGE PHARMACY LTD,ORELOX 100mg TABS 10'S,2
5,KE,highchem,AMYLIN CHEMIST,LASIX 40mg TABS 20'S,20
5,KE,highchem,PHARMART GALLERIA CHEMIST LTD,LASIX 40mg TABS 20'S,6
5,KE,highchem,PHARMART GALLERIA CHEMIST LTD,LASIX 40mg TABS 20'S,3
5,KE,highchem,BUNGOMA WEST CHEMIST,LASIX 40mg TABS 20'S,10
5,KE,highchem,HARIPHARM PHARMACY LTD,LASIX 40mg TABS 20'S,20
5,KE,highchem,HIGHRIDGE PHARMACY LTD,APROVEL 300mg TABS 28'S,2
5,KE,highchem,HIGHRIDGE PHARMACY LTD,TRITACE 5 MG TABS 28s,6
5,KE,highchem,MEDFAST PHARMACY LTD,LASIX 40mg TABS 20'S,3
5,KE,highchem,TEMPLE STORES PHARMACY,LASIX 40mg TABS 20'S,20
5,KE,highchem,TEMPLE STORES PHARMACY,LASIX 40mg TABS 20'S,20
5,KE,highchem,MEDINA REMEDIES LTD,LASIX 40mg TABS 20'S,10
5,KE,highchem,NATIONAL INTELLIGENCE SERVICE,LASIX 40mg TABS 20'S,30
5,KE,highchem,KENTONS  LTD,RHINATHIOL ENFT 125ml SP,35
5,KE,highchem,MALIBU PHARMACY LTD,AMARYL TABS 3.0mg 30'S,6
5,KE,highchem,MALIBU PHARMACY LTD,AMARYL TABS 3.0mg 30'S,10
5,KE,highchem,MALIBU PHARMACY LTD,DULCOLAX 5MG TABS BL3X10,20
5,KE,highchem,GENERICS AFRICA LIMITED,AMARYL TABS 3.0mg 30'S,16
5,KE,highchem,GETRUDE'S GARDEN CHILDREN HOSP,CLEXANE 40mg 2'S,12
5,KE,highchem,GETRUDE'S GARDEN CHILDREN HOSP,CLEXANE 40mg 2'S,3
5,KE,highchem,KRISHNA CHEMIST LTD,XATRAL LP 10mg TABS 30'S,9
5,KE,highchem,KRISHNA CHEMIST LTD,ERCEFURYL 4% 90ML SUSPENSION,3
5,KE,highchem,HALLEL PHARMACY,DULCOLAX 5MG TABS BL3X10,50
5,KE,highchem,PHARMA & ALLIED LOGISTICS LTD,DULCOLAX 5MG TABS BL3X10,30
5,KE,highchem,PHARMA & ALLIED LOGISTICS LTD,DULCOLAX 5MG TABS BL3X10,30
5,KE,highchem,MEDFAST PHARMACY LTD,DULCOLAX 5MG TABS BL3X10,5
5,KE,highchem,NATIONAL INTELLIGENCE SERVICE,RHINATHIOL ENFT 125ml SP,72
5,KE,highchem,OUTSPAN HOSPITAL- NYERI,DULCOLAX 5MG TABS BL3X10,30
5,KE,highchem,KANGEMA MEDICAL SERVICES,EPILIM 200mg TABS EC 100'S,4
5,KE,highchem,KANGEMA MEDICAL SERVICES,EPILIM CHRONO 300mg TABS 100'S,4
5,KE,highchem,AMYLIN CHEMIST,EPILIM CHRONO 300mg TABS 100'S,-5
5,KE,highchem,AMYLIN CHEMIST,EPILIM CHRONO 300mg TABS 100'S,5
5,KE,highchem,AMYLIN CHEMIST,EPILIM CHRONO 300mg TABS 100'S,5
5,KE,highchem,PRIORITY CHEMIST,EPILIM CHRONO 300mg TABS 100'S,1
5,KE,highchem,BUNGOMA WEST CHEMIST,EPILIM 200mg TABS EC 100'S,6
5,KE,highchem,OMAERA PHARMACEUTICALS,FLEMING 228.5mg/5ml 70ml SUSPE..,48
5,KE,highchem,HARIPHARM PHARMACY LTD,FLEMING 228.5mg/5ml 70ml SUSPE..,10
5,KE,highchem,KRISHNA CHEMIST LTD,TRITACE 2.5 MG TABS 28s,10
5,KE,highchem,KRISHNA CHEMIST LTD,EPILIM CHRONO 300mg TABS 100'S,5
5,KE,highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],TRITACE 2.5 MG TABS 28s,20
5,KE,highchem,HALLEL PHARMACY,EPILIM 200mg TABS EC 100'S,5
5,KE,highchem,VETERAN PHARMACEUTICALS LTD,FLEMING 228.5mg/5ml 70ml SUSPE..,60
5,KE,highchem,HIGHRIDGE PHARMACY LTD,EPILIM CHRONO 300mg TABS 100'S,2
5,KE,highchem,HIGHRIDGE PHARMACY LTD,TRITACE 2.5 MG TABS 28s,6
5,KE,highchem,KAVAKAVA PHARMACY LTD,EPILIM CHRONO 300mg TABS 100'S,4
5,KE,highchem,BELMONT PHARMACEUTICALS LTD,ORELOX 200mg TABS 10'S,5
5,KE,highchem,BELMONT PHARMACEUTICALS LTD,ORELOX 200mg TABS 10'S,10
5,KE,highchem,RAM PHARMACEUTICALS LTD,ORELOX 200mg TABS 10'S,3
5,KE,highchem,RAM PHARMACEUTICALS LTD,ENTEROGERMINA 5.0ml 10'S,6
5,KE,highchem,TRANSCHEM PHARMACEUTICALS,ORELOX 200mg TABS 10'S,20
5,KE,highchem,TRANSCHEM PHARMACEUTICALS,ORELOX 200mg TABS 10'S,30
5,KE,highchem,AMYLIN CHEMIST,ENTEROGERMINA 5.0ml 10'S,10
5,KE,highchem,MEDIHEAL SOURCING LIMITED,ENTEROGERMINA 5.0ml 10'S,30
