COUNTRY,GMID," Unified Price
EUR  "," Target Resell price
EUR "," Tender Price
EUR  ",Price, promotion 
KE,373881,0,0,,12.11,non-promoted
KE,373877,0,0,0,0.46,non-promoted
KE,373878,0,0,0,0.73,non-promoted
KE,338356,0,0,0,18.02,non-promoted
KE,373879,0,0,0,18.02,non-promoted
KE,341781,0,0,0,- ,non-promoted
KE,306725,0,0,0,6.35,non-promoted
KE,373875,0,0,0,0.26,non-promoted
KE,213860,0,0,0,- ,non-promoted
KE,373876,0,0,0,0.32,non-promoted
KE,477045,0,0,0,11.43,non-promoted
KE,651737,0,0,0,2.1,non-promoted
KE,352016,0,0,0,1.26,non-promoted
KE,476959,0,0,0,0.74,non-promoted
KE,476936,0,0,0,2.1,non-promoted
KE,141662,0,0,0,7.58,non-promoted
KE,371243,0,0,0,2,non-promoted
KE,592593,0,0,0,3.35,non-promoted
KE,67294,0,0,0,1.16,non-promoted
KE,476006,0,0,0,2.7,non-promoted
KE,475271,0,0,0,2.68,non-promoted
KE,477037,0,0,0,9.4,non-promoted
KE,390465,0,0,0,0.6,non-promoted
KE,390470,0,0,0,0.68,non-promoted
KE,264456,0,0,0,0.68,non-promoted
KE,476933,0,0,0,0.9,non-promoted
KE,506742,0,0,0,2.75,non-promoted
KE,507364,0,0,0,3.6,non-promoted
KE,506704,0,0,0,2.3,non-promoted
KE,653084,0,0,0,4,non-promoted
KE,660193,0,0,0,2.82,non-promoted
KE,275807,0,0,0,7.5,non-promoted
KE,213847,0,0,0,3,non-promoted
KE,99114,0,0,0,4.21,non-promoted
KE,476998,0,0,0,0.99,non-promoted
KE,283389,0,0,0,1.04,non-promoted
KE,263980,0,0,0,28.87,non-promoted
KE,54423,0,0,0,12.6,non-promoted
KE,340973,0,0,0,2.65,non-promoted
KE,213711,0,0,0,12.5,non-promoted
KE,481300,0,0,0,1.62,non-promoted
KE,282348,0,0,0,4.64,non-promoted
KE,209742,0,0,0,6.97,non-promoted
