country,distributor,distributor_customer_name,sanofi_customer_name
KE,Laborex,NEEMA PHARMACY LTD            ,NEEMA PHARMACY LTD
KE,Highchem,PHARMART GALLERIA CHEMIST LTD,PHARMART CHEMIST LIMITED.
KE,Surgipharm,DAWAMART CHEMISTS  LTD,DAWAMART CHEMISTS  LTD
KE,highchem,LIPTER CHEMIST,Lipter Chemist
KE,laborex,PLATINUM SUGERY CENTRE        ,PLATINUM SURGERY CENTER - CASH
KE,laborex,VANTAGE HEALTHCARE SOLUTIONS  ,VANTAGE HEALTHCARE SOLUTIONS  
KE,laborex,LIFEMED PHARMACY LTD          ,LIFEMED PHARMACY LTD
KE,laborex,NEEMA HOSPITAL KAHAWA SUKARI  ,Neema Hospital Kahawa Sukari
KE,laborex,LUTHULI PHARMACY              ,LUTHULI PHARMACY
KE,laborex,DAWAMEDS CHEMIST              ,THE DAWAMEDS HOSPITAL LTD
KE,laborex,EAGLE EYE LASER CENTER LTD    ,EAGLE EYE LASER CENTER LTD    
KE,laborex,KENYA AIR FORCE               ,KENYA AIR FORCE
KE,laborex,COLUMBIA AFRICA HEALTHCARE LTD,COLUMBIA AFRICA HEALTHCARE LTD
KE,laborex,WHOLESALE CASH ACCOUNT KISUMU ,WHOLESALE CASH ACCOUNT KISUMU
