country,distributor,distributor_customer_name,sanofi_customer_name
KE, highchem,NARASHA CHEMIST LIMITED        ,NARASHA CHEMIST LIMITED       
KE, laborex,BASPEN SYOKIMAU COTAGE HOSPITA ,BASPEN SYOKIMAU COTAGE HOSPITA
KE, laborex,MAIRUNE CHEMIST LTD            ,MAIRUNE CHEMIST LTD- MDS - PH
KE, laborex,APPEX HOSPITAL                 ,APPEX HOSPITAL                
KE, laborex,AFRICARE LTD ,AFRICARE DISTRIBUTORS LTD.
KE, laborex,DR S VAGHELA ,CASH SALE CUSTOMER
KE, laborex,EQUITY AFIA KAYOLE BURUBURU ,EQUITY AFIA LIMITED
KE, laborex,FIELD TECHNOLOGY DEVELOPMENT PARTNERS LTD ,FIELD TECHNOLOGY DEVELOPMENT PARTNERS LTD
KE, laborex,HIGHCHEM PHARMACEUTICALS LTD ,HIGHCHEM PHARMACEUTICALS
KE, laborex,INKAMED PHARMACEUTICALS - CC ,INKAMED PHARMACEUTICALS
KE, laborex,KWALE DISTRICT EYE CENTRE ,KWALE DISTRICT EYE CENTRE
KE, laborex,MIKIDANI MEDICAL CENTRE ,MIKINDANI MEDICAL CENTRE-MDS
KE, laborex,TWO FAMILIES LTD - WAIYAKI WAY ,TWO FAMILIES LIMITED - PHARMACY
KE, laborex,HEALTHWAYS MEDICAL CENTER      ,HEALTHWAYS MEDICAL CENTER
KE, laborex,HARLEY'S LIMITED               ,HARLEYS (NAIROBI) LTD
KE, laborex,KENYA NAVY BASE                ,KENYA NAVY BASE
KE, surgipharm,MEDINA REMEDIES LIMITED        ,MEDINA REMEDIES LIMITED       
KE, surgipharm,EASTLEIGH PHARMACEUTICALS ,EASTLEIGH PHARMACEUTICALS LTD
KE, surgipharm,MEDIHEAL SOURCING LIMITED ,MEDIHEAL SOURCING LIMITED
KE, surgipharm,COPTIC HOSPITAL ,COPTIC HOSPITAL
KE, surgipharm,CARE CHEMISTS LTD ,CARE CHEMIST LTD
KE, surgipharm,CENTRE FOR TROPICAL & TRAVEL MEDICINE. ,CENTRE FOR TROPICAL&TRAVEL MED
KE, surgipharm,GREENSPAN CHEMISTS ,GREENSPAN CHEMISTS
KE, surgipharm,IMARA MEDIPLUS LIMITED ,IMARA MEDIPLUS LIMITED
KE, surgipharm,LUCKY SUMMER CHEMIST LTD ,LUCKY SUMMER CHEMIST LTD(CASH A/C)
KE, laborex,MEDINA REMEDIES LTD ,MEDINA REMEDIES LIMITED       
KE, laborex,MOMBASA CANCER CENTRE LLP ,MOMBASA CANCER CENTRE LLP
KE, laborex,SAVANI MEDICAL CENTRE ,SAVANI MEDICAL CENTRE
KE,Laborex,NEEMA PHARMACY LTD            ,NEEMA PHARMACY LTD
KE,Highchem,PHARMART GALLERIA CHEMIST LTD,PHARMART CHEMIST LIMITED.
KE,Surgipharm,DAWAMART CHEMISTS  LTD,DAWAMART CHEMISTS  LTD
KE,highchem,LIPTER CHEMIST,Lipter Chemist
KE,laborex,PLATINUM SUGERY CENTRE        ,PLATINUM SURGERY CENTER - CASH
KE,laborex,VANTAGE HEALTHCARE SOLUTIONS  ,VANTAGE HEALTHCARE SOLUTIONS  
KE,laborex,LIFEMED PHARMACY LTD          ,LIFEMED PHARMACY LTD
KE,laborex,NEEMA HOSPITAL KAHAWA SUKARI  ,Neema Hospital Kahawa Sukari
KE,laborex,LUTHULI PHARMACY              ,LUTHULI PHARMACY
KE,laborex,DAWAMEDS CHEMIST              ,THE DAWAMEDS HOSPITAL LTD
KE,laborex,EAGLE EYE LASER CENTER LTD    ,EAGLE EYE LASER CENTER LTD    
KE,laborex,KENYA AIR FORCE               ,KENYA AIR FORCE
KE,laborex,COLUMBIA AFRICA HEALTHCARE LTD,COLUMBIA AFRICA HEALTHCARE LTD
KE,laborex,WHOLESALE CASH ACCOUNT KISUMU ,WHOLESALE CASH ACCOUNT KISUMU
KE,laborex,STAFF: NELLY KAMAU          NB,CASH SALES STAFF
KE,laborex,STAFF:ESTHER MAMTOSHU         ,CASH SALES STAFF
