country,distributor,distributor_customer_name,sanofi_customer_name
KE,Harleys,AAR HEALTHCARE KENYA LIMITED,AAR HEALTHCARE KENYA LTD
KE,Harleys,Abaahi Chemist,ABAAHI CHEMIST
KE,Harleys,Accra Pharmacy Ltd,ACCRA PHARMACY LTD
KE,Harleys,Achims Chemist-Cash,ACHIMS CHEMIST
KE,Harleys,Achiral Pharmaceuticals*,ACHIRAL PHARMACEUTICALS
KE,Harleys,Adakim Chemist*,ADAKIM CHEMIST
KE,Harleys,Aden Chemist-Cash,ADEN CHEMIST-CASH
KE,Harleys,African Pharmaceuticals-Cash,AFRICAN PHARMACEUTICALS LTD
KE,Harleys,Afyacare Chemist-Cash,Afyacare Chemist-Cash
KE,Harleys,Aga Khan Hospital,AGA KHAN HOSPITAL NAIROBI
KE,Harleys,Agean Healthcare-Cash,AGEAN HEALTHCARE-CASH
KE,Harleys,Agmart-Cash,Agmart-Cash
KE,Harleys,Ahadi Pharmacy-Cash,AHADI PHARMACY-CASH
KE,Harleys,Al Amin Nursing Home,AL AMIN NURSING HOME
KE,Harleys,Aladin Chemist-Cash,ALADIN CHEMIST-CASH
KE,Harleys,Alfariji Pharmaceuticals Ltd,ALFAJIRI PHARMACEUTICALS LTD
KE,Harleys,Allmed Healthcare-Cash,ALLMED HEALTHCARE
KE,Harleys,Alpha Hill Medical Clinic-Cash - MDS,Alpha Hill Medical Clinic-Cash - MDS
KE,Harleys,Alphapharm-Cash,ALPHAPHARM-CASH
KE,Harleys,Androne Chemist MDS-Cash,ANDRONE CHEMIST-CASH
KE,Harleys,Ascent Medimart-MDS-Cash,ASCENT MEDIMART-CASH
KE,Harleys,Atom Pharmaceuticals Ltd *,ATOM PHARMACEUTICAL LTD
KE,Harleys,Ava Pharmacy*,AVA PHARMACY LTD
KE,Harleys,Avante Pharma Limited,Avante Pharma Limited
KE,Harleys,Avenue Healthcare - Nairobi Branch,AVENUE HEALTHCARE - NAIROBI BRANCH
KE,Harleys,Avenue Healthcare Mombasa,AVENUE HEALTHCARE LTD MOMBASA
KE,Harleys,Awale Pharmaceuticals,AWALE PHARMACEUTICALS
KE,Harleys,Axar Pharmaceuticals ltd-Kisii,AXAR PHARMACEUTICALS LTD-KISII
KE,Harleys,Azera Chemist - Cash,AZERA CHEMIST - CASH
KE,Harleys,Azfar Chemist-Cash,AZFAR CHEMIST-CASH
KE,Harleys,BADAR PHARMACY,BADAR PHARMACY LTD.
KE,Harleys,Batian Peak Pharmaceuticals,BATIAN PEAK PHARMACEUTICALS LTD
KE,Harleys,Bel-EA Pharmacy Ltd,BEL-EA PHARMACY LTD
KE,Harleys,Belmont Pharmaceuticals,BELMONT PHARMACEUTICALS LTD
KE,Harleys,Berugaa Pharmacy-Cash,Berugaa Pharmacy-Cash
KE,Harleys,Besto Pharmacy - cash,BESTO PHARMACY - CASH
KE,Harleys,Betachem-Cash,BETACHEM-CASH
KE,Harleys,Bibo Pharmaceuticals ltd,BIBO PHARMACEUTICALS LTD
KE,Harleys,Bilova Chemists Ltd,BILOVA CHEMISTS LTD
KE,Harleys,Biocell-Cash,BIOCELL-CASH
KE,Harleys,Biocyte Pharmaceuticals Eldoret AC - CASH,BIOCYTE PHARMACEUTICALS ELDORET AC - CASH
KE,Harleys,Blisspharm Chemist,BLISSPHARM CHEMIST
KE,Harleys,B-Med Pharmacy-Cash,B-Med Pharmacy-Cash
KE,Harleys,Bomani Pharmacy - CASH,Bomani Pharmacy - CASH
KE,Harleys,Bonfaith Pharmaceuticals,BONFAITH PHARMACEUTICALS
KE,Harleys,Braben Chemist,BRABEN CHEMIST
KE,Harleys,Brant chemists,BRANT CHEMISTS
KE,Harleys,Burhani Pharmacy - Mombasa,BURHANI PHARMACY - MOMBASA
KE,Harleys,Busia Vision Pharmacy-Cash*,BUSIA VISION PHARMACY-CASH*
KE,Harleys,Canaan Pharmaceuticals Ltd,CANAAN PHARMACEUITICAL LTD
KE,Harleys,Care Chemists,CARE CHEMIST LTD
KE,Harleys,Care Hospital Ltd,CARE HOSPITAL LIMITED
KE,Harleys,Cash Sale Customer - Eldoret - STRICTLY CASH ONLY,Cash Sale Customer - Eldoret - STRICTLY CASH ONLY
KE,Harleys,Cash Sale Customer - Kisumu - STRICTLY CASH ONLY,CASH SALE CUSTOMER - KISUMU
KE,Harleys,Cash Sale Customer - Mombasa - STRICTLY CASH ONLY,CASH SALE CUSTOMER - MOMBASA
KE,Harleys,Cash Sale Customer - Nairobi - STRICTLY CASH ONLY,CASH SALES CUSTOMER - NAIROBI
KE,Harleys,Catepharm Pharmacy-Cash,CATEPHARM PHARMACY-CASH
KE,Harleys,Cedar Clinical Associates Ltd - MDS,CEDAR CLINICAL ASSOCIATES
KE,Harleys,Center Line Pharmacy Miritini-Cash,CENTER LINE DRUG HOUSE-CASH
KE,Harleys,Central Bank of Kenya,CENTRAL BANK OF KENYA
KE,Harleys,Centurion Pharmacy Ltd - Ngong Branch-  Milele,CENTURION PHARMACY LTD
KE,Harleys,Centurion Pharmacy Ltd - Two Rivers Branch,CENTURION PHARMACY LTD
KE,Harleys,Chambai Chemists Limited,CHAMBAI CHEMIS LTD
KE,Harleys,Chemrange-Cash,Chemrange-Cash
KE,Harleys,Chepsoo Enterprises Ltd,Chepsoo Enterprises Ltd
KE,Harleys,Cherangani Nursing Home - Kitale -,CHERANGANY NURSING HOME LTD
KE,Harleys,Cistein Pharmacy- CASH,CISTEIN PHARMACY
KE,Harleys,City Gate Pharmacy Ltd,CITY GATE PHARMACY LTD
KE,Harleys,Citylink Pharma Ltd,CITY LINK PHARMA LTD
KE,Harleys,Citymed Pharmacy,Citymed Pharmacy
KE,Harleys,Cityview-Cash,CITYVIEW-CASH
KE,Harleys,Clicks Pharmacy-Cash,CLICKS PHARMACY-CASH
KE,Harleys,Coptic Church Nursing Home,COPTIC HOSPITAL
KE,Harleys,Dajim Pharmacy MDS-Cash,DAJIM PHARMACY-CASH
KE,Harleys,Dallaview Pharmacy-Cash,DALLAVIEW PHARMACY
KE,Harleys,Damist Chemist-Cash,Damist Chemist-Cash
KE,Harleys,Dan Pharmacie Ltd - Kangemi,DAN PHARMACIE LTD - KANGEMI
KE,Harleys,Danil  Chemist,Danil  Chemist
KE,Harleys,Dannes Pharmacy,DANNES PHARMACY
KE,Harleys,Dayah Pharmacy-Cash,DAYAH PHARMACY-CASH
KE,Harleys,Dell-Light Pharmaceuticals.,DELL-LIGHT PHARMACEUTICALS.
KE,Harleys,Diani Beach Hospital - Mombasa,DIANI BEACH HOSPITAL - MOMBASA
KE,Harleys,Dischem Pharmacy - CBD,DISCHEM PHARMACIE
KE,Harleys,Dishchem Chemists - KAYOLE,DISCHEM PHARMACIE
KE,Harleys,Doc Care Ville Pharmacy Ltd,Doc Care Ville Pharmacy Ltd
KE,Harleys,Docline Pharmacy-Cash,DOCLINE PHARMACY-CASH
KE,Harleys,DOCPHARMA *,DOCPHARMA LTD
KE,Harleys,Dr. R. A. Devani - Msa,Dr. R. A. Devani - Msa
KE,Harleys,Dr.Anisa c/o Malindi Care Services Ltd-,DR.ANISA C/O MALINDI CARE SERVICES LTD-
KE,Harleys,Dr.Latifah Shaikh-Cash,Dr.Latifah Shaikh-Cash
KE,Harleys,Dr.Mansukh Shah-Cash,DR.MANSUKH SHAH-CASH
KE,Harleys,Dr.Wachira N. M.,DR. WACHIRA HEALTH SERVICES LTD
KE,Harleys,Eastleigh Pharmaceuticals,EASTLEIGH PHARMACEUTICALS LTD
KE,Harleys,Ecodrug Pharmacy - Cash,ECODRUGS PHARMACY LTD
KE,Harleys,Edmerc Pharmacy,EDMERC PHARMACY
KE,Harleys,Eldobase Chemist-,ELDOBASE CHEMIST
KE,Harleys,Eldochem Limited -Eldoret AC,ELDOCHEM PHARMACY LTD
KE,Harleys,Eldohosp Pharmaceuticals Ltd,ELDOHOSP PHARMACEUTICALS LTD
KE,Harleys,Eldoret Prime Chemist-Cash,ELDORET PRIME CHEMIST-CASH
KE,Harleys,Elmart Pharma Ltd,ELMART PHARMA LTD
KE,Harleys,Ephesians Chemist-Cash,Ephesians Chemist-Cash
KE,Harleys,Equity Afia Limited,EQUITY AFIA LIMITED
KE,Harleys,Esbo Pharmacy-Cash,Esbo Pharmacy-Cash
KE,Harleys,Estate Chemist-Cash,ESTATE CHEMIST-CASH
KE,Harleys,Evans Sunrise Medical Centre - cheque on delivery,Evans Sunrise Medical Centre - cheque on delivery
KE,Harleys,Eveldo Chemist-Cash,Eveldo Chemist-Cash
KE,Harleys,Faiz Pharmacy - Mombasa -,FAIZ PHARMACY - MOMBASA -
KE,Harleys,Family Medicare [Cash],Family Medicare [Cash]
KE,Harleys,Familycare Pharmacy  [Cash],FIRST CARE PHARMACY-CASH
KE,Harleys,Fansho Pharmacy,FANSHO PHARMACY
KE,Harleys,Farma 24 Chemist,FARMA 24 CHEMIST
KE,Harleys,Florians Chemist,FLORIANS CHEMIST
KE,Harleys,Forces Memorial Hospital,FORCES MEMORIAL HOSPITAL
KE,Harleys,Fountain Healthcare - MDS,FOUNTAIN HEALTHCARE
KE,Harleys,Framu Chemist-Cash,FRAMU CHEMIST-CASH
KE,Harleys,Freb Pharmaceuticals Ltd,FREB PHARMACEUTICALS LTD
KE,Harleys,Frere Chemist-Cash,FRERE CHEMIST-CASH
KE,Harleys,Galex Pharmaceuticals-Cash,GALEX PHARMACEUTICALS-CASH
KE,Harleys,Garden Specialist Hospital,Garden Specialist Hospital
KE,Harleys,Garissa Nursing Home,GARISSA NURSING HOME
KE,Harleys,Gathimaini Pharmacy,GATHIMAINI PHARMACY
KE,Harleys,Generics Africa Limited,GENERIC AFRICA LTD
KE,Harleys,Gertrude`s Garden Children`s Hospital,GERTRUDE'S CHILDREN HOSPITAL
KE,Harleys,Giant Chemist-Cash,Giant Chemist-Cash
KE,Harleys,Gilo Chem,GILO CHEMIST
