country,distributor,distributor_customer_name,sanofi_customer_name
KE,Harleys,A G Pharmaceutical,A G PHARMACEUTICAL
KE,Harleys,A To Z Pharmacy CR,A TO Z PHARMACY LTD
KE,Harleys,A.I.C Kijabe Mission Hospital,A.I.C. KIJABE HOSPITAL
KE,Harleys,AAR HEALTHCARE KENYA LIMITED,AAR HEALTHCARE KENYA LTD
KE,Harleys,AAR Healthcare Kenya Ltd,AAR HEALTHCARE KENYA LTD
KE,Harleys,Abaahi Chemist,ABAAHI CHEMIST
KE,Harleys,Accra Pharmacy Ltd,ACCRA PHARMACY LTD
KE,Harleys,Achims Chemist Cash,ACHIMS CHEMIST
KE,Harleys,Achims Chemist-Cash,ACHIMS CHEMIST
KE,Harleys,Achiral Pharmaceuticals,ACHIRAL PHARMACEUTICALS
KE,Harleys,Achiral Pharmaceuticals*,ACHIRAL PHARMACEUTICALS
KE,Harleys,Action In Focus Cash,ACTION IN FOCUS CASH
KE,Harleys,Adakim Chemist,ADAKIM CHEMIST
KE,Harleys,Adakim Chemist*,ADAKIM CHEMIST
KE,Harleys,Aden Chemist Cash,ADEN CHEMIST-CASH
KE,Harleys,Aden Chemist-Cash,ADEN CHEMIST-CASH
KE,Harleys,African Pharmaceuticals Cash,AFRICAN PHARMACEUTICALS LTD
KE,Harleys,African Pharmaceuticals-Cash,AFRICAN PHARMACEUTICALS LTD
KE,Harleys,African Union Commission Ethiopia,THE AFRICAN UNION COMMISSION
KE,Harleys,Africana Mall Healthcare Limited  CASH,AFRICANA MALL HEALTHCARE LIMITED - CASH
KE,Harleys,Africana Mall Healthcare Limited - CASH,AFRICANA MALL HEALTHCARE LIMITED - CASH
KE,Harleys,Afrilife Chemist Cash,AFRILIFE CHEMIST
KE,Harleys,Afrilife Chemist Cash,AFRILIFE CHEMIST-CASH
KE,Harleys,Afrilife Chemist-Cash,AFRILIFE CHEMIST-CASH
KE,Harleys,Afromed Healthcare Pharmacy PH,AFROMED HEALTHCARE PHARMACY-PH
KE,Harleys,Afromed Healthcare Pharmacy-PH,AFROMED HEALTHCARE PHARMACY-PH
KE,Harleys,Afyacare Chemist Cash,Afyacare Chemist-Cash
KE,Harleys,Afyacare Chemist-Cash,Afyacare Chemist-Cash
KE,Harleys,Aga Khan Hospital,AGA KHAN HOSPITAL NAIROBI
KE,Harleys,Agean Healthcare Cash,AGEAN HEALTHCARE-CASH
KE,Harleys,Agean Healthcare-Cash,AGEAN HEALTHCARE-CASH
KE,Harleys,Agmart Cash,AGMART PHARMACEUTICALS
KE,Harleys,Agmart Cash,Agmart-Cash
KE,Harleys,Agmart-Cash,Agmart-Cash
KE,Harleys,Ahadi Pharmacy Cash,AHADI PHARMACY-CASH
KE,Harleys,Ahadi Pharmacy-Cash,AHADI PHARMACY-CASH
KE,Harleys,AIC Kijabe Hospital,A.I.C. KIJABE HOSPITAL
KE,Harleys,Ailgle Chemist Cash,AILGLE CHEMIST CASH
KE,Harleys,Akash Pharmacy,AAKASH PHARMACY LTD
KE,Harleys,Akash Pharmacy - Kakamega,AAKASH PHARMACY LTD
KE,Harleys,Akshar Wellcare Limited Cash,AAKASH PHARMACY LTD
KE,Harleys,Al Amin Nursing Home,AL AMIN NURSING HOME
KE,Harleys,Al Aqsa Medical and Lab Services  Cash,AL AQSA MEDICAL AND LAB SERVICES  
KE,Harleys,Al Habib Cash,AL HABIB-CASH
KE,Harleys,Al Habib-Cash,AL HABIB-CASH
KE,Harleys,Al Manaar Pharmacy,AL MANAAR PHARMACY-CASH
KE,Harleys,Al Shifa Pharmacy Ltd Mombasa,AL SHIFA PHARMACY LTD MOMBASA
KE,Harleys,Aladin Chemist Cash,ALADIN CHEMIST-CASH
KE,Harleys,Aladin Chemist-Cash,ALADIN CHEMIST-CASH
KE,Harleys,Alchem Pharmacy Ltd,ALCHEM PHARMACY LTD
KE,Harleys,Alcon Investment Cash,ALCON INVESTMENT-CASH
KE,Harleys,Alcon Investment-Cash,ALCON INVESTMENT-CASH
KE,Harleys,Alfa Chemist Msa,ALFA CHEMIST
KE,Harleys,Alfariji Pharmaceuticals Limited,ALFAJIRI PHARMACEUTICALS LTD
KE,Harleys,Alfariji Pharmaceuticals Ltd,ALFAJIRI PHARMACEUTICALS LTD
KE,Harleys,Alfurgan Cash,ALFURGAN CASH
KE,Harleys,Al-haq Pharmacy-Cash,AL-HAQ PHARMACY-CASH
KE,Harleys,Alhidaya Chemist,Alhidaya Chemist
KE,Harleys,Allamed Pharmaceuticals Ltd,ALLAMED PHARMACEUTICALS LTD
KE,Harleys,Alliance Medical Center  strictly CASH ONLY,ALLIANCE MEDICAL CENTER
KE,Harleys,Allmed Healthcare Cash,ALLMED HEALTHCARE
KE,Harleys,Allmed Healthcare-Cash,ALLMED HEALTHCARE
KE,Harleys,Alpha Hill Medical Clinic Cash MDS,ALPHA HILL MEDICAL CLINIC-CASH
KE,Harleys,Alpha Hill Medical Clinic-Cash - MDS,Alpha Hill Medical Clinic-Cash - MDS
KE,Harleys,Alphapharm Cash,ALPHAPHARM
KE,Harleys,Alphapharm-Cash,ALPHAPHARM-CASH
