country,distributor,distributor_customer_name,sanofi_customer_name
KE,Highchem,AIC KIJABE HOSPITAL,A.I.C. KIJABE HOSPITAL
KE,Highchem,ALFAJIRI PHARMACEUTICALS LTD,ALFAJIRI PHARMACEUTICALS LTD
KE,Highchem,AMYLIN CHEMIST,AMYLIN CHEMIST
KE,Highchem,BELMONT PHARMACEUTICALS LTD,BELMONT PHARMACEUTICALS LTD
KE,Highchem,BILOVA CHEMIST,BILOVA CHEMIST
KE,Highchem,BUNGOMA WEST CHEMIST,BUNGOMA WEST CHEMIST LTD.
KE,Highchem,CANAAN PHARMACEUTICALS LTD,CANAAN PHARMACEUITICAL LTD
KE,Highchem,COPTIC HOSPITAL,COPTIC HOSPITAL
KE,Highchem,DISCHEM PHARMACIE,DISCHEM PHARMACIE
KE,Highchem,ELDOBASE CHEMISTS LIMITED,ELDOBASE CHEMIST
KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],ELDOHOSP PHARMACEUTICALS LTD - Nairobi
KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],ELDOHOSP PHARMACEUTICALS LTD - Eldoret
KE,Highchem,ELMART PHARMA LIMITED,ELMART PHARMA LTD
KE,Highchem,GENERICS AFRICA LIMITED,GENERIC AFRICA LTD
KE,Highchem,GETRUDE'S GARDEN CHILDREN HOSP,GERTRUDE'S CHILDREN HOSPITAL
KE,Highchem,HALLEL PHARMACY,HALLEL PHARMACY
KE,Highchem,HARIPHARM PHARMACY LTD,HARIPHARM PHARMACY LTD
KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,HIGHCHEM PHARMACEUTICALS
KE,Highchem,HIGHRIDGE PHARMACY LTD,HIGHRIDGE PHARMACY LTD
KE,Highchem,KANGEMA MEDICAL SERVICES,KANGEMA MEDICAL SERVICES
KE,Highchem,KAVAKAVA PHARMACY LTD,KAVAKAVA PHARMACY LTD
KE,Highchem,KENTONS  LTD,KENTONS LIMITED KISUMU AC
KE,Highchem,KRISHNA CHEMIST LTD,KRISHNA CHEMIST LTD
KE,Highchem,MAKADARA CHEMISTS LTD,MAKADARA CHEMISTS LTD. - MOMBASA
KE,Highchem,MALIBU PHARMACY LTD,MALIBU PHARMACY
KE,Highchem,MBETI PHARMACY EMBU,MBETI PHARMACY
KE,Highchem,MEDFAST PHARMACY LTD,MEDFASTPHARMACY LTD
KE,Highchem,MEDIHEAL SOURCING LIMITED,MEDIHEAL SOURCING LIMITED
KE,Highchem,MEDIMART HEALTHCARE: THIKA RD,MEDIMART HEALTHCARE LTD - THIKA ROAD
KE,Highchem,MEDINA PHARMACY LIMITED,MEDINA PHARMACY LIMITED
KE,Highchem,MEDINA REMEDIES LTD,MEDINA REMEDIES LIMITED       
KE,Highchem,MOMBASA HOSPITAL,MOMBASA HOSPITAL
KE,Highchem,NATIONAL INTELLIGENCE SERVICE,NATIONAL INTELLIGENCE SERVICE
KE,Highchem,OMAERA PHARMACEUTICALS,OMAERA PHARMACEUTICALS LTD.
KE,Highchem,OUTSPAN HOSPITAL- NYERI,NYERI MED SERV LTD/OUTSPAN HSP
KE,Highchem,PHARMA & ALLIED LOGISTICS LTD,PHARMA & ALLIED LOGISTICS LTD
KE,Highchem,PHARMART ABC CHEMIST LIMITED.,PHARMART CHEMIST LIMITED.
KE,Highchem,PHARMART GALLERIA CHEMIST LTD,PHARMART CHEMIST LIMITED.
KE,Highchem,PRIORITY CHEMIST,PRIORITY CHEMIST
KE,Highchem,RAM PHARMACEUTICALS LTD,RAM PHARMACEUTICALS LIMITED
KE,Highchem,TEMPLE STORES PHARMACY,TEMPLE STORES PHARMACEUTICALS
KE,Highchem,THE NAIROBI HOSPITAL,THE NAIROBI HOSPITAL
KE,Highchem,TRANSCHEM PHARMACEUTICALS,TRANSCHEM PHARMACEUTICALS
KE,Highchem,TRANSWIDE PHARMACEUTICALS LTD,TRANSWIDE PHARMACEUTICALS LTD
KE,Highchem,VETERAN PHARMACEUTICALS LTD,VETERAN PHARMACEUTICALS LTD
KE,Laborex,A TO Z PHARMACY LTD           ,A TO Z PHARMACY LTD
KE,Laborex,A.I.C. KIJABE HOSPITAL        ,A.I.C. KIJABE HOSPITAL
KE,Laborex,AAR HEALTHCARE KENYA LTD      ,AAR HEALTHCARE KENYA LTD
KE,Laborex,ACHIRAL PHARMACEUTICALS       ,ACHIRAL PHARMACEUTICALS
KE,Laborex,ADAKIM CHEMIST                ,ADAKIM CHEMIST
KE,Laborex,ADVENT MED & DENT CARE CENTER ,ADVENT MED & DENT CARE CENTER 
KE,Laborex,AFRICA GREATNESS PHARMA       ,A G PHARMACEUTICAL
KE,Laborex,AFRICAN PHARMACEUTICALS LTD   ,AFRICAN PHARMACEUTICALS LTD
KE,Laborex,AGA KHAN HOSPITAL KISUMU      ,AGA KHAN HOSPITAL KISUMU
KE,Laborex,AL RIYADH CHEMIST             ,AL RIYADH CHEMIST
KE,Laborex,ALFAJIRI PHARMACEUTICALS LTD  ,ALFAJIRI PHARMACEUTICALS LTD
KE,Laborex,AL-HIDDAYA PHARMACEUTICALS LTD,AL-HIDDAYA PHARMACEUTICALS LTD.
KE,Laborex,AMBER MEDICAL CLINIC          ,AMBER MEDICAL CLINIC
KE,Laborex,ANISA OMAR                    ,ANISA OMAR
KE,Laborex,APEC PHARMACY LTD             ,APEC PHARMACY LTD
KE,Laborex,ARAP TOSHA PHARMACY           ,ARAP TOSHA PHARMACY           
KE,Laborex,ASTRAPHARM CHEMIST LIMITED    ,ASTRAPHARM CHEMIST LIMITED
KE,Laborex,ATOM PHARMACEUTICAL LTD       ,ATOM PHARMACEUTICAL LTD
KE,Laborex,AVA PHARMACY LTD              ,AVA PHARMACY LTD
KE,Laborex,AVENUE GARDEN CITY            ,AVENUE HEALTHCARE GARDEN CITY
KE,Laborex,AVENUE HEALTHCARE ELDORET     ,AVENUE HEALTHCARE - ELDORET
KE,Laborex,AVENUE HEALTHCARE EMBAKASI    ,AVENUE HEALTHCARE - EMBAKASI
KE,Laborex,AVENUE HEALTHCARE ENTERPRISE  ,AVENUE HEALTHCARE - ENTERPRISE
KE,Laborex,AVENUE HEALTHCARE GREENSPAN   ,AVENUE HEALTHCARE-GREENSPAN MALL
KE,Laborex,AVENUE HEALTHCARE L CHANGAMWE ,AVENUE HEALTHCARE-CHANGAMWE
KE,Laborex,AVENUE HEALTHCARE LANGATA     ,AVENUE HEALTHCARE-LANGATA
KE,Laborex,AVENUE HEALTHCARE LTD KISUMU  ,AVENUE HEALTHCARE - KISUMU
KE,Laborex,AVENUE HEALTHCARE LTD MOMBASA ,AVENUE HEALTHCARE LTD MOMBASA
KE,Laborex,AVENUE HEALTHCARE LTD NAKURU  ,AVENUE HEALTHCARE - NAKURU
KE,Laborex,AVENUE HEALTHCARE LTD THIKA BR,AVENUE HEALTHCARE LTD THIKA BR
KE,Laborex,AVENUE HOSPITAL               ,AVENUE HOSPITAL LTD.
KE,Laborex,AVENUE NGONG ROAD             ,AVENUE HEALTHCARE - NGONG ROAD
KE,Laborex,BADAR PHARMACY LTD            ,BADAR PHARMACY LTD.
KE,Laborex,BEIRUT PHARMA & MEDICAL LTD   ,BEIRUT PHARMA & MEDICAL LTD   
KE,Laborex,BEKY HOLDINGS PHARMACY LTD    ,BEKY HOLDINGS PHARMACY LTD
KE,Laborex,BEL-EA PHARMACY LTD           ,BEL-EA PHARMACY LTD
KE,Laborex,BELMONT PHARMACEUTICALS LIMITE,BELMONT PHARMACEUTICALS LTD
KE,Laborex,BIGSTAR PHARMACY              ,BIGSTAR PHARMACY
KE,Laborex,BILOVA CHEMIST                ,BILOVA CHEMISTS LTD
KE,Laborex,BLISSPHARM CHEMIST            ,BLISSPHARM CHEMIST
KE,Laborex,BLUE OAK PHARMACY             ,BLUE OAK PHARMACY-CASH
KE,Laborex,BOMA MEDICARE LTD             ,BOMA MEDICARE LTD
KE,Laborex,BONDENI CHEMIST               ,BONDENI CHEMIST - MOMBASA
KE,Laborex,BUNGOMA CHEMIST               ,BUNGOMA CHEMIST LIMITED
KE,Laborex,BUNGOMA WEST MEDICAL SERVICES ,BUNGOMA WEST MEDICAL SERVICES
KE,Laborex,BURHANI PHARMACY              ,BURHANI PHARMACY - MOMBASA
KE,Laborex,CANAAN PHARMACEUITICAL LTD    ,CANAAN PHARMACEUITICAL LTD
KE,Laborex,CARE CHEMISTS                 ,CARE CHEMIST LTD
KE,Laborex,CENTRAL BANK OF KENYA         ,CENTRAL BANK OF KENYA
KE,Laborex,CHERANGANY NURSING HOME LTD   ,CHERANGANY NURSING HOME LTD
KE,Laborex,CHUKA AFYA CHEMISTS LTD       ,CHUKA AFYA CHEMISTS LTD
KE,Laborex,COAST PROV. GENERAL HOSPITAL  ,COAST PROVINCIAL HOSP.
KE,Laborex,COLUMBIA AFRICA HEALTHCARE LTD,COLUMBIA AFRICA HEALTHCARE LTD
KE,Laborex,COPTIC HOSPITAL               ,COPTIC HOSPITAL
KE,Laborex,DAMCO PHARMA LTD              ,DAMCO PHARMA LTD
KE,Laborex,DAN PHARMACIE LTD             ,DAN PHARMACIE LTD - KANGEMI
KE,Laborex,DIANI BEACH HOSPITAL          ,DIANI BEACH HOSPITAL - MOMBASA
KE,Laborex,DISCHEM PHARMACIE             ,DISCHEM PHARMACIE
KE,Laborex,DOCPHARMA LTD                 ,DOCPHARMA LTD
KE,Laborex,DOVEY PHARMA PHARMACEUTICALS  ,DOVEY PHARMACEUTICALS LIMITED
KE,Laborex,DR ARTHUR M. USAGI            ,DR ARTHUR M. USAGI
KE,Laborex,DR S.N WARUI                  ,DR S.N WARUI
KE,Laborex,DR.E.M MANUTHU                ,DR.E.M MANUTHU
KE,Laborex,DR.IGNATIUS L.M MUTURI        ,DR. IGNATIUS MUTURI
KE,Laborex,DR.PATROBA ONKOBA             ,DR.PATROBA ONKOBA             
KE,Laborex,EAGLE EYE LASER CENTER LTD    ,EAGLE EYE LASER CENTER LTD    
KE,Laborex,EAGLE PHARM CHEMISTS LTD      ,EAGLEPHARM CHEMIST LTD
KE,Laborex,EAST END CHEMISTS LTD         ,EAST END CHEMISTS LTD
KE,Laborex,EASTLEIGH PHARMACEUTICALS LTD ,EASTLEIGH PHARMACEUTICALS LTD
KE,Laborex,ECODRUGS PHARMACY LTD         ,ECODRUGS PHARMACY LTD
KE,Laborex,ELDOBASE CHEMISTS             ,ELDOBASE CHEMIST
KE,Laborex,ELDOCHEM                      ,ELDOCHEM PHARMACY LTD
KE,Laborex,ELDOFLOREX CHEMIST            ,ELDOFLOREX CHEMIST
KE,Laborex,ELDOHOSP PHARMACEUTICAL LTD EL,ELDOHOSP PHARMACEUTICALS LTD - Eldoret
KE,Laborex,ELDOHOSP PHARMACEUTICAL LTD NB,ELDOHOSP PHARMACEUTICALS LTD - Nairobi
KE,Laborex,ELGON VIEW HOSPITAL           ,ELGON VIEW HOSPITAL
KE,Laborex,ELIM CENTRAL PHARMACY         ,ELIM CENTRAL PHARMACY
KE,Laborex,ELMART PHARMA LTD             ,ELMART PHARMA LTD             
KE,Laborex,END CHEM PHARMACY             ,END CHEM PHARMACY
KE,Laborex,EVANS SUNRISE MEDICAL CENTRE  ,EVANS SUNRISE MEDICAL CENTRE
KE,Laborex,FAIZ PHARMACY LTD             ,FAIZ PHARMACY - MOMBASA -
KE,Laborex,FAMILY MEDICAL SUPPLIES LTD   ,FAMILY MEDICAL SUPPLIES LTD
KE,Laborex,FIG TREE HEALTHY OPTIONS      ,FIG TREE HEALTHY OPTIONS
KE,Laborex,GATHIMAINI PHARMACY CO. LTD   ,GATHIMAINI PHARMACY
KE,Laborex,GENERICS AFRICA LTD           ,GENERIC AFRICA LTD
KE,Laborex,GETEMBE PHARMACY              ,GETEMBE PHARMACY KISUMUAC
KE,Laborex,GOODLIFE PHARMACY LIMITED     ,GOODLIFE PHARMACY LIMITED
KE,Laborex,GRAND CHEMIST                 ,GRAND CHEMIST
KE,Laborex,GREENLIFE PHARMA LIMITED      ,Greenlife Pharma Ltd
KE,Laborex,HALISI FAMILY HOSPITAL        ,HALISI FAMILY HOSPITAL
KE,Laborex,HARIPHARM PHARMACEUTICALS LTD ,HARIPHARM PHARMACEUTICALS LTD 
KE,Laborex,HIGHRIDGE PHARMACY LTD        ,HIGHRIDGE PHARMACY LTD
KE,Laborex,HIGHTONE PHARMACY             ,HIGHTONE PHARMACY-CASH
KE,Laborex,HIJAZ PHARMACEUTICALS LTD     ,HIJAZ PHARMACEUTICALS LTD     
KE,Laborex,HUNTSCARE PHARMACY            ,HUNTSCARE PHARMACY
KE,Laborex,IMANI HOSPITAL                ,IMANI HOSPITAL
KE,Laborex,JACK'S PHARMACY               ,JACKS PHARMACY LTD
KE,Laborex,JAMBO MEDICAL CLINIC          ,JAMBO MEDICAL CLINIC - MOMBASA
KE,Laborex,JERUPHARM CHEMIST LTD         ,JERUPHARM CHEMIST LTD         
KE,Laborex,JOYKIM NURSING HOME           ,JOYKIM NURSING HOME
KE,Laborex,JOYLAND PHARMACY              ,JOYLAND PHARMACY
KE,Laborex,KAM PHARMACY LTD(IPS)         ,KAM PHARMACY LTD
KE,Laborex,KAM PHARMACY-HARAMBEE LTD     ,KAM PHARMACY LTD
KE,Laborex,KAPSASUR PHARMACY             ,KAPSASUR CHEMIST-CASH
KE,Laborex,KAREN HOSPITAL                ,THE KAREN HOSPITAL
KE,Laborex,KARURI STORES PHARMACEUTICALS ,KARURI STORES PHARMACEUTICALS
KE,Laborex,KATEVINE PHARMACY             ,KATEVINE PHARMACY             
KE,Laborex,KAVAKAVA PHARMACY             ,KAVAKAVA PHARMACY LTD
KE,Laborex,KAVIRONDO CHEMIST LIMITED     ,KAVIRONDO CHEMIST LIMITED
KE,Laborex,KENGELENI PHARMACY            ,KENGELENI PHARMACY
KE,Laborex,KENGEN                        ,KENGEN                        
KE,Laborex,KENTONS LTD                   ,KENTONS LIMITED KISUMU AC
KE,Laborex,KENYA AIR FORCE               ,KENYA AIR FORCE
KE,Laborex,KENYA PORTS AUTHORITY         ,KENYA PORTS AUTHORITY
KE,Laborex,KENYATTA NATIONAL HOSPITAL  MW,KENYATTA NATIONAL HOSPITAL
KE,Laborex,KERUGOYA PRIME                ,KERUGOYA PRIME
KE,Laborex,KINSEN PHARMACEUTICALS LTD    ,KINSEN PHARMACEUTICALS LTD
KE,Laborex,KISIMA HEALTH FACILITY        ,KISIMA HEALTH FACILITY
KE,Laborex,KITENGELA WEST HOSPITAL       ,KITENGELA WEST HOSPITAL       
KE,Laborex,KLINCARE PHARMACY             ,KLINCARE PHARMACY
KE,Laborex,KRISHNA CHEMISTS LTD          ,KRISHNA CHEMIST LTD
KE,Laborex,KULAL INTERNATIONAL LTD       ,KULAL INTERNATIONAL LTD
KE,Laborex,LAKEPHARM LTD                 ,LAKEPHARM LIMITED KISUMU AC
KE,Laborex,LEBILLE PHARMACEUTICALS       ,LEBILLE PHARMACEUTICALS
KE,Laborex,LELESHWA PHARMACY             ,LELESHWA PHARMACY
KE,Laborex,LENANA PHARMACEUTICAL LTD     ,LENANA PHARMACEUTICAL LTD
KE,Laborex,LEO CHEMIST                   ,LEO CHEMIST KISUMU AC
KE,Laborex,LUC PHARMACY                  ,LUC PHARMACY
KE,Laborex,LUTHULI PHARMACY              ,LUTHULI PHARMACY
KE,Laborex,MAKADARA CHEMIST              ,MAKADARA CHEMISTS LTD. - MOMBASA
KE,Laborex,MALIBU PHARMACY               ,MALIBU PHARMACY
KE,Laborex,MALINDI FIRST PHARMACY        ,MALINDI FIRST PHARMACY
KE,Laborex,MATER MISEROCORDIAE HOSPITAL  ,MATER MISEROCORDIAE HOSPITAL
KE,Laborex,MAUA HILLTOP PHARMACY         ,MAUA HILLTOP PHARMACY
KE,Laborex,MEDICARE CLINIC               ,MEDICARE CLINIC
KE,Laborex,MEDICHEM PHARMACY             ,MEDICHEM PHARMACY
KE,Laborex,MEDIMAX MEDICAL CENTRE LIMITED,MEDIMAX MEDICAL CENTRE LIMITED
KE,Laborex,MEDINA PHARMACY               ,MEDINA PHARMACY LIMITED
KE,Laborex,MEDINA REMEDIES LIMITED       ,MEDINA REMEDIES LIMITED       
KE,Laborex,MEDS PHARMACEUTICALS  LTD     ,MEDS PHARMACEUTICALS LTD
KE,Laborex,MEDSCHEME PHARMACY LTD        ,MEDSCHEM PHARMACY LTD
KE,Laborex,MEGALIFE LTD                  ,MEGALIFE LTD
KE,Laborex,METROPOLITAN CHEMISTS LTD     ,METROPOLITAN CHEMISTS LTD
KE,Laborex,METROPOLITAN HOSPITALS LTD    ,METROPOLITAN HOSPITAL LTD
KE,Laborex,MISSION FOR E DRUGS & SUPPLIES,MISSION FOR ESSENTIAL DRUGS (M.E.D.S)
KE,Laborex,MITRA PHARMACEUTICALS         ,MITRA PHARMACEUTICALS - KAKAMEGA
KE,Laborex,MOMBASA HOSPITAL              ,MOMBASA HOSPITAL
KE,Laborex,MORPHIC PHARMACEUTICALS LTD   ,MORPHIC PHARMACEUTICALS LTD   
KE,Laborex,MOTHERS PHARMACY              ,MOTHERS PHARMACY - ELD ACC
KE,Laborex,MPESA CASH ACCOUNT ELDORET    ,MPESA CASH ACCOUNT ELDORET
KE,Laborex,MPESA CASH ACCOUNT HEAD OFFICE,MPESA CASH ACCOUNT HEAD OFFICE
KE,Laborex,MPESA CASH ACCOUNT KISUMU     ,MPESA CASH ACCOUNT KISUMU
KE,Laborex,MPESA CASH ACCOUNT NAKURU     ,MPESA CASH ACCOUNT NAKURU
KE,Laborex,MSF  KENYA FINANCE            ,MSF KENYA FINANCE
KE,Laborex,MUIGANANIA PHARMACY           ,MUIGANANIA PHARMACY
KE,Laborex,MUTINDWA CHEMISTS LTD         ,MUTINDWA CHEMISTS LTD
KE,Laborex,NAIROBI SOUTH MEDICAL CENTER  ,NAIROBI SOUTH HOSPITAL
KE,Laborex,NAIROBI WEST HOSPITAL         ,NAIROBI WEST HOSPITAL
KE,Laborex,NAKURU AFYA CHEMIST           ,NAKURU AFYA CHEMIST
KE,Laborex,NAKURU HEART CENTRE           ,NAKURU HEART CENTRE
KE,Laborex,NEEMA HOSPITAL KAHAWA SUKARI  ,Neema Hospital Kahawa Sukari
KE,Laborex,NEW COAST VIEW CHEMIST        ,NEW COAST VIEW CHEMIST
