country,distributor_id,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
KE,692,Laborex,ALL STAR PEN                  ,ALLSTAR MEDSU PEN1 XE,516219
KE,692,Laborex,ALL STAR PEN                  ,ALLSTAR MEDSU PEN1 XE,516219
KE,693,Surgipharm,ALLSTAR PEN,ALLSTAR MEDSU PEN1 XE,516219
BF,667,LABOREX,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
BF,669,UBIPHARM,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
BF,666,DPBF,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
BF,668,TEDIS,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,670,LABOREX BRZ,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,671,LABOREX PNR,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,672,SEP BRZ,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,673,SEP PNR,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,674,UBI BRZ,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
CG,675,UBI PNR,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
GN,687,LABOREX,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
GN,688,SGIP,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
GN,689,SODIPH,ALLSTAR PEN1,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,516219
BF,667,LABOREX,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
BF,669,UBIPHARM,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
BF,666,DPBF,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
BF,668,TEDIS,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,670,LABOREX BRZ,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,671,LABOREX PNR,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,672,SEP BRZ,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,673,SEP PNR,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,674,UBI BRZ,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
CG,675,UBI PNR,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
GN,687,LABOREX,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
GN,688,SGIP,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
GN,689,SODIPH,AMAREL 1 MG 30CP,AMAREL 1MG TAB BL2X15 M36 XE,268012
BF,667,LABOREX,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
BF,669,UBIPHARM,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
BF,666,DPBF,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
BF,668,TEDIS,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
CG,670,LABOREX BRZ,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
CG,671,LABOREX PNR,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
CG,672,SEP BRZ,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
CG,673,SEP PNR,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
CG,674,UBI BRZ,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
CG,675,UBI PNR,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
GN,687,LABOREX,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
GN,688,SGIP,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
GN,689,SODIPH,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013
BF,667,LABOREX,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
BF,669,UBIPHARM,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
BF,666,DPBF,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
BF,668,TEDIS,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
CG,670,LABOREX BRZ,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
CG,671,LABOREX PNR,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
CG,672,SEP BRZ,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
CG,673,SEP PNR,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
CG,674,UBI BRZ,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
CG,675,UBI PNR,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
GN,687,LABOREX,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
GN,688,SGIP,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
GN,689,SODIPH,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014
BF,667,LABOREX,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
BF,669,UBIPHARM,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
BF,666,DPBF,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
BF,668,TEDIS,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
CG,670,LABOREX BRZ,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
CG,671,LABOREX PNR,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
CG,672,SEP BRZ,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
CG,673,SEP PNR,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
CG,674,UBI BRZ,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
CG,675,UBI PNR,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
GN,687,LABOREX,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
GN,688,SGIP,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
GN,689,SODIPH,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015
ET,678,Dugda,AMARYL 1mg 2X15 Tab,AMARYL 1MG TAB BL2X15 S3 XE,261604
ET,677,Dejen,AMARYL 1mg 2X15 Tab,AMARYL 1MG TAB BL2X15 S3 XE,261604
KE,692,Laborex,AMARYL 1MG TABS 10'S          ,Amaryl 1mg 10' Exp Ghana,494156
ET,678,Dugda,AMARYL 2mg 2x15 Tab,AMARYL 2MG TAB BL2X15 S3 XE,261605
ET,677,Dejen,AMARYL 2mg 2x15 Tab,AMARYL 2MG TAB BL2X15 S3 XE,261605
KE,692,Laborex,AMARYL 2MG TABS 10'S          ,Amaryl Tab 2mg 10' Exp Ghana,261605
ET,678,Dugda,AMARYL 4mg 2x15 Tab,AMARYL 4MG TAB BL2X15 S3 XE,261610
