GMID,movement_code,Quantity,discount,Customer Name,Country,Distributor
311166,HX,,-240,COGEZAF / RDC        CL,CD,EPDIS
476933,HX,,-6080,SURGIPHARM LIMITED,KE,EPDIS
627160,SG,451,,ALCHEM INDUSTRIES,BI,EPDIS
222428,SG,892,,PHARMACIE  NOUVELLE LTD,MU,EPDIS
592705,SN,1800,,TEDIS BURKINA,BF,EPDIS
592705,SN,2700,,TEDIS BURKINA,BF,EPDIS
298706,SN,1080,,TEDIS BURKINA,BF,EPDIS
298706,SN,960,,TEDIS BURKINA,BF,EPDIS
627331,SN,400,,TEDIS BURKINA,BF,EPDIS
671637,SN,350,,TEDIS BURKINA,BF,EPDIS
476518,SN,96,,TEDIS BURKINA,BF,EPDIS
476938,SN,15,,TEDIS BURKINA,BF,EPDIS
663985,SN,488,,TEDIS BURKINA,BF,EPDIS
671639,SN,198,,TEDIS BURKINA,BF,EPDIS
627331,SN,200,,UBIPHARM BURKINA,BF,EPDIS
663985,SN,800,,MEX P/C DPBF,BF,EPDIS
479387,SN,816,,TEDIS BURKINA,BF,EPDIS
298706,SN,840,,TEDIS BURKINA,BF,EPDIS
625765,SN,40,,MEX P/C DPBF,BF,EPDIS
479387,SN,270,,MEX P/C DPBF,BF,EPDIS
292174,SN,64,,TEDIS BURKINA,BF,EPDIS
209742,SN,140,,TEDIS BURKINA,BF,EPDIS
268012,SN,20,,TEDIS BURKINA,BF,EPDIS
516143,SN,10,,TEDIS BURKINA,BF,EPDIS
281499,SN,240,,TEDIS BURKINA,BF,EPDIS
346667,SN,200,,TEDIS BURKINA,BF,EPDIS
551043,SN,180,,TEDIS BURKINA,BF,EPDIS
240939,SN,50,,TEDIS BURKINA,BF,EPDIS
224938,SN,100,,TEDIS BURKINA,BF,EPDIS
354890,SN,480,,TEDIS BURKINA,BF,EPDIS
639608,SN,50,,TEDIS BURKINA,BF,EPDIS
627331,SN,300,,MEX P/C DPBF,BF,EPDIS
624480,SN,6144,,MEX P/C DPBF,BF,EPDIS
638521,SN,280,,MEX P/C DPBF,BF,EPDIS
298706,SN,1080,,MEX P/C DPBF,BF,EPDIS
213848,SN,600,,UBIPHARM BURKINA,BF,EPDIS
489541,SN,1600,,UBIPHARM BURKINA,BF,EPDIS
665371,SN,640,,UBIPHARM BURKINA,BF,EPDIS
213848,SN,200,,UBIPHARM BURKINA,BF,EPDIS
624774,SN,840,,UBIPHARM BURKINA,BF,EPDIS
663996,SN,24,,UBIPHARM BURKINA,BF,EPDIS
663985,SN,488,,TEDIS BURKINA,BF,EPDIS
214082,SN,960,,TEDIS BURKINA,BF,EPDIS
627329,SN,300,,LABOREX BURKINA,BF,EPDIS
627326,SN,300,,LABOREX BURKINA,BF,EPDIS
269069,SN,960,,LABOREX BURKINA,BF,EPDIS
298682,SN,480,,LABOREX BURKINA,BF,EPDIS
625767,SN,168,,LABOREX BURKINA,BF,EPDIS
592593,SN,120,,LABOREX BURKINA,BF,EPDIS
224938,SN,100,,LABOREX BURKINA,BF,EPDIS
342280,SN,1280,,LABOREX BURKINA,BF,EPDIS
625681,SN,960,,LABOREX BURKINA,BF,EPDIS
311166,SN,480,,LABOREX BURKINA,BF,EPDIS
479530,SN,960,,LABOREX BURKINA,BF,EPDIS
368552,SN,112,,TEDIS BURKINA,BF,EPDIS
268013,SN,50,,TEDIS BURKINA,BF,EPDIS
268015,SN,20,,TEDIS BURKINA,BF,EPDIS
516143,SN,20,,TEDIS BURKINA,BF,EPDIS
282319,SN,90,,TEDIS BURKINA,BF,EPDIS
551042,SN,180,,TEDIS BURKINA,BF,EPDIS
323487,SN,240,,TEDIS BURKINA,BF,EPDIS
305479,SN,240,,TEDIS BURKINA,BF,EPDIS
