GMID,movement_code,Quantity,discount,Customer Name,Country,Distributor
381782,HN,,-400,LABOREX ABIDJAN,CI,EPDIS
381782,HN,,-400,LABOREX ABIDJAN,CI,EPDIS
381782,HN,,-120,UBIPHARM CAMEROUN,CM,EPDIS
476933,HN,,-534,LABOREX GUINEE,GN,EPDIS
476933,HN,,-3560,LABOREX GUINEE,GN,EPDIS
213847,HN,,-1200,HARLEYS LIMITED,KE,EPDIS
665371,HN,,-150,INTERPHARMA SARL,MG,EPDIS
213848,HN,,-150,INTERPHARMA SARL,MG,EPDIS
489540,HN,,-300,INTERPHARMA SARL,MG,EPDIS
489541,HN,,-300,INTERPHARMA SARL,MG,EPDIS
172136,HN,,-8,SOMAPHAR,MG,EPDIS
665371,HN,,-320,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
381782,HN,,-40,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
306222,HN,,-180,HML OUGANDA,UG,EPDIS
306226,HN,,-450,HML OUGANDA,UG,EPDIS
664047,HN,,-1200,HML OUGANDA,UG,EPDIS
663983,SN,2352,,UBIPHARM BURKINA,BF,EPDIS
475982,SN,1020,,UBIPHARM BURKINA,BF,EPDIS
663985,SN,488,,TEDIS BURKINA,BF,EPDIS
663985,SN,2440,,UBIPHARM BURKINA,BF,EPDIS
671639,SN,160,,MEX P/C DPBF,BF,EPDIS
476957,SN,400,,TEDIS BURKINA,BF,EPDIS
539183,SN,20,,TEDIS BURKINA,BF,EPDIS
627332,SN,200,,TEDIS BURKINA,BF,EPDIS
627314,SN,600,,TEDIS BURKINA,BF,EPDIS
626997,SN,800,,TEDIS BURKINA,BF,EPDIS
239907,SN,220,,TEDIS BURKINA,BF,EPDIS
289138,SN,140,,TEDIS BURKINA,BF,EPDIS
592685,SN,60,,TEDIS BURKINA,BF,EPDIS
268012,SN,40,,TEDIS BURKINA,BF,EPDIS
306219,SN,180,,TEDIS BURKINA,BF,EPDIS
287553,SN,160,,TEDIS BURKINA,BF,EPDIS
346667,SN,200,,TEDIS BURKINA,BF,EPDIS
282319,SN,90,,TEDIS BURKINA,BF,EPDIS
282348,SN,90,,TEDIS BURKINA,BF,EPDIS
282345,SN,180,,TEDIS BURKINA,BF,EPDIS
247831,SN,20,,TEDIS BURKINA,BF,EPDIS
628074,SN,720,,TEDIS BURKINA,BF,EPDIS
298682,SN,120,,TEDIS BURKINA,BF,EPDIS
323487,SN,480,,TEDIS BURKINA,BF,EPDIS
320343,SN,360,,TEDIS BURKINA,BF,EPDIS
625767,SN,84,,TEDIS BURKINA,BF,EPDIS
624479,SN,6360,,TEDIS BURKINA,BF,EPDIS
291024,SN,960,,TEDIS BURKINA,BF,EPDIS
214082,SN,1080,,TEDIS BURKINA,BF,EPDIS
346666,SN,290,,TEDIS BURKINA,BF,EPDIS
298693,SN,56,,TEDIS BURKINA,BF,EPDIS
298691,SN,180,,TEDIS BURKINA,BF,EPDIS
249438,SN,1000,,TEDIS BURKINA,BF,EPDIS
624622,SN,120,,TEDIS BURKINA,BF,EPDIS
479530,SN,540,,TEDIS BURKINA,BF,EPDIS
323473,SN,720,,TEDIS BURKINA,BF,EPDIS
408003,SN,80,,TEDIS BURKINA,BF,EPDIS
298698,SN,50,,TEDIS BURKINA,BF,EPDIS
627332,SN,200,,LABOREX BURKINA,BF,EPDIS
627328,SN,300,,LABOREX BURKINA,BF,EPDIS
291024,SN,984,,LABOREX BURKINA,BF,EPDIS
476956,SN,2700,,TEDIS BURKINA,BF,EPDIS
285368,SN,20,,LABOREX BURKINA,BF,EPDIS
285368,SN,10,,LABOREX BURKINA,BF,EPDIS
476956,SN,3850,,LABOREX BURKINA,BF,EPDIS
624622,SN,200,,LABOREX BURKINA,BF,EPDIS
476956,SN,2500,,UBIPHARM BURKINA,BF,EPDIS
627160,SN,960,,UBIPHARM BURKINA,BF,EPDIS
307013,SN,100,,UBIPHARM BURKINA,BF,EPDIS
321233,SN,10,,UBIPHARM BURKINA,BF,EPDIS
539182,SN,10,,UBIPHARM BURKINA,BF,EPDIS
476518,SN,96,,MEX P/C DPBF,BF,EPDIS
476518,SN,96,,TEDIS BURKINA,BF,EPDIS
