GMID,movement_code,Quantity,discount,Customer Name,Country,Distributor
296505,HN,,-3000,LABOREX ABIDJAN,CI,EPDIS
624480,HN,,-153600,UBIPHARM CAMEROUN,CM,EPDIS
214082,HN,,-720,UBIPHARM CAMEROUN,CM,EPDIS
346666,HN,,-784,UBIPHARM CAMEROUN,CM,EPDIS
662889,HN,,-500,UBIPHARM CAMEROUN,CM,EPDIS
323473,HN,,-2784,UBIPHARM CAMEROUN,CM,EPDIS
408003,HN,,-6840,GDE PHIE DES FORESTIERS,GA,EPDIS
321233,HN,,-100,INTERPHARMA SARL,MG,EPDIS
630791,HN,,-50,INTERPHARMA SARL,MG,EPDIS
214082,HN,,-720,INTERPHARMA SARL,MG,EPDIS
624774,HN,,-200,KIPHARMA sarl,RW,EPDIS
476518,SN,96,,MEX P/C DPBF,BF,EPDIS
476963,SN,200,,MEX P/C DPBF,BF,EPDIS
298709,SN,130,,UBIPHARM BURKINA,BF,EPDIS
310637,SN,15,,UBIPHARM BURKINA,BF,EPDIS
39171,SN,50,,UBIPHARM BURKINA,BF,EPDIS
209742,SN,240,,UBIPHARM BURKINA,BF,EPDIS
268013,SN,300,,UBIPHARM BURKINA,BF,EPDIS
592989,SN,20,,UBIPHARM BURKINA,BF,EPDIS
592980,SN,20,,UBIPHARM BURKINA,BF,EPDIS
306218,SN,180,,UBIPHARM BURKINA,BF,EPDIS
346667,SN,200,,UBIPHARM BURKINA,BF,EPDIS
282319,SN,360,,UBIPHARM BURKINA,BF,EPDIS
196681,SN,15,,UBIPHARM BURKINA,BF,EPDIS
374872,SN,90,,UBIPHARM BURKINA,BF,EPDIS
293665,SN,150,,UBIPHARM BURKINA,BF,EPDIS
354950,SN,160,,UBIPHARM BURKINA,BF,EPDIS
249439,SN,240,,UBIPHARM BURKINA,BF,EPDIS
571696,SN,60,,UBIPHARM BURKINA,BF,EPDIS
408003,SN,80,,UBIPHARM BURKINA,BF,EPDIS
476947,SN,2815,,LABOREX BURKINA,BF,EPDIS
307013,SN,200,,LABOREX BURKINA,BF,EPDIS
489540,SN,2400,,UBIPHARM BURKINA,BF,EPDIS
476938,SN,40,,TEDIS BURKINA,BF,EPDIS
476938,SN,40,,LABOREX BURKINA,BF,EPDIS
306216,SN,40,,TEDIS BURKINA,BF,EPDIS
282348,SN,90,,TEDIS BURKINA,BF,EPDIS
247832,SN,30,,TEDIS BURKINA,BF,EPDIS
479387,SN,840,,TEDIS BURKINA,BF,EPDIS
476518,SN,480,,LABOREX BURKINA,BF,EPDIS
298709,SN,30,,TEDIS BURKINA,BF,EPDIS
289137,SN,400,,MEX P/C DPBF,BF,EPDIS
630791,SN,20,,MEX P/C DPBF,BF,EPDIS
625767,SN,20,,MEX P/C DPBF,BF,EPDIS
346666,SN,84,,MEX P/C DPBF,BF,EPDIS
479530,SN,112,,MEX P/C DPBF,BF,EPDIS
287552,SN,10,,LABOREX BURKINA,BF,EPDIS
630763,SN,40,,TEDIS BURKINA,BF,EPDIS
476947,SN,4320,,UBIPHARM BURKINA,BF,EPDIS
307013,SN,80,,UBIPHARM BURKINA,BF,EPDIS
539182,SN,10,,UBIPHARM BURKINA,BF,EPDIS
545747,SN,200,,LABOREX BURKINA,BF,EPDIS
310637,SN,20,,LABOREX BURKINA,BF,EPDIS
209742,SN,180,,LABOREX BURKINA,BF,EPDIS
592979,SN,20,,LABOREX BURKINA,BF,EPDIS
268012,SN,40,,LABOREX BURKINA,BF,EPDIS
268013,SN,200,,LABOREX BURKINA,BF,EPDIS
268014,SN,40,,LABOREX BURKINA,BF,EPDIS
268015,SN,30,,LABOREX BURKINA,BF,EPDIS
516143,SN,10,,LABOREX BURKINA,BF,EPDIS
592989,SN,20,,LABOREX BURKINA,BF,EPDIS
306216,SN,90,,LABOREX BURKINA,BF,EPDIS
306217,SN,900,,LABOREX BURKINA,BF,EPDIS
306219,SN,360,,LABOREX BURKINA,BF,EPDIS
282319,SN,180,,LABOREX BURKINA,BF,EPDIS
282345,SN,180,,LABOREX BURKINA,BF,EPDIS
196681,SN,2,,LABOREX BURKINA,BF,EPDIS
374872,SN,90,,LABOREX BURKINA,BF,EPDIS
551043,SN,360,,LABOREX BURKINA,BF,EPDIS
551042,SN,540,,LABOREX BURKINA,BF,EPDIS
298682,SN,480,,LABOREX BURKINA,BF,EPDIS
323487,SN,720,,LABOREX BURKINA,BF,EPDIS
240939,SN,100,,LABOREX BURKINA,BF,EPDIS
611732,SN,80,,LABOREX BURKINA,BF,EPDIS
264980,SN,20,,LABOREX BURKINA,BF,EPDIS
298689,SN,50,,LABOREX BURKINA,BF,EPDIS
408003,SN,80,,LABOREX BURKINA,BF,EPDIS
624775,SN,100,,LABOREX BURKINA,BF,EPDIS
368552,SN,224,,UBIPHARM BURKINA,BF,EPDIS
368552,SN,224,,LABOREX BURKINA,BF,EPDIS
305928,SN,480,,LABOREX BURKINA,BF,EPDIS
663985,SN,1708,,LABOREX BURKINA,BF,EPDIS
305928,SN,960,,UBIPHARM BURKINA,BF,EPDIS
298693,SN,112,,UBIPHARM BURKINA,BF,EPDIS
663985,SN,488,,TEDIS BURKINA,BF,EPDIS
298706,SN,1680,,UBIPHARM BURKINA,BF,EPDIS
663985,SN,800,,MEX P/C DPBF,BF,EPDIS
476963,SN,252,,UBIPHARM BURKINA,BF,EPDIS
476954,SN,48,,UBIPHARM BURKINA,BF,EPDIS
305928,SN,160,,TEDIS BURKINA,BF,EPDIS
627326,SN,300,,UBIPHARM BURKINA,BF,EPDIS
342280,SN,960,,UBIPHARM BURKINA,BF,EPDIS
67933,SN,20,,UBIPHARM BURKINA,BF,EPDIS
627314,SN,400,,UBIPHARM BURKINA,BF,EPDIS
626997,SN,800,,UBIPHARM BURKINA,BF,EPDIS
239907,SN,200,,UBIPHARM BURKINA,BF,EPDIS
289138,SN,280,,UBIPHARM BURKINA,BF,EPDIS
306217,SN,720,,UBIPHARM BURKINA,BF,EPDIS
551043,SN,480,,UBIPHARM BURKINA,BF,EPDIS
625767,SN,84,,UBIPHARM BURKINA,BF,EPDIS
277954,SN,3720,,UBIPHARM BURKINA,BF,EPDIS
298693,SN,56,,UBIPHARM BURKINA,BF,EPDIS
249438,SN,720,,UBIPHARM BURKINA,BF,EPDIS
298709,SN,40,,TEDIS BURKINA,BF,EPDIS
663983,SN,1764,,UBIPHARM BURKINA,BF,EPDIS
545747,SN,120,,UBIPHARM BURKINA,BF,EPDIS
310637,SN,15,,UBIPHARM BURKINA,BF,EPDIS
209742,SN,240,,UBIPHARM BURKINA,BF,EPDIS
268014,SN,50,,UBIPHARM BURKINA,BF,EPDIS
592980,SN,25,,UBIPHARM BURKINA,BF,EPDIS
306216,SN,90,,UBIPHARM BURKINA,BF,EPDIS
306218,SN,180,,UBIPHARM BURKINA,BF,EPDIS
282348,SN,100,,UBIPHARM BURKINA,BF,EPDIS
282345,SN,360,,UBIPHARM BURKINA,BF,EPDIS
247832,SN,30,,UBIPHARM BURKINA,BF,EPDIS
320343,SN,360,,UBIPHARM BURKINA,BF,EPDIS
305481,SN,40,,UBIPHARM BURKINA,BF,EPDIS
630791,SN,90,,UBIPHARM BURKINA,BF,EPDIS
630763,SN,70,,UBIPHARM BURKINA,BF,EPDIS
264980,SN,45,,UBIPHARM BURKINA,BF,EPDIS
311122,SN,30,,UBIPHARM BURKINA,BF,EPDIS
298689,SN,45,,UBIPHARM BURKINA,BF,EPDIS
222428,SN,5,,UBIPHARM BURKINA,BF,EPDIS
368552,SN,224,,UBIPHARM BURKINA,BF,EPDIS
298711,SN,160,,UBIPHARM BURKINA,BF,EPDIS
627332,SN,400,,LABOREX BURKINA,BF,EPDIS
627328,SN,600,,LABOREX BURKINA,BF,EPDIS
311168,SN,1440,,LABOREX BURKINA,BF,EPDIS
291024,SN,1296,,LABOREX BURKINA,BF,EPDIS
663983,SN,588,,UBIPHARM BURKINA,BF,EPDIS
627314,SN,800,,LABOREX BURKINA,BF,EPDIS
626997,SN,800,,LABOREX BURKINA,BF,EPDIS
627329,SN,300,,LABOREX BURKINA,BF,EPDIS
627327,SN,600,,LABOREX BURKINA,BF,EPDIS
627326,SN,300,,LABOREX BURKINA,BF,EPDIS
624480,SN,27008,,LABOREX BURKINA,BF,EPDIS
239907,SN,420,,LABOREX BURKINA,BF,EPDIS
436433,SN,864,,LABOREX BURKINA,BF,EPDIS
592684,SN,360,,LABOREX BURKINA,BF,EPDIS
306218,SN,180,,LABOREX BURKINA,BF,EPDIS
281499,SN,1200,,LABOREX BURKINA,BF,EPDIS
346667,SN,200,,LABOREX BURKINA,BF,EPDIS
298682,SN,200,,LABOREX BURKINA,BF,EPDIS
305479,SN,720,,LABOREX BURKINA,BF,EPDIS
630791,SN,120,,LABOREX BURKINA,BF,EPDIS
627330,SN,80,,LABOREX BURKINA,BF,EPDIS
592593,SN,70,,LABOREX BURKINA,BF,EPDIS
224938,SN,100,,LABOREX BURKINA,BF,EPDIS
354890,SN,528,,LABOREX BURKINA,BF,EPDIS
342280,SN,1120,,LABOREX BURKINA,BF,EPDIS
625681,SN,480,,LABOREX BURKINA,BF,EPDIS
277954,SN,2880,,LABOREX BURKINA,BF,EPDIS
298693,SN,112,,LABOREX BURKINA,BF,EPDIS
368552,SN,224,,LABOREX BURKINA,BF,EPDIS
298709,SN,60,,LABOREX BURKINA,BF,EPDIS
168279,SN,30,,LABOREX BURKINA,BF,EPDIS
663983,SN,2058,,TEDIS BURKINA,BF,EPDIS
663983,SN,2352,,UBIPHARM BURKINA,BF,EPDIS
196681,SN,8,,LABOREX BURKINA,BF,EPDIS
626630,SN,600,,TEDIS BURKINA,BF,EPDIS
626630,SN,2400,,UBIPHARM BURKINA,BF,EPDIS
626630,SN,4320,,LABOREX BURKINA,BF,EPDIS
663983,SN,1980,,LABOREX BURKINA,BF,EPDIS
539185,SN,15,,UBIPHARM BURKINA,BF,EPDIS
626630,SN,1560,,MEX P/C DPBF,BF,EPDIS
663982,SN,150,,MEX P/C DPBF,BF,EPDIS
663983,SN,1120,,MEX P/C DPBF,BF,EPDIS
663982,SN,1386,,UBIPHARM BURKINA,BF,EPDIS
539183,SN,10,,LABOREX BURKINA,BF,EPDIS
627329,SN,300,,UBIPHARM BURKINA,BF,EPDIS
627328,SN,900,,UBIPHARM BURKINA,BF,EPDIS
627327,SN,300,,UBIPHARM BURKINA,BF,EPDIS
342280,SN,800,,UBIPHARM BURKINA,BF,EPDIS
627314,SN,600,,UBIPHARM BURKINA,BF,EPDIS
311168,SN,1680,,UBIPHARM BURKINA,BF,EPDIS
239907,SN,340,,UBIPHARM BURKINA,BF,EPDIS
292174,SN,128,,UBIPHARM BURKINA,BF,EPDIS
436433,SN,864,,UBIPHARM BURKINA,BF,EPDIS
592684,SN,240,,UBIPHARM BURKINA,BF,EPDIS
354883,SN,144,,UBIPHARM BURKINA,BF,EPDIS
624625,SN,120,,UBIPHARM BURKINA,BF,EPDIS
551042,SN,480,,UBIPHARM BURKINA,BF,EPDIS
323487,SN,960,,UBIPHARM BURKINA,BF,EPDIS
625767,SN,168,,UBIPHARM BURKINA,BF,EPDIS
224938,SN,200,,UBIPHARM BURKINA,BF,EPDIS
354890,SN,696,,UBIPHARM BURKINA,BF,EPDIS
277954,SN,3840,,UBIPHARM BURKINA,BF,EPDIS
311166,SN,240,,UBIPHARM BURKINA,BF,EPDIS
291024,SN,960,,UBIPHARM BURKINA,BF,EPDIS
298693,SN,112,,UBIPHARM BURKINA,BF,EPDIS
298691,SN,144,,UBIPHARM BURKINA,BF,EPDIS
479530,SN,630,,UBIPHARM BURKINA,BF,EPDIS
168279,SN,60,,UBIPHARM BURKINA,BF,EPDIS
626630,SN,2280,,UBIPHARM BURKINA,BF,EPDIS
627328,SN,300,,TEDIS BURKINA,BF,EPDIS
627327,SN,300,,TEDIS BURKINA,BF,EPDIS
354950,SN,320,,TEDIS BURKINA,BF,EPDIS
323473,SN,648,,UBIPHARM BURKINA,BF,EPDIS
268012,SN,5,,MEX P/C DPBF,BF,EPDIS
268014,SN,5,,MEX P/C DPBF,BF,EPDIS
282348,SN,10,,MEX P/C DPBF,BF,EPDIS
551043,SN,60,,MEX P/C DPBF,BF,EPDIS
323473,SN,96,,MEX P/C DPBF,BF,EPDIS
663981,SN,3550,,LABOREX BURKINA,BF,EPDIS
476957,SN,575,,LABOREX BURKINA,BF,EPDIS
475875,SN,112,,LABOREX BURKINA,BF,EPDIS
476963,SN,210,,LABOREX BURKINA,BF,EPDIS
307013,SN,200,,LABOREX BURKINA,BF,EPDIS
545747,SN,240,,UBIPHARM BURKINA,BF,EPDIS
310637,SN,25,,UBIPHARM BURKINA,BF,EPDIS
268013,SN,300,,UBIPHARM BURKINA,BF,EPDIS
268014,SN,50,,UBIPHARM BURKINA,BF,EPDIS
268015,SN,40,,UBIPHARM BURKINA,BF,EPDIS
346667,SN,400,,UBIPHARM BURKINA,BF,EPDIS
282319,SN,360,,UBIPHARM BURKINA,BF,EPDIS
282348,SN,100,,UBIPHARM BURKINA,BF,EPDIS
282345,SN,360,,UBIPHARM BURKINA,BF,EPDIS
196680,SN,20,,UBIPHARM BURKINA,BF,EPDIS
247832,SN,25,,UBIPHARM BURKINA,BF,EPDIS
247831,SN,25,,UBIPHARM BURKINA,BF,EPDIS
374872,SN,90,,UBIPHARM BURKINA,BF,EPDIS
298682,SN,240,,UBIPHARM BURKINA,BF,EPDIS
320343,SN,540,,UBIPHARM BURKINA,BF,EPDIS
630763,SN,40,,UBIPHARM BURKINA,BF,EPDIS
592593,SN,50,,UBIPHARM BURKINA,BF,EPDIS
293665,SN,150,,UBIPHARM BURKINA,BF,EPDIS
264980,SN,50,,UBIPHARM BURKINA,BF,EPDIS
222428,SN,10,,UBIPHARM BURKINA,BF,EPDIS
368552,SN,336,,UBIPHARM BURKINA,BF,EPDIS
639608,SN,150,,UBIPHARM BURKINA,BF,EPDIS
354950,SN,160,,UBIPHARM BURKINA,BF,EPDIS
408003,SN,120,,UBIPHARM BURKINA,BF,EPDIS
213866,SN,25,,UBIPHARM BURKINA,BF,EPDIS
324267,SN,480,,TEDIS BURKINA,BF,EPDIS
671637,SN,2520,,UBIPHARM BURKINA,BF,EPDIS
476957,SN,500,,UBIPHARM BURKINA,BF,EPDIS
476954,SN,96,,UBIPHARM BURKINA,BF,EPDIS
627314,SN,300,,MEX P/C DPBF,BF,EPDIS
626997,SN,1200,,MEX P/C DPBF,BF,EPDIS
624480,SN,512,,MEX P/C DPBF,BF,EPDIS
320343,SN,160,,MEX P/C DPBF,BF,EPDIS
624479,SN,360,,MEX P/C DPBF,BF,EPDIS
224938,SN,30,,MEX P/C DPBF,BF,EPDIS
277954,SN,1920,,MEX P/C DPBF,BF,EPDIS
346666,SN,168,,MEX P/C DPBF,BF,EPDIS
609071,SN,384,,MEX P/C DPBF,BF,EPDIS
311122,SN,10,,MEX P/C DPBF,BF,EPDIS
298691,SN,36,,MEX P/C DPBF,BF,EPDIS
479530,SN,56,,MEX P/C DPBF,BF,EPDIS
323473,SN,120,,MEX P/C DPBF,BF,EPDIS
298711,SN,30,,MEX P/C DPBF,BF,EPDIS
627331,SN,100,,LABOREX BURKINA,BF,EPDIS
214082,SN,2400,,LABOREX BURKINA,BF,EPDIS
346666,SN,980,,LABOREX BURKINA,BF,EPDIS
627331,SN,400,,UBIPHARM BURKINA,BF,EPDIS
627331,SN,200,,UBIPHARM BURKINA,BF,EPDIS
627326,SN,300,,UBIPHARM BURKINA,BF,EPDIS
214082,SN,3720,,UBIPHARM BURKINA,BF,EPDIS
287552,SN,20,,UBIPHARM BURKINA,BF,EPDIS
196680,SN,10,,UBIPHARM BURKINA,BF,EPDIS
196681,SN,40,,UBIPHARM BURKINA,BF,EPDIS
298689,SN,30,,UBIPHARM BURKINA,BF,EPDIS
287552,SN,10,,LABOREX BURKINA,BF,EPDIS
209742,SN,180,,LABOREX BURKINA,BF,EPDIS
268012,SN,50,,LABOREX BURKINA,BF,EPDIS
268013,SN,200,,LABOREX BURKINA,BF,EPDIS
268014,SN,40,,LABOREX BURKINA,BF,EPDIS
268015,SN,30,,LABOREX BURKINA,BF,EPDIS
592989,SN,20,,LABOREX BURKINA,BF,EPDIS
282319,SN,180,,LABOREX BURKINA,BF,EPDIS
282345,SN,180,,LABOREX BURKINA,BF,EPDIS
196681,SN,10,,LABOREX BURKINA,BF,EPDIS
247832,SN,30,,LABOREX BURKINA,BF,EPDIS
247831,SN,20,,LABOREX BURKINA,BF,EPDIS
374872,SN,90,,LABOREX BURKINA,BF,EPDIS
551042,SN,360,,LABOREX BURKINA,BF,EPDIS
323487,SN,720,,LABOREX BURKINA,BF,EPDIS
320343,SN,720,,LABOREX BURKINA,BF,EPDIS
611732,SN,80,,LABOREX BURKINA,BF,EPDIS
277954,SN,3240,,LABOREX BURKINA,BF,EPDIS
311122,SN,30,,LABOREX BURKINA,BF,EPDIS
249438,SN,800,,LABOREX BURKINA,BF,EPDIS
354950,SN,480,,LABOREX BURKINA,BF,EPDIS
408003,SN,80,,LABOREX BURKINA,BF,EPDIS
298698,SN,40,,LABOREX BURKINA,BF,EPDIS
213866,SN,20,,LABOREX BURKINA,BF,EPDIS
663983,SN,294,,TEDIS BURKINA,BF,EPDIS
663983,SN,606,,LABOREX BURKINA,BF,EPDIS
627331,SN,100,,LABOREX BURKINA,BF,EPDIS
627314,SN,600,,LABOREX BURKINA,BF,EPDIS
626997,SN,1800,,LABOREX BURKINA,BF,EPDIS
627329,SN,300,,LABOREX BURKINA,BF,EPDIS
627326,SN,300,,LABOREX BURKINA,BF,EPDIS
624480,SN,22656,,LABOREX BURKINA,BF,EPDIS
239907,SN,340,,LABOREX BURKINA,BF,EPDIS
287550,SN,320,,LABOREX BURKINA,BF,EPDIS
289138,SN,140,,LABOREX BURKINA,BF,EPDIS
592684,SN,240,,LABOREX BURKINA,BF,EPDIS
287553,SN,360,,LABOREX BURKINA,BF,EPDIS
281500,SN,240,,LABOREX BURKINA,BF,EPDIS
281498,SN,3360,,LABOREX BURKINA,BF,EPDIS
354883,SN,144,,LABOREX BURKINA,BF,EPDIS
624625,SN,40,,LABOREX BURKINA,BF,EPDIS
628074,SN,1600,,LABOREX BURKINA,BF,EPDIS
625767,SN,168,,LABOREX BURKINA,BF,EPDIS
624479,SN,6600,,LABOREX BURKINA,BF,EPDIS
627330,SN,200,,LABOREX BURKINA,BF,EPDIS
224938,SN,70,,LABOREX BURKINA,BF,EPDIS
354890,SN,432,,LABOREX BURKINA,BF,EPDIS
342280,SN,640,,LABOREX BURKINA,BF,EPDIS
293665,SN,240,,LABOREX BURKINA,BF,EPDIS
