GMID,movement_code,Quantity,discount,Customer Name,Country,Distributor
624480,HX,,-128,ALCHEM INDUSTRIES,BI,EPDIS
213847,HN,,-1200,HARLEYS LIMITED,KE,EPDIS
653093,HX,,-500,HARLEYS LIMITED,KE,EPDIS
269069,HN,,-30,DISTRIPHAR / RWANDA           CL,RW,EPDIS
323473,HN,,-144,DISTRIPHAR / RWANDA           CL,RW,EPDIS
245296,HN,,-30,DISTRIPHAR / RWANDA           CL,RW,EPDIS
624774,HN,,-100,DISTRIPHAR / RWANDA           CL,RW,EPDIS
323470,SN,1176,,MEX P/C DPBF,BF,EPDIS
323473,SN,240,,TEDIS BURKINA,BF,EPDIS
592979,SN,45,,UBIPHARM BURKINA,BF,EPDIS
245296,SN,140,,MEX P/C DPBF,BF,EPDIS
663985,SN,1220,,LABOREX BURKINA,BF,EPDIS
663985,SN,1440,,MEX P/C DPBF,BF,EPDIS
298693,SN,112,,UBIPHARM BURKINA,BF,EPDIS
342280,SN,1120,,UBIPHARM BURKINA,BF,EPDIS
639164,SN,960,,UBIPHARM BURKINA,BF,EPDIS
320344,SN,100,,LABOREX BURKINA,BF,EPDIS
663981,SN,1200,,LABOREX BURKINA,BF,EPDIS
476963,SN,638,,LABOREX BURKINA,BF,EPDIS
291024,SN,2352,,LABOREX BURKINA,BF,EPDIS
663984,SN,375,,UBIPHARM BURKINA,BF,EPDIS
663998,SN,70,,TEDIS BURKINA,BF,EPDIS
539182,SN,10,,LABOREX BURKINA,BF,EPDIS
539181,SN,30,,LABOREX BURKINA,BF,EPDIS
476963,SN,380,,MEX P/C DPBF,BF,EPDIS
476963,SN,168,,TEDIS BURKINA,BF,EPDIS
476963,SN,672,,UBIPHARM BURKINA,BF,EPDIS
671637,SN,560,,TEDIS BURKINA,BF,EPDIS
374872,SN,90,,LABOREX BURKINA,BF,EPDIS
187747,SN,320,,LABOREX BURKINA,BF,EPDIS
476947,SU,528,,TEDIS BURKINA,BF,EPDIS
539181,SN,50,,UBIPHARM BURKINA,BF,EPDIS
320344,SN,50,,UBIPHARM BURKINA,BF,EPDIS
539183,SN,8,,UBIPHARM BURKINA,BF,EPDIS
624480,SN,12160,,UBIPHARM BURKINA,BF,EPDIS
475875,SN,104,,LABOREX BURKINA,BF,EPDIS
663996,SN,24,,LABOREX BURKINA,BF,EPDIS
671637,SN,280,,TEDIS BURKINA,BF,EPDIS
476518,SN,96,,TEDIS BURKINA,BF,EPDIS
539181,SN,20,,TEDIS BURKINA,BF,EPDIS
368552,SN,448,,UBIPHARM BURKINA,BF,EPDIS
592705,SN,2880,,UBIPHARM BURKINA,BF,EPDIS
663981,SN,650,,MEX P/C DPBF,BF,EPDIS
671637,SN,350,,MEX P/C DPBF,BF,EPDIS
663984,SN,180,,MEX P/C DPBF,BF,EPDIS
