GMID,movement_code,Quantity,discount,Customer Name,Country,Distributor
665371,HN,,-320,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
67933,SN,51,,MEX P/C SODIPHARM,SN,EPDIS
592979,SN,60,,MEX P/C SODIPHARM,SN,EPDIS
67933,SN,120,,MEX P/C SODIPHARM,SN,EPDIS
264980,SN,2000,,MEX P/C SODIPHARM,SN,EPDIS
252040,SN,2100,,LABOREX SENEGAL,SN,EPDIS
475991,SN,4590,,MEX P/C SODIPHARM,SN,EPDIS
311168,SN,1200,,LABOREX SENEGAL,SN,EPDIS
209742,SN,1080,,LABOREX SENEGAL,SN,EPDIS
592979,SN,100,,LABOREX SENEGAL,SN,EPDIS
268012,SN,600,,LABOREX SENEGAL,SN,EPDIS
268013,SN,900,,LABOREX SENEGAL,SN,EPDIS
592980,SN,100,,LABOREX SENEGAL,SN,EPDIS
306218,SN,180,,LABOREX SENEGAL,SN,EPDIS
306219,SN,180,,LABOREX SENEGAL,SN,EPDIS
282345,SN,360,,LABOREX SENEGAL,SN,EPDIS
196681,SN,30,,LABOREX SENEGAL,SN,EPDIS
624625,SN,360,,LABOREX SENEGAL,SN,EPDIS
551042,SN,480,,LABOREX SENEGAL,SN,EPDIS
320343,SN,825,,LABOREX SENEGAL,SN,EPDIS
320344,SN,165,,LABOREX SENEGAL,SN,EPDIS
305479,SN,240,,LABOREX SENEGAL,SN,EPDIS
664047,SN,800,,LABOREX SENEGAL,SN,EPDIS
625681,SN,4960,,LABOREX SENEGAL,SN,EPDIS
663983,SU,360,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
476947,SU,1758,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
476956,SN,1600,,DUOPHARM,SN,EPDIS
663988,SN,5760,,MEX P/C SODIPHARM,SN,EPDIS
663988,SU,2004,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
663988,SU,1416,,LABOREX SENEGAL,SN,EPDIS
663986,SN,42561,,LABOREX SENEGAL,SN,EPDIS
663986,SN,11250,,MEX P/C SODIPHARM,SN,EPDIS
67933,SN,100,,DUOPHARM,SN,EPDIS
592979,SN,60,,DUOPHARM,SN,EPDIS
224948,SN,800,,DUOPHARM,SN,EPDIS
663986,SN,6875,,MEX P/C SODIPHARM,SN,EPDIS
476947,SU,132,,MEX P/C SODIPHARM,SN,EPDIS
663983,SU,142,,MEX P/C SODIPHARM,SN,EPDIS
663988,SU,991,,MEX P/C SODIPHARM,SN,EPDIS
476947,SU,436,,DUOPHARM,SN,EPDIS
663983,SU,101,,DUOPHARM,SN,EPDIS
663988,SU,1302,,DUOPHARM,SN,EPDIS
592979,SN,200,,LABOREX SENEGAL,SN,EPDIS
67933,SN,200,,LABOREX SENEGAL,SN,EPDIS
628074,SN,543,,LABOREX SENEGAL,SN,EPDIS
224948,SN,500,,LABOREX SENEGAL,SN,EPDIS
476956,SN,3900,,LABOREX SENEGAL,SN,EPDIS
475871,SN,384,,LABOREX SENEGAL,SN,EPDIS
475982,SN,3076,,LABOREX SENEGAL,SN,EPDIS
475875,SN,400,,LABOREX SENEGAL,SN,EPDIS
668290,SN,1440,,LABOREX SENEGAL,SN,EPDIS
476956,SN,1500,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
627314,SN,600,,MEX P/C SODIPHARM,SN,EPDIS
628074,SN,3600,,MEX P/C SODIPHARM,SN,EPDIS
475871,SN,1040,,MEX P/C SODIPHARM,SN,EPDIS
671637,SN,210,,MEX P/C SODIPHARM,SN,EPDIS
476957,SN,150,,MEX P/C SODIPHARM,SN,EPDIS
624480,SU,1886,,MEX P/C SODIPHARM,SN,EPDIS
663988,SN,835,,DUOPHARM,SN,EPDIS
476963,SN,2000,,DUOPHARM,SN,EPDIS
627330,SN,2000,,MEX P/C SODIPHARM,SN,EPDIS
663986,SN,3750,,DUOPHARM,SN,EPDIS
475982,SN,488,,DUOPHARM,SN,EPDIS
663992,SN,98,,MEX P/C SODIPHARM,SN,EPDIS
663992,SN,98,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
624774,SN,1080,,MEX P/C SODIPHARM,SN,EPDIS
305928,SN,1120,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
624480,SU,8784,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
663992,SN,250,,LABOREX SENEGAL,SN,EPDIS
663992,SN,343,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
663992,SN,300,,DUOPHARM,SN,EPDIS
624480,SU,5520,,DUOPHARM,SN,EPDIS
624480,SN,22000,,DUOPHARM,SN,EPDIS
298707,SN,80,,DUOPHARM,SN,EPDIS
624774,SN,1800,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
624774,SN,1980,,LABOREX SENEGAL,SN,EPDIS
624774,SN,540,,DUOPHARM,SN,EPDIS
624480,SU,5262,,LABOREX SENEGAL,SN,EPDIS
311168,SN,1920,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
239907,SN,2200,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
292174,SN,3232,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
436433,SN,3816,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
287550,SN,1120,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
289138,SN,420,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
289137,SN,22,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
592685,SN,180,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
592684,SN,480,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
287553,SN,1280,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
298801,SN,360,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
281499,SN,480,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
281498,SN,30072,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
354883,SN,288,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
624625,SN,1080,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
628074,SN,2400,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
323487,SN,1200,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
625767,SN,168,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
624479,SN,3360,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
627330,SN,1000,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
354890,SN,3936,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
638521,SN,5100,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
609071,SN,2520,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
264980,SN,2200,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
298693,SN,168,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
298691,SN,288,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
252041,SN,1505,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
479387,SN,1500,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
168279,SN,90,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
479387,SN,2070,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
663986,SN,30000,,COPHASE-UBIPHARM SENEGAL,SN,EPDIS
346666,SN,2016,,MEX P/C SODIPHARM,SN,EPDIS
477825,SN,480,,MEX P/C SODIPHARM,SN,EPDIS
346666,SN,2800,,DUOPHARM,SN,EPDIS
98574,SN,120,,DUOPHARM,SN,EPDIS
475871,SN,384,,DUOPHARM,SN,EPDIS
475982,SN,168,,DUOPHARM,SN,EPDIS
671637,SN,140,,DUOPHARM,SN,EPDIS
476518,SN,1440,,DUOPHARM,SN,EPDIS
476957,SN,150,,DUOPHARM,SN,EPDIS
475875,SN,96,,DUOPHARM,SN,EPDIS
476933,SN,8000,,DUOPHARM,SN,EPDIS
476714,SN,500,,DUOPHARM,SN,EPDIS
476955,SN,240,,DUOPHARM,SN,EPDIS
307013,SN,200,,DUOPHARM,SN,EPDIS
663992,SN,49,,DUOPHARM,SN,EPDIS
