GMID,movement_code,Quantity,discount,Customer Name,Country,Distributor
663987,HN,,-1280,MEX P/C DPBF,BF,EPDIS
663986,HN,,-1125,TEDIS COTE D'IVOIRE,CI,EPDIS
381782,HN,,-120,PHARMACIE DE L'OCEAN INDIEN,DJ,EPDIS
476714,HX,,-2016,LIFE PHARMA AFRICA LIMITED,UG,EPDIS
475652,HX,,-234,LIFE PHARMA AFRICA LIMITED,UG,EPDIS
187747,SG,20400,,NOUVELLE PHARMACIE DE LA SANTE PUBLIQUE,CI,EPDIS
298707,SN,30,,MEX P/C DPBF,BF,EPDIS
626630,SN,360,,TEDIS BURKINA,BF,EPDIS
626997,SN,400,,MEX P/C DPBF,BF,EPDIS
551043,SN,80,,MEX P/C DPBF,BF,EPDIS
305928,SN,120,,MEX P/C DPBF,BF,EPDIS
249438,SN,240,,MEX P/C DPBF,BF,EPDIS
408003,SN,10,,MEX P/C DPBF,BF,EPDIS
663985,SU,307,,UBIPHARM BURKINA,BF,EPDIS
247832,SN,55,,UBIPHARM BURKINA,BF,EPDIS
624775,SN,400,,UBIPHARM BURKINA,BF,EPDIS
663985,SU,154,,LABOREX BURKINA,BF,EPDIS
627160,SN,160,,MEX P/C DPBF,BF,EPDIS
346666,SN,280,,TEDIS BURKINA,BF,EPDIS
245296,SN,648,,TEDIS BURKINA,BF,EPDIS
292174,SN,128,,TEDIS BURKINA,BF,EPDIS
628074,SN,480,,TEDIS BURKINA,BF,EPDIS
291024,SN,480,,TEDIS BURKINA,BF,EPDIS
346666,SN,252,,MEX P/C DPBF,BF,EPDIS
663981,SN,300,,MEX P/C DPBF,BF,EPDIS
307013,SN,30,,MEX P/C DPBF,BF,EPDIS
668290,SN,80,,MEX P/C DPBF,BF,EPDIS
663984,SN,150,,MEX P/C DPBF,BF,EPDIS
311168,SN,1920,,UBIPHARM BURKINA,BF,EPDIS
289137,SN,10,,UBIPHARM BURKINA,BF,EPDIS
287553,SN,480,,UBIPHARM BURKINA,BF,EPDIS
281498,SN,3024,,UBIPHARM BURKINA,BF,EPDIS
323487,SN,960,,UBIPHARM BURKINA,BF,EPDIS
625767,SN,168,,UBIPHARM BURKINA,BF,EPDIS
224938,SN,100,,UBIPHARM BURKINA,BF,EPDIS
311166,SN,480,,UBIPHARM BURKINA,BF,EPDIS
305928,SN,320,,UBIPHARM BURKINA,BF,EPDIS
249438,SN,1200,,UBIPHARM BURKINA,BF,EPDIS
663983,SN,396,,LABOREX BURKINA,BF,EPDIS
476956,SU,77,,MEX P/C DPBF,BF,EPDIS
323470,SU,44,,LABOREX BURKINA,BF,EPDIS
281498,SU,307,,TEDIS BURKINA,BF,EPDIS
628074,SU,48,,TEDIS BURKINA,BF,EPDIS
249438,SU,17,,TEDIS BURKINA,BF,EPDIS
323470,SU,7,,TEDIS BURKINA,BF,EPDIS
628074,SN,800,,LABOREX BURKINA,BF,EPDIS
624479,SN,2400,,LABOREX BURKINA,BF,EPDIS
249438,SN,400,,TEDIS BURKINA,BF,EPDIS
368552,SN,112,,TEDIS BURKINA,BF,EPDIS
368552,SN,600,,MEX P/C DPBF,BF,EPDIS
436433,SN,1440,,LABOREX BURKINA,BF,EPDIS
323470,SU,20,,UBIPHARM BURKINA,BF,EPDIS
436433,SN,216,,MEX P/C DPBF,BF,EPDIS
281499,SN,360,,MEX P/C DPBF,BF,EPDIS
298682,SN,80,,MEX P/C DPBF,BF,EPDIS
630763,SN,25,,MEX P/C DPBF,BF,EPDIS
611732,SN,50,,MEX P/C DPBF,BF,EPDIS
354890,SN,240,,MEX P/C DPBF,BF,EPDIS
291024,SN,1128,,MEX P/C DPBF,BF,EPDIS
245296,SN,1300,,MEX P/C DPBF,BF,EPDIS
249438,SN,720,,MEX P/C DPBF,BF,EPDIS
368552,SN,600,,MEX P/C DPBF,BF,EPDIS
639164,SN,320,,MEX P/C DPBF,BF,EPDIS
476956,SU,407,,LABOREX BURKINA,BF,EPDIS
476956,SU,504,,UBIPHARM BURKINA,BF,EPDIS
268012,SN,49,,LABOREX BURKINA,BF,EPDIS
247832,SN,30,,LABOREX BURKINA,BF,EPDIS
323470,SN,1368,,LABOREX BURKINA,BF,EPDIS
213848,SN,300,,TEDIS BURKINA,BF,EPDIS
489540,SN,1600,,TEDIS BURKINA,BF,EPDIS
489540,SN,1800,,TEDIS BURKINA,BF,EPDIS
476956,SU,313,,TEDIS BURKINA,BF,EPDIS
476518,SU,5,,TEDIS BURKINA,BF,EPDIS
476957,SU,7,,TEDIS BURKINA,BF,EPDIS
476954,SU,2,,TEDIS BURKINA,BF,EPDIS
663983,SU,24,,TEDIS BURKINA,BF,EPDIS
663985,SU,48,,TEDIS BURKINA,BF,EPDIS
627328,SN,1200,,UBIPHARM BURKINA,BF,EPDIS
627326,SN,300,,UBIPHARM BURKINA,BF,EPDIS
476954,SN,96,,LABOREX BURKINA,BF,EPDIS
630791,SN,50,,TEDIS BURKINA,BF,EPDIS
627328,SN,150,,TEDIS BURKINA,BF,EPDIS
638521,SN,300,,UBIPHARM BURKINA,BF,EPDIS
239907,SN,100,,TEDIS BURKINA,BF,EPDIS
307013,SN,200,,UBIPHARM BURKINA,BF,EPDIS
663981,SN,1500,,UBIPHARM BURKINA,BF,EPDIS
213848,SN,600,,UBIPHARM BURKINA,BF,EPDIS
489541,SN,1200,,UBIPHARM BURKINA,BF,EPDIS
247831,SN,20,,UBIPHARM BURKINA,BF,EPDIS
368552,SN,336,,UBIPHARM BURKINA,BF,EPDIS
489540,SN,4800,,UBIPHARM BURKINA,BF,EPDIS
282348,SN,120,,UBIPHARM BURKINA,BF,EPDIS
624774,SN,180,,UBIPHARM BURKINA,BF,EPDIS
245296,SN,1080,,UBIPHARM BURKINA,BF,EPDIS
