GMID,Type,Order Type,Quantity,Customer Name,Country,Distributor
554523,Invoice,SN,800,SURGIPHARM LIMITED,CI,EPDIS
664051,Invoice,SN,2400,SURGIPHARM LIMITED,CI,EPDIS
653030,Invoice,SN,800,SURGIPHARM LIMITED,KE,EPDIS
653030,Invoice,SN,2400,SURGIPHARM LIMITED,KE,EPDIS
653030,Invoice,SN,150,SURGIPHARM LIMITED,KE,EPDIS
653030,Invoice,SN,2880,SURGIPHARM LIMITED,KE,EPDIS
653030,Invoice,SN,1920,SURGIPHARM LIMITED,KE,EPDIS
653030,Invoice,SN,10,SURGIPHARM LIMITED,KE,EPDIS
306226,Invoice,SA,144,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,176,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,55,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,1344,BEKER GENERAL BUSINESS PLC,ET,EPDIS
539183,Invoice,SA,1008,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,105,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,144,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,1008,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,1680,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,432,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,450,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,1260,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,24,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,66,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,32,CHIGHUETTY,MR,EPDIS
539183,Invoice,SA,1080,CHIGHUETTY,MR,EPDIS
306226,Invoice,SA,630,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,58,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,360,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,22,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,68,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,1800,BEKER GENERAL BUSINESS PLC,ET,EPDIS
306226,Invoice,SA,352,BEKER GENERAL BUSINESS PLC,ET,EPDIS
