Country_Id,Customer Name,Type,Order Type,GMID,Quantity,Invoiced_amount_EUR,Month,GBU,Product Supply chain Desc,Order Type Description
KE,SURGIPHARM LIMITED,Invoice,SN,655329,800,"1,264.00  ",May,,,
KE,SURGIPHARM LIMITED,Invoice,SN,655329,2400,"3,792.00  ",May,,,
KE,SURGIPHARM LIMITED,Invoice,SN,655329,150,237.00  ,May,,,
KE,SURGIPHARM LIMITED,Invoice,SN,655329,2880,"4,550.40  ",May,,,
KE,SURGIPHARM LIMITED,Invoice,SN,655329,1920,"3,033.60  ",May,,,
KE,SURGIPHARM LIMITED,Invoice,SN,655329,10,15.80  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261605,144,904.97  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261605,176,"1,106.07  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261605,55,345.65  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261605,1344,"8,446.37  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261605,1008,"6,334.78  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261605,105,659.87  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261610,144,"1,526.26  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261610,1008,"10,683.79  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,261610,1680,"17,806.32  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,196680,432,"3,989.61  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306222,450,"4,516.83  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306222,1260,"12,647.12  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306222,24,240.90  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306222,66,662.47  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306225,32,435.30  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306225,1080,"14,691.35  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306225,630,"8,569.95  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306225,58,788.98  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306226,360,"7,194.85  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306226,22,439.69  ,May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,306226,68,"1,359.03  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,551042,1800,"11,649.06  ",May,,,
ET,BEKER GENERAL BUSINESS PLC,Invoice,SA,643216,352,"11,854.66  ",May,,,
