Product Gmid,Quantity,Expiry
62375,14400,
67933,2363,
98574,10437,
168279,8720,
172136,777,
187747,2,
187750,3369,
196680,867,
196681,1009,
209742,49037,
213714,229,
213847,14996,
213848,19190,
213866,2262,
214082,60,
222428,7728,
224938,8672,
224948,26050,
239907,73916,
240939,5018,
240941,565,
241634,930,
242086,4596,
245296,32622,
247831,5017,
247832,5914,
249438,72526,
250800,6496,
251781,2865,
252039,44831,
252040,74682,
252041,18035,
261604,3158,
261605,9862,
261610,9192,
263703,900,
263707,170,
263980,1555,
264433,3,
264980,16290,
268012,53140,
268013,23702,
268014,7020,
268015,10630,
269069,91116,
277954,264070,
281498,599222,
281499,117150,
281500,86048,
282319,6015,
282345,22860,
282348,12372,
285368,1940,
287550,100994,
287552,11787,
287553,31416,
289137,14208,
289138,25046,
291024,21111,
292174,134259,
293665,7838,
296505,16120,
296593,4800,
298682,1980,
298689,17642,
298691,21846,
298693,2231,
298698,4357,
298707,1730,
298709,2218,
298711,12402,
298801,69921,
305478,25795,
305479,3,
305928,230271,
306216,12532,
306217,23259,
306218,17542,
306219,6710,
306220,1800,
306222,3709,
306225,13066,
306226,6038,
306632,120,
307013,22598,
310637,5568,
311119,930,
311122,32048,
311166,35691,
311168,68036,
312451,5792,
317081,500,
320344,2255,
321233,6509,
323470,30744,
323473,83512,
323487,48070,
342280,51680,
346666,25044,
352016,3348,
354890,22579,
355496,900,
355560,3463,
368552,19418,
370351,10,
374872,1170,
380554,400,
380567,139,
381782,95,
390465,2208,
405018,7910,
405039,46423,
405069,3934,
408003,10932,
413689,20,
414074,252,
415360,480,
436418,20354,
436433,58793,
443299,4533,
443925,86000,
475652,6552,
475871,10809,
475982,28002,
475987,6940,
475988,1608,
476009,21852,
476043,1430,
476518,34447,
476624,180,
476664,708,
476712,24488,
476714,85712,
476933,194671,
476938,609,
476941,3238,
476947,329861,
476954,13506,
476955,2704,
476956,72000,
476957,8175,
476963,2660,
476998,4000,
477012,50640,
477015,41356,
477034,9280,
477825,2486,
479387,3000,
479530,2464,
489540,68532,
489541,7657,
502299,15820,
506742,1020,
516143,2721,
516219,200,
528888,17635,
539181,1015,
539182,387,
539183,568,
539185,226,
541078,5051,
545747,21389,
551042,6748,
551043,31912,
554510,612,
571696,6046,
592593,17959,
592684,52062,
592685,9982,
592705,3483,
592979,3315,
592980,5161,
592989,9682,
609071,175583,
611732,16443,
615902,2600,
615926,120,
624479,831119,
624480,193655,
624622,24642,
624625,79101,
624774,81302,
624775,11543,
625681,58071,
625765,18243,
625767,22200,
626499,66020,
626630,59983,
626997,66039,
626998,61352,
627160,61049,
627314,80020,
627326,35310,
627327,15294,
627328,35385,
627329,12681,
627330,95799,
627331,60824,
627332,68004,
628074,63709,
630763,45865,
630791,46565,
636858,23560,
638521,91148,
639164,71685,
639608,9249,
641849,21995,
643216,1552,
645820,960,
651777,38609,
653093,4600,
653430,88780,
655329,19560,
662889,12216,
663419,2,
663981,39481,
663983,67901,
663984,30558,
663985,192419,
663986,19052,
663987,1480,
663988,29809,
663992,3143,
663994,6850,
663996,35,
664047,103650,
665371,8560,
665401,36034,
668290,15534,
671538,200,
671597,6,
671637,210,
671639,68506,
39171,0,
67294,0,
141662,0,
223652,0,
225726,0,
245298,0,
248719,0,
248720,0,
250798,0,
251823,0,
258746,0,
261608,0,
263269,0,
263701,0,
269210,0,
297260,0,
298685,0,
298706,0,
305481,0,
320343,0,
324267,0,
338199,0,
339765,0,
346667,0,
354883,0,
371014,0,
371243,0,
407073,0,
407096,0,
475646,0,
475654,0,
475862,0,
475875,0,
475991,0,
475994,0,
476008,0,
476284,0,
476630,0,
476936,0,
476960,0,
476996,0,
477000,0,
477044,0,
477787,0,
506704,0,
506739,0,
507364,0,
557997,0,
625032,0,
625574,0,
635403,0,
639918,0,
642931,0,
643215,0,
645815,0,
645817,0,
645818,0,
645819,0,
651737,0,
651766,0,
651772,0,
651891,0,
652485,0,
653030,0,
653084,0,
653288,0,
653293,0,
654229,0,
660193,0,
660198,0,
663982,0,
663990,0,
663995,0,
663998,0,
664051,0,
671563,0,
671568,0,
