Product Gmid,Quantity,Expiry
62375,23983,
67933,747,
168279,10666,
172136,1205,
187747,44450,
187750,56898,
196680,3241,
196681,2460,
209742,30847,
213714,29,
213847,24982,
213848,66313,
222428,7243,
224938,25417,
224948,170839,
239907,106452,
240939,4594,
241634,990,
242086,3039,
245296,63230,
247832,8409,
249438,19415,
250798,17524,
251781,3472,
252039,59438,
252040,47696,
252041,52047,
258746,708,
261604,2520,
261605,2114,
261610,13263,
263707,380,
268012,14798,
268013,42642,
268014,7928,
268015,14082,
269069,113132,
277954,73290,
281498,546219,
281499,246010,
281500,74378,
282345,3,
282348,6382,
285368,1150,
287550,1117,
287552,20529,
287553,32906,
289137,19609,
289138,29771,
291024,48726,
292174,122505,
293665,3588,
296505,33140,
298682,30178,
298689,18627,
298691,47297,
298693,20688,
298698,10056,
298711,14845,
298801,47509,
305478,4053,
305479,48268,
305481,6307,
305928,86557,
306216,2413,
306217,21267,
306218,2204,
306219,607,
306220,990,
306222,27217,
306225,3960,
306226,360,
306632,640,
307013,30450,
310637,3631,
311122,15943,
311168,100325,
312451,4080,
320344,2691,
321233,8831,
323470,78579,
323473,100707,
323487,29548,
342280,58687,
346666,46692,
352016,12348,
354890,170713,
355560,8027,
374872,13211,
380554,780,
380567,992,
381782,4173,
405018,19812,
405039,36083,
405069,7324,
407096,20,
408003,9783,
413689,282,
414074,209,
415360,280,
436418,15396,
436433,33523,
443299,1773,
443925,27101,
475652,7554,
475871,15022,
475875,9374,
475982,42223,
475991,150840,
476009,5132,
476518,54385,
476624,292,
476664,43848,
476712,14922,
476714,68793,
476933,728098,
476941,1259,
476947,275492,
476954,29193,
476956,6199,
476957,14704,
476963,1309,
476998,1920,
477012,13340,
477015,72772,
477825,19633,
479387,80270,
479530,105944,
489540,95302,
489541,97338,
502299,11256,
506739,1924,
516143,1434,
516219,160,
528888,14560,
539181,1705,
539182,1226,
539183,1374,
541078,4998,
545747,20223,
551042,24720,
551043,25091,
571696,3535,
592593,14678,
592684,9387,
592685,10371,
592705,4175,
592979,6941,
592980,3253,
592989,7130,
609071,134661,
611732,4710,
612011,1413,
615902,2160,
615926,270,
624479,598041,
624480,262880,
624622,2231,
624625,43791,
624774,64961,
624775,10149,
625681,49982,
625765,29500,
625767,8578,
626499,89505,
626630,6157,
626997,405788,
626998,39232,
627160,95381,
627314,142458,
627326,46604,
627327,88805,
627328,71300,
627329,88540,
627330,47719,
627331,64364,
627332,66939,
628074,107805,
630763,33600,
630791,82493,
636858,27567,
638521,12541,
639164,71934,
639608,20649,
641849,6240,
642931,558,
643215,2764,
643216,8122,
645815,5709,
645818,2226,
645820,4870,
651766,9240,
651777,46,
652574,1088,
653084,1800,
653093,4800,
662889,50377,
663419,2882,
663981,116124,
663982,234574,
663983,248169,
663984,64791,
663985,208182,
663986,322447,
663987,113735,
663988,19825,
663992,1773,
664047,56969,
665371,5550,
665401,18570,
667138,1855,
671538,6940,
671563,2913,
671568,3,
671597,76876,
671637,88146,
671639,58756,
669155,27778,
39171,798,
370351,10,
475987,6000,
475988,18232,
477787,6080,
475862,5120,
247831,6245,
476043,16500,
264433,10,
261608,336,
554510,6422,
355496,1750,
540717,37482,
639628,1800,
