Product Gmid,Quantity,Expiry
39171,506,
62375,4498,
67933,4678,
98574,14847,
141662,4400,
168279,1628,
172136,3396,
187747,24693,
187750,124598,
196680,7327,
196681,8066,
213714,462,
214082,72461,
222428,10558,
224938,14904,
224948,16315,
239907,185726,
240939,2927,
241634,940,
242086,1212,
245296,59243,
247831,5571,
247832,7419,
249438,90,
250798,11020,
250800,2891,
251781,9133,
252039,67164,
252040,675,
258746,785,
261604,3668,
261605,29113,
261608,2385,
261610,24584,
263269,1616,
263980,560,
264433,187,
264980,47840,
268012,9352,
268013,23630,
268014,9404,
268015,12040,
269069,104682,
281498,821870,
281499,93834,
281500,3832,
287550,110715,
287552,24708,
287553,49445,
289137,29973,
289138,45554,
291024,56817,
292174,52416,
293665,2040,
296505,21360,
297260,19475,
298682,3383,
298685,3840,
298689,23110,
298691,36984,
298693,28036,
298698,8498,
298711,15410,
298801,31997,
305479,17007,
305481,7210,
305928,92801,
306216,735,
306218,19269,
306219,9409,
306220,2768,
306222,9030,
306225,1000,
306226,1659,
306632,2070,
307013,55015,
310637,31605,
311122,26261,
311166,340,
311168,182922,
312451,3552,
320343,11549,
321233,4977,
323470,19462,
323473,59685,
323487,8,
342280,48204,
346666,77199,
352016,3842,
354883,750,
354890,26563,
355496,7182,
355560,4722,
370351,20,
371014,671,
374872,26281,
380554,1060,
380567,639,
381782,4385,
405039,18653,
407096,80,
408003,8329,
413689,571,
414074,938,
436418,15960,
436433,125936,
443925,34584,
475862,396,
475871,15692,
475875,1852,
475982,5849,
475987,17460,
475988,29255,
475991,246949,
475999,13584,
476009,47802,
476043,12297,
476518,37233,
476624,222,
476664,56748,
476712,28342,
476714,51998,
476933,382215,
476941,213,
476947,598001,
476954,27445,
476955,82361,
476956,120823,
476957,43443,
476963,19906,
477015,95172,
477034,19480,
477044,23920,
477787,20760,
477825,1889,
479387,75737,
479530,88838,
489540,124370,
489541,133298,
502299,14089,
505579,32596,
506739,12755,
516219,160,
518946,16056,
528888,21170,
539181,4061,
539182,1876,
539183,4368,
539185,1550,
540717,34848,
541078,7435,
545747,26390,
551042,55859,
551043,25140,
554510,7489,
571696,5160,
592231,930,
592593,14730,
592684,134,
592685,84,
592705,97,
609071,118878,
611732,1650,
612011,3471,
615902,3000,
615926,766,
624479,357628,
624480,2406707,
624625,34889,
624774,96017,
624775,13534,
625681,14692,
625765,35487,
625767,11825,
626499,232153,
626630,5488,
626997,323237,
626998,1866,
627060,64642,
627061,16889,
627062,68106,
627160,65725,
627314,198483,
627326,16490,
627327,100569,
627328,114236,
627329,113063,
627330,105958,
627331,68148,
627332,87053,
627595,2760,
627597,1443,
627667,55802,
628074,48885,
628391,36728,
630763,28489,
630791,16825,
636825,43372,
636827,85025,
636858,49924,
639164,105903,
639608,32004,
641849,43785,
642931,1336,
643215,4389,
643216,8728,
645815,16,
645818,13699,
645820,9425,
652574,818,
653430,14397,
655846,340,
662889,21891,
663419,2897,
663981,119747,
663982,516569,
663983,265596,
663984,65193,
663985,12488,
663986,202072,
663987,60079,
663988,545,
663992,17601,
663994,11,
663996,1554,
663998,14497,
664047,181573,
665371,7810,
666653,10155,
666654,2584,
666655,5287,
667138,1750,
671538,20,
671568,20696,
671597,51736,
671609,94354,
671637,46204,
671639,48173,
678014,59347,
679231,1844,
686913,5355,
696079,1800,
696080,4800,
