Product Gmid,Quantity,Expiry
39171,394,
62375,5203,
67933,1101,
98574,7467,
168279,15327,
172136,182,
187747,1581,
187750,38163,
196680,1712,
196681,3287,
209742,48578,
213714,359,
213847,7796,
213848,62180,
213866,2191,
222428,3431,
223652,387,
224938,8840,
224948,51348,
239907,68040,
240939,3592,
240941,1310,
241634,930,
247831,3844,
247832,3648,
249438,27020,
250798,4526,
250800,4521,
251781,5340,
252039,2280,
252040,51554,
252041,48492,
258746,156,
261604,1440,
261605,1282,
261610,3088,
263269,1216,
263707,260,
263980,2165,
264433,5,
264980,10600,
268012,4522,
268013,13608,
268014,6246,
268015,8140,
269069,55440,
277954,107880,
281498,237922,
281499,84546,
281500,9374,
282319,5268,
282345,17889,
285368,1648,
287550,51000,
287552,3229,
287553,73619,
289137,1715,
289138,39618,
291024,46646,
292174,42129,
293665,3368,
296505,1024,
296593,12500,
297260,6475,
298682,36288,
298689,14047,
298691,13871,
298693,10350,
298698,3169,
298706,50,
298707,17760,
298709,4813,
298711,8867,
298801,94096,
305478,34915,
305479,36170,
305481,3324,
305928,103593,
306216,16551,
306217,46582,
306218,7213,
306219,6574,
306220,1020,
306222,11879,
306225,18306,
306226,10468,
306632,160,
307013,8614,
310637,16438,
311119,1290,
311122,6393,
311166,31391,
311168,75455,
312451,5792,
317081,500,
320343,4945,
320344,627,
321233,5083,
323470,5682,
323473,12528,
323487,18980,
324267,10,
329932,1,
342280,18420,
346666,3382,
346667,11750,
352016,8448,
354883,15355,
354890,94499,
354950,64324,
355560,4723,
370351,30,
371014,588,
371243,16031,
374872,14105,
380554,680,
380567,139,
381782,3630,
390465,5950,
390470,3,
405018,6868,
405039,60723,
405069,3514,
408003,5081,
413689,140,
414074,651,
415360,90,
436418,2448,
436433,20555,
443299,6619,
475652,2268,
475871,17129,
475875,568,
475982,16805,
475987,4090,
475988,17008,
475991,54970,
476009,31488,
476043,9670,
476518,37850,
476664,28512,
476712,37016,
476714,68647,
476933,186782,
476938,759,
476941,1286,
476947,28286,
476954,9216,
476955,15560,
476956,56451,
476957,21543,
476959,5,
476963,8918,
477015,14827,
477034,13840,
477044,18040,
477825,23328,
479530,70220,
489540,60992,
489541,30678,
502299,9665,
516143,3930,
516219,200,
528888,8965,
539181,2581,
539182,1406,
539183,1889,
539185,1186,
541078,2420,
545747,360,
551042,29257,
551043,25782,
554510,6655,
571696,3921,
592593,37208,
592684,35262,
592685,14937,
592705,24230,
592979,5400,
592980,2211,
592989,8171,
609071,168726,
611732,8896,
615902,2600,
615926,120,
624479,232597,
624480,418890,
624622,1706,
624625,98325,
624774,42932,
625681,27349,
625765,9658,
625767,18764,
626499,44400,
626630,646,
626997,123202,
627160,15794,
627314,84314,
627326,78395,
627327,11996,
627328,28797,
627329,6070,
627330,65500,
627332,24504,
628074,60800,
630763,16057,
630791,27181,
638521,8962,
639608,19904,
642931,680,
643215,20,
643216,3532,
651777,9484,
653093,4800,
653430,11520,
662889,24936,
663981,51502,
663982,1,
663983,81064,
663985,82778,
663986,248270,
663987,300,
663988,46784,
663992,13091,
663995,5,
664047,61214,
665371,7410,
665401,19866,
668290,15444,
671538,2818,
671637,17682,
671639,38950,
