Product Gmid,Quantity,Expiry
663981,1,
663981,2,
663981,2,
663981,2,
663981,3,
663981,4,
663981,4,
663981,7,
663981,7,
663981,4542,
663981,16450,
663981,16498,
663981,16543,
663983,6106,
663983,72687,
663983,73055,
663983,73283,
307013,4587,
516219,160,
268012,21893,
268013,3970,
268013,6752,
268014,648,
268014,3600,
268015,8032,
321233,3968,
475652,1800,
475652,3240,
475652,5566,
475982,1,
475982,575,
475982,17040,
475982,17635,
475871,717,
475875,306,
475875,794,
475875,1002,
475875,1178,
475875,1186,
475875,1186,
475875,1186,
475875,1186,
539185,2,
539183,2523,
539181,236,
539182,540,
196680,588,
196681,1,
196681,424,
196681,1244,
665401,18902,
665401,22668,
281498,15,
281498,21551,
281498,48215,
281498,87694,
281498,147373,
298801,2880,
298801,13631,
298801,14238,
298801,15000,
298801,16615,
281499,14916,
281499,17993,
281499,59840,
281499,62813,
281499,65145,
281500,2,
281500,2,
281500,12132,
281500,12598,
281500,31075,
281500,31914,
475987,7000,
475991,3660,
475991,25680,
475991,25920,
475991,25920,
475991,25920,
475991,25920,
636858,32459,
306220,562,
306222,432,
306222,13690,
306225,1155,
306225,3960,
306226,70,
306226,290,
551042,2,
551042,1380,
551042,5799,
551042,27437,
551043,5,
551043,27482,
247831,1080,
247831,1549,
247832,1129,
628074,28808,
628074,36640,
554510,238,
554510,4085,
323487,12868,
298682,24148,
298682,26250,
320344,2472,
320343,4260,
305481,800,
305479,3,
630791,4,
630791,5,
630791,240,
630791,1435,
630791,1440,
630791,5600,
630791,5760,
630791,11820,
630791,19433,
630791,23960,
625767,4,
625767,621,
630763,17707,
630763,21600,
240939,4563,
611732,10212,
443925,20,
443925,1985,
443925,8996,
443925,9000,
443925,24000,
627329,250,
627329,49370,
627331,50,
627331,16600,
627331,29244,
627328,4178,
627328,32550,
627332,22499,
626499,1,
626499,11,
626499,174393,
624480,1,
624480,2,
624480,2,
624480,5,
624480,6,
624480,6,
624480,8,
624480,11,
624480,12,
624480,12,
624480,20,
624480,78,
624480,1301,
624480,27650,
624480,35840,
624480,39009,
624480,39040,
624480,39296,
62375,1223,
62375,21540,
627327,6,
627327,13,
627327,8850,
627327,36000,
627314,3,
627314,4,
627314,2175,
627314,17663,
627314,67582,
627326,3,
627326,8700,
627326,13751,
627326,21000,
626997,600,
626997,614,
626997,23986,
626997,39000,
626997,48081,
626997,51000,
626997,51000,
626997,54000,
624479,1,
624479,18,
624479,21,
624479,80,
624479,4172,
624479,19920,
624479,21000,
624479,21360,
624479,21599,
624479,21600,
624479,21810,
624479,21906,
624479,21956,
624479,21960,
624479,21960,
624479,21960,
624479,21960,
624479,22062,
624479,22080,
624479,22200,
624479,22440,
624479,22780,
627330,200,
627330,600,
627330,1000,
627330,2599,
627330,6406,
627330,30000,
627160,50628,
627160,53089,
626998,5,
626998,26,
626998,2268,
626630,21,
476664,25120,
407096,70,
528888,21511,
641849,480,
502299,2,
502299,4,
502299,218,
502299,3864,
643216,283,
643216,1445,
592593,2815,
592593,8064,
592593,13860,
671538,200,
541078,4,
541078,3799,
224938,26,
224938,2291,
224938,15900,
664047,424,
664047,23600,
664047,47872,
67933,18,
67933,232,
354890,1,
354890,1,
354890,2,
354890,2,
354890,3,
354890,20,
354890,48,
354890,11225,
354890,63288,
354890,63336,
663984,3939,
663984,11799,
342280,4,
342280,7581,
342280,13440,
342280,25500,
663985,5,
663985,13,
663985,17,
663985,51,
663985,57,
663985,244,
663985,10410,
663985,14640,
663985,20394,
663985,20436,
663985,20496,
663985,20681,
476963,7,
476963,1308,
476955,12742,
476955,14880,
476956,9408,
477015,1624,
476957,2492,
476957,5700,
476957,15174,
476954,3936,
476954,7632,
476954,14688,
476043,17600,
663986,16,
663986,10912,
663986,99816,
665371,6650,
297260,1150,
663987,300,
663987,13876,
663987,31236,
663987,36832,
285368,1435,
638521,5173,
638521,26550,
98574,1657,
476933,2286,
476933,25920,
476933,32480,
476933,32600,
476933,32640,
476933,32640,
476933,32640,
476933,32680,
476933,32680,
476933,32760,
476933,32800,
476933,32800,
476933,32800,
476933,32800,
476933,32800,
476933,32800,
476933,32800,
476933,32800,
476933,32800,
476933,32800,
476933,32880,
476933,32920,
476933,32960,
476933,32960,
476933,32960,
405018,3880,
405018,15282,
405039,3001,
405039,31692,
405069,1364,
405069,4140,
671563,2208,
671563,3865,
625681,21,
625681,3475,
625681,30396,
625681,39800,
311168,27,
311168,44270,
311168,86833,
277954,123205,
293665,1920,
293665,3338,
305478,1555,
305478,2498,
306216,900,
306216,3578,
306217,1575,
306217,3246,
306218,6416,
306219,966,
306219,2461,
239907,1,
239907,3,
239907,4,
239907,11,
239907,2400,
239907,18903,
239907,36720,
291024,3,
291024,432,
291024,11610,
291024,17256,
292174,3,
292174,3,
292174,4,
292174,7,
292174,19180,
292174,77692,
436433,2,
436433,9177,
224948,1,
224948,3,
224948,6,
224948,10,
224948,22,
224948,1982,
224948,25183,
224948,25674,
224948,25700,
224948,25724,
224948,26090,
224948,26100,
346666,7,
346666,59,
346666,2660,
346666,10216,
346666,23426,
245296,38,
245296,18804,
245296,70870,
476941,389,
476941,1080,
355496,2100,
592685,2,
592685,2,
592685,1037,
592685,12000,
592684,4,
592684,18708,
213714,29,
287552,9922,
287552,14016,
287550,57,
287550,136,
287550,18566,
287553,6844,
287553,21912,
476712,3560,
476712,12946,
289137,4,
289137,246,
592705,1,
592705,5,
592705,452,
592705,19643,
609071,2317,
609071,10757,
609071,47080,
609071,49157,
609071,49576,
671597,2,
671597,11142,
671597,14000,
671597,14480,
671597,14560,
671597,14625,
264980,1880,
311122,1,
311122,30252,
305928,29,
305928,7680,
305928,15790,
305928,23314,
305928,65210,
296505,6690,
296505,29920,
662889,25687,
662889,34485,
476518,1584,
476518,11712,
476518,16704,
298689,1,
298689,1,
298689,1550,
374872,180,
374872,4696,
298691,12435,
298693,5,
298693,5896,
298693,7896,
252039,3,
252039,11,
252039,8680,
252039,19563,
252039,28323,
252040,39826,
252041,4,
252041,4,
252041,8,
252041,5038,
252041,25038,
476714,12865,
476714,28378,
476714,28470,
222428,6,
222428,4376,
371014,160,
639164,1,
639164,16514,
540717,2,
540717,8715,
540717,19964,
249438,36713,
172136,101,
172136,1366,
663992,3,
663992,13,
663992,3122,
