Product Gmid,Quantity,Expiry
62375,26408,
67933,1643,
98574,5637,
168279,19014,
172136,353,
187747,17796,
187750,102206,
196680,1486,
196681,3430,
209742,47200,
213714,29,
213847,8382,
213848,59970,
213866,1208,
222428,5921,
224938,24467,
224948,177963,
239907,95999,
240939,3791,
241634,710,
242086,2141,
245296,94425,
247832,75,
249438,51707,
250798,3016,
250800,2681,
251781,1690,
252039,48363,
252040,68862,
252041,35795,
258746,48,
261604,438,
261605,3970,
261610,2128,
263269,1440,
263707,1360,
263980,510,
264980,6580,
268012,36178,
268013,36077,
268014,7580,
268015,13844,
269069,67041,
277954,162190,
281498,668226,
281499,206934,
281500,104573,
282319,23452,
282345,6333,
282348,11630,
285368,2412,
287550,69295,
287552,24670,
287553,30934,
289137,2330,
289138,5595,
291024,23150,
292174,81853,
293665,6448,
296505,41810,
297260,1150,
298682,48568,
298689,10622,
298691,14052,
298693,13978,
298698,9498,
298707,255,
298711,11932,
298801,76562,
305478,10915,
305479,16623,
305481,10546,
305928,180067,
306216,7467,
306217,10407,
306218,6417,
306219,4351,
306220,810,
306222,9791,
306225,9715,
306226,930,
307013,12151,
310637,4640,
311122,28753,
311166,4485,
311168,133491,
312451,5536,
320343,5898,
320344,265,
321233,9053,
323470,67402,
323473,155876,
323487,32413,
342280,47126,
346666,24864,
352016,6858,
354890,103343,
355560,11087,
368552,27204,
374872,5236,
380554,4000,
380567,929,
381782,120,
405018,20362,
405039,38403,
405069,7874,
408003,5869,
413689,120,
414074,640,
415360,380,
436418,17731,
436433,45430,
443299,2795,
443925,80796,
475652,7020,
475871,16113,
475875,3600,
475982,43585,
475991,3600,
476009,9108,
476518,37280,
476624,218,
476664,25176,
476712,20322,
476714,76523,
476933,644697,
476941,1853,
476947,5009,
476954,5824,
476955,28120,
476956,47800,
476963,2940,
476998,1920,
477012,3600,
477015,23928,
477044,2660,
477825,13002,
479387,59136,
479530,81175,
489540,101512,
489541,144026,
502299,6124,
506739,6824,
506742,1020,
516143,1548,
516219,160,
528888,33074,
539181,1822,
539182,722,
539183,334,
539185,113,
541078,6854,
545747,17038,
551043,41516,
571696,5752,
592593,25090,
592684,30012,
592685,16161,
592705,42194,
592979,7472,
592980,7189,
592989,10835,
609071,123592,
611732,13750,
612011,2033,
615902,3660,
615926,164,
624479,583916,
624480,315427,
624622,13016,
624625,61878,
624774,128188,
624775,8505,
625681,48751,
625765,16504,
625767,12595,
626499,66999,
626630,58765,
626997,225719,
626998,16197,
627160,78325,
627314,132927,
627326,12504,
627327,34190,
627328,31568,
627329,56992,
627330,47918,
627331,44654,
627332,39404,
628074,73948,
630763,27872,
630791,65561,
636858,30357,
638521,55508,
639164,23945,
639608,32267,
641849,3384,
643215,1640,
643216,3264,
645815,17909,
645817,1000,
645820,6510,
651766,13810,
651777,50729,
653030,42921,
653084,1800,
653093,4600,
653430,38755,
662889,32960,
663419,2,
663981,95743,
663982,178420,
663983,129033,
663984,14059,
663985,201894,
663986,73568,
663987,56784,
663988,5250,
663992,6507,
663998,1780,
664047,120636,
665371,9560,
665401,35302,
668290,5429,
671538,200,
671568,3,
671637,36083,
671639,96893,
476957,27651,
652574,20738,
407096,70,
671563,2208,
642931,80,
663990,6800,
645818,5546,
667138,1955,
655846,930,
306632,480,
551042,1440,
671597,93347,
39171,0,
67294,0,
69976,0,
141662,0,
214082,0,
225726,0,
245298,0,
247831,0,
251823,0,
261608,0,
263701,0,
263703,0,
264433,0,
269210,0,
296593,0,
298685,0,
298706,0,
298709,0,
311119,0,
317081,0,
324267,0,
338199,0,
339765,0,
354883,0,
355496,0,
370351,0,
371014,0,
371243,0,
407073,0,
475646,0,
475654,0,
475862,0,
475987,0,
475988,0,
475994,0,
475999,0,
476008,0,
476043,0,
476284,0,
476630,0,
476936,0,
476938,0,
476960,0,
476996,0,
477000,0,
477034,0,
477787,0,
506704,0,
507364,0,
554510,0,
557997,0,
635403,0,
639918,0,
645819,0,
651737,0,
651772,0,
651891,0,
652485,0,
653288,0,
653293,0,
654229,0,
655329,0,
660193,0,
660198,0,
663994,0,
663995,0,
663996,0,
664051,0,
