Product Gmid,Quantity,Expiry
62375,753,
67933,3406,
98574,9227,
168279,12370,
187747,2,
187750,27577,
196680,1880,
196681,2129,
209742,35926,
213714,359,
213847,16796,
213848,49040,
213866,2601,
214082,28010,
222428,274,
224938,8835,
224948,5580,
239907,33411,
240939,6207,
240941,1070,
241634,930,
242086,2876,
245296,47531,
247831,1237,
247832,1031,
249438,69270,
250798,2726,
250800,7141,
251781,4340,
252039,36577,
252040,58330,
252041,38530,
258746,156,
261604,500,
261605,14126,
261608,336,
261610,11144,
263703,1440,
263707,260,
263980,1935,
264433,25,
264980,14000,
268012,1167,
268013,44827,
268014,8295,
268015,6250,
269069,83835,
277954,309550,
281498,666600,
281499,92073,
281500,61393,
282319,15740,
282345,7164,
285368,2253,
287550,84466,
287552,20911,
287553,54756,
289137,18248,
289138,32691,
291024,12618,
292174,8831,
293665,2568,
296505,110,
296593,5370,
297260,6475,
298682,21828,
298689,15627,
298691,13359,
298693,1944,
298698,3117,
298706,23190,
298707,840,
298709,3393,
298711,20897,
298801,79026,
305478,32515,
305479,15682,
305481,10061,
305928,95961,
306216,14382,
306218,24962,
306219,5026,
306220,180,
306222,41130,
306225,15946,
306226,10192,
306632,160,
307013,21791,
310637,11908,
311119,505,
311122,21679,
311166,14331,
311168,74506,
312451,5792,
317081,136,
320343,4730,
321233,10191,
323470,24,
323473,58220,
323487,39190,
342280,32415,
346667,6806,
352016,6948,
354883,7246,
354890,65011,
355496,1600,
355560,4153,
368552,16680,
370351,10,
371014,388,
371243,7991,
374872,10995,
380554,1680,
380567,3139,
381782,3390,
390465,3541,
405018,6794,
405039,60353,
405069,4944,
408003,6112,
413689,80,
414074,461,
415360,80,
436418,24079,
436433,21714,
443299,5549,
443925,74000,
475652,2018,
475871,7801,
475987,1010,
475988,6608,
475991,10260,
476009,24888,
476043,7030,
476518,37969,
476664,28728,
476712,32504,
476714,89762,
476933,11480,
476938,694,
476941,2660,
476947,287009,
476954,668,
476957,10983,
476963,294,
477034,12240,
477044,2520,
477825,656,
479387,12616,
479530,43886,
489540,80832,
489541,10658,
502299,1577,
506742,4820,
516143,3700,
516219,200,
528888,8540,
539181,22,
539182,1017,
539183,100,
539185,488,
541078,4365,
545747,15423,
551042,16457,
551043,44432,
554510,3013,
571696,4276,
592593,29605,
592684,29447,
592685,13077,
592705,6036,
592979,4610,
592980,1151,
592989,6957,
609071,131036,
611732,17248,
615902,2600,
615926,120,
624479,4560,
624480,49153,
624622,31050,
624625,91013,
624774,46156,
624775,17746,
625681,19102,
625765,17320,
625767,14956,
627160,40530,
627314,12157,
627326,39303,
627327,3625,
627328,200,
627329,47325,
627330,9948,
627331,57376,
627332,31254,
628074,40007,
630763,11871,
630791,35340,
638521,84268,
639164,80375,
639608,14344,
642931,440,
643215,609,
643216,8168,
645820,2400,
651777,64469,
653093,4600,
653430,72140,
655329,30960,
662889,19821,
663419,3000,
663981,56636,
663982,192181,
663983,13782,
663984,68488,
663985,163188,
663986,18946,
663987,10812,
663988,29582,
663992,5,
663994,10000,
663996,3431,
663998,10000,
664047,32504,
665371,6790,
665401,15866,
668290,14514,
671538,200,
671637,2658,
671639,25260,
671639,38950,
