Product Gmid,Quantity,Expiry
39171,402,
62375,23758,
67933,2864,
98574,8997,
168279,4700,
172136,1910,
187747,51013,
187750,140250,
196680,2375,
196681,1143,
209742,63349,
213714,129,
213847,1182,
213848,30970,
213866,1898,
214082,120,
222428,3126,
224938,12232,
224948,98881,
239907,37165,
240939,4075,
240941,505,
241634,710,
242086,4011,
245296,60515,
247831,2889,
247832,1436,
249438,120000,
250798,2854,
250800,4696,
251781,100,
252039,58960,
252040,69122,
252041,40696,
258746,144,
261604,2208,
261605,5830,
261610,6648,
263269,1008,
263703,720,
263707,50,
263980,1160,
264433,3,
264980,15080,
268012,44940,
268013,11652,
268014,10060,
268015,8773,
269069,67711,
277954,221630,
281498,724066,
281499,111313,
281500,90971,
282319,20935,
282345,21388,
282348,4117,
285368,2235,
287550,118623,
287552,14536,
287553,47342,
289137,9960,
289138,15026,
291024,34685,
292174,72808,
293665,6948,
296505,13080,
297260,3200,
298682,48570,
298689,18382,
298691,16341,
298693,17457,
298698,9707,
298707,3960,
298709,1308,
298711,20607,
298801,93197,
305478,19555,
305479,77013,
305481,22640,
305928,172724,
306216,10289,
306217,27049,
306218,15662,
306219,5406,
306220,100,
306222,1529,
306225,9715,
306226,4418,
307013,17862,
310637,500,
311119,400,
311122,40218,
311166,23941,
311168,99576,
312451,2656,
317081,500,
320343,18965,
320344,902,
321233,3377,
323470,54568,
323473,121527,
323487,41778,
342280,49408,
346666,37834,
352016,6858,
354890,129029,
355560,12863,
368552,50668,
370351,10,
374872,12870,
380554,400,
380567,769,
381782,1149,
390465,2208,
405018,21932,
405039,38663,
405069,6504,
408003,11277,
413689,120,
414074,223,
415360,380,
436418,19287,
436433,61157,
443299,3945,
443925,105796,
475652,3510,
475871,10863,
475875,2995,
475982,27157,
475987,4438,
475988,11568,
475991,15820,
476009,13308,
476043,570,
476518,15190,
476624,208,
476664,29868,
476712,21224,
476714,82383,
476933,395583,
476941,2825,
476947,313169,
476954,104,
476955,39665,
476956,19869,
476963,9640,
476998,5600,
477012,50640,
477015,32916,
477034,400,
477044,1440,
477787,27000,
477825,12000,
479387,3000,
479530,32025,
489540,94592,
489541,507,
502299,10348,
506739,6824,
506742,1020,
516143,2051,
516219,180,
528888,14189,
539181,4871,
539182,722,
539183,939,
539185,468,
541078,5936,
545747,15309,
551043,24092,
571696,7557,
592593,8588,
592684,39712,
592685,6452,
592705,59447,
592979,4684,
592980,4051,
592989,13042,
609071,169233,
611732,15743,
612011,4803,
615902,2150,
615926,230,
624479,644752,
624480,590223,
624622,20026,
624625,70044,
624774,133828,
624775,11963,
625681,77306,
625765,28874,
625767,18081,
626499,69131,
626630,12151,
626997,170405,
626998,20624,
627160,54169,
627314,126833,
627326,40383,
627327,35837,
627328,39088,
627329,7616,
627330,122519,
627331,70814,
627332,60622,
628074,73278,
630763,35957,
630791,83168,
636858,26600,
638521,84673,
639164,54680,
639608,38614,
641849,11387,
643215,25,
643216,8209,
645815,9959,
645817,1000,
645820,960,
651766,34650,
651777,28599,
653030,3219,
653084,1800,
653093,4600,
653430,71980,
662889,41755,
663419,2,
663981,90331,
663982,157142,
663983,46318,
663984,16414,
663985,98106,
663986,77121,
663987,1510,
663988,29781,
663992,4941,
663996,3882,
663998,8900,
664047,148430,
665371,7720,
665401,22034,
668290,16369,
671538,200,
671568,11410,
671637,48454,
671639,54507,
67294,0,
69976,0,
141662,0,
225726,0,
245298,0,
251823,0,
261608,0,
263701,0,
269210,0,
296593,0,
298685,0,
298706,0,
306632,0,
324267,0,
338199,0,
339765,0,
354883,0,
355496,0,
371014,0,
371243,0,
407073,0,
407096,0,
475646,0,
475654,0,
475862,0,
475994,0,
475999,0,
476008,0,
476284,0,
476630,0,
476936,0,
476938,0,
476957,0,
476960,0,
476996,0,
477000,0,
506704,0,
507364,0,
551042,0,
554510,0,
557997,0,
635403,0,
639918,0,
642931,0,
645818,0,
645819,0,
651737,0,
651772,0,
651891,0,
652485,0,
652574,0,
653288,0,
653293,0,
654229,0,
655329,0,
660193,0,
660198,0,
663990,0,
663994,0,
663995,0,
664051,0,
667138,0,
671563,0,
671597,0,
