Product Gmid,Quantity,Expiry
39171,586,
62375,16398,
67933,3894,
98574,14847,
141662,8180,
168279,4677,
172136,3326,
187747,31032,
187750,141096,
196680,5803,
196681,7703,
213714,462,
214082,93522,
222428,9256,
224938,18614,
224948,55365,
239907,136066,
240939,3357,
241634,1180,
245296,29512,
247831,6041,
247832,8154,
249438,52130,
250798,12020,
250800,3000,
251781,8595,
252039,77602,
252040,8525,
258746,1264,
261604,2286,
261605,21853,
261608,2445,
261610,20888,
263269,3254,
263980,80,
264433,43,
268012,13982,
268013,36500,
268014,10166,
268015,6792,
269069,119112,
281498,606596,
281499,147042,
281500,18582,
287550,108761,
287552,1436,
287553,67708,
289137,10856,
289138,52324,
291024,55991,
292037,3720,
292174,99108,
293665,3020,
296505,23520,
297260,7183,
298682,14363,
298689,21105,
298691,31267,
298693,22372,
298698,7945,
298711,24932,
298801,9700,
305481,4789,
305928,41586,
306217,450,
306218,16540,
306219,4658,
306220,1170,
306222,4121,
306225,90,
306226,1770,
306632,2070,
307013,36893,
310637,855,
311122,8421,
311166,18235,
311168,162152,
312451,1344,
320343,17834,
320344,530,
321233,6487,
323470,36490,
323473,129050,
323487,13548,
342280,46224,
346666,99188,
352016,6680,
354883,10710,
354890,46963,
355560,5402,
370351,40,
371014,94,
374872,22511,
380554,1060,
380567,679,
381782,3470,
405039,18973,
407096,90,
408003,13279,
413689,587,
414074,938,
436418,14949,
436433,109470,
443925,11962,
475862,396,
475875,2722,
475982,5307,
475991,64794,
476009,30426,
476043,7897,
476518,30533,
476624,262,
476664,44284,
476712,31166,
476714,60843,
476933,418647,
476941,707,
476947,428932,
476954,23321,
476955,73845,
476956,117398,
476957,41314,
476963,22309,
477015,66702,
477034,18640,
477044,25240,
477787,41040,
477825,4839,
479387,142176,
479530,99964,
489540,126370,
489541,135938,
502299,12001,
505579,17984,
506739,12755,
516219,160,
528888,24420,
539181,4255,
539182,1798,
539183,4647,
539185,1735,
540717,43764,
541078,10695,
545747,17522,
551042,41719,
554510,50,
571696,4545,
592231,480,
592593,23586,
592684,7859,
592685,3584,
592705,11707,
609071,179590,
611732,642,
612011,3401,
615902,3440,
615926,440,
624479,301074,
624480,2378115,
624625,41353,
624774,103067,
624775,13904,
625681,24010,
625765,29497,
625767,6349,
626499,208423,
626630,88,
626997,329617,
626998,2186,
627062,37000,
627160,68333,
627314,134953,
627326,28891,
627327,85609,
627328,67028,
627329,133753,
627330,128924,
627331,73069,
627332,94113,
627595,1608,
627597,1563,
627667,76639,
628074,20875,
628391,52078,
630763,32684,
630791,39927,
636825,37372,
636827,67450,
636858,43923,
639164,90923,
639608,22864,
639628,804,
641849,21612,
643215,3911,
643216,10664,
645815,2323,
645817,2993,
645818,19,
645820,1630,
652574,818,
655846,240,
662889,26551,
663419,3023,
663981,211597,
663982,473752,
663983,309260,
663984,76773,
663985,114496,
663986,224832,
663987,67189,
663988,545,
663992,16691,
663994,11,
663996,2398,
663998,17767,
664047,191601,
665371,5890,
665401,10292,
666653,7441,
666654,3845,
666655,6862,
667138,1510,
671538,20,
671597,42006,
671609,94354,
671637,63334,
671639,65308,
678014,98246,
679231,2411,
686913,6055,
696079,1800,
696080,4800,
