Product Gmid,Quantity,Expiry
39171,866,
62375,21628,
67933,2863,
98574,14847,
141662,18756,
168279,4690,
172136,3130,
187747,41640,
187750,162605,
196680,4385,
196681,8223,
209742,52,
213714,309,
222428,7947,
224938,18207,
224948,94572,
239907,138878,
240939,3204,
241634,1470,
245296,49538,
247831,2304,
247832,9052,
249438,82809,
250798,8648,
251781,4347,
252039,73146,
252040,12791,
258746,1012,
261604,1102,
261605,11908,
261608,1773,
261610,6582,
263980,130,
268012,18608,
268013,37093,
268014,8072,
268015,9263,
269069,141710,
281498,453765,
281499,198440,
281500,42172,
282345,3,
282348,7461,
285368,290,
287550,57,
287552,1532,
287553,2812,
289137,14095,
289138,11925,
291024,57735,
292174,127986,
293665,3678,
296505,27980,
297260,12694,
298682,34903,
298689,3697,
298691,29622,
298693,29028,
298698,8875,
298711,15020,
298801,26444,
305479,34081,
305481,3,
305928,58869,
306216,1698,
306217,42444,
306218,7625,
306219,2045,
306220,630,
306222,12191,
306225,3520,
306226,4871,
306632,1601,
307013,28542,
310637,5137,
311122,14433,
311166,37990,
311168,90087,
312451,1344,
320343,9679,
320344,1460,
321233,2570,
323470,53693,
323473,130380,
323487,21578,
342280,35856,
346666,57554,
352016,2936,
354883,33282,
354890,74743,
355496,2374,
355560,6232,
370351,20,
371014,129,
374872,11356,
380554,2180,
380567,799,
381782,2127,
405039,21123,
407096,90,
408003,12116,
413689,30,
414074,658,
415360,130,
436418,15991,
436433,54018,
443299,5,
443925,2769,
475652,700,
475862,2666,
475875,3854,
475982,15867,
475987,1620,
475988,750,
475991,91402,
476009,38822,
476043,19720,
476518,27437,
476624,262,
476664,79032,
476712,12866,
476714,64058,
476933,588008,
476941,827,
476947,440972,
476954,22173,
476955,58207,
476956,127798,
476957,35014,
476963,1167,
476998,710,
477015,66702,
477034,11497,
477044,18280,
477825,11029,
479387,45334,
479530,69977,
489540,113362,
489541,87548,
502299,13499,
505579,14029,
506739,300,
516219,160,
528888,20960,
539181,1841,
539182,1471,
539183,3635,
539185,2349,
540717,32900,
541078,10304,
545747,21862,
551042,51986,
551043,781,
554510,592,
571696,4090,
592231,960,
592593,28256,
592684,19366,
592685,4281,
592705,33432,
609071,104383,
611732,2425,
612011,2583,
615902,5240,
615926,580,
624479,477001,
624480,1241550,
624625,100077,
624774,99538,
624775,13792,
625681,29145,
625765,23947,
625767,11133,
626499,166596,
626630,88,
626997,333721,
626998,15612,
627160,73497,
627314,174390,
627326,43550,
627327,106327,
627328,90585,
627329,117197,
627330,80925,
627331,44644,
627332,45199,
627595,1224,
627597,2224,
628074,53995,
628391,64759,
630763,17643,
630791,38053,
636825,26182,
636827,83530,
636858,44543,
639164,17348,
639608,12822,
639628,1788,
641849,16440,
643215,2353,
643216,4746,
645815,7625,
645817,2993,
645818,19,
645820,2360,
651777,46,
652574,1088,
653430,3563,
662889,36076,
663419,5,
663981,199082,
663982,321324,
663983,300239,
663984,63537,
663985,308284,
663986,268057,
663987,75899,
663988,9608,
663992,18579,
663994,2645,
663996,3000,
663998,18638,
664047,110103,
665371,3930,
665401,16000,
666653,8720,
666654,808,
666655,6679,
667138,1170,
671538,960,
671563,2208,
671568,3,
671597,53101,
671609,68074,
671637,79284,
671639,28560,
678014,22952,
679231,3375,
686913,7595,
696079,1800,
696080,4800,
