Product Gmid,Quantity,Expiry
39171,18,
62375,27883,
67933,1973,
98574,16577,
168279,7810,
172136,3106,
187747,37815,
187750,40156,
196680,4502,
196681,3166,
209742,16267,
213714,229,
213847,20182,
213848,84130,
222428,10574,
224938,22027,
224948,149722,
239907,174688,
240939,3578,
241634,990,
242086,1839,
245296,29790,
247831,5097,
247832,6423,
249438,88550,
250798,8920,
251781,500,
252039,70281,
252040,35756,
252041,62463,
258746,892,
261604,2592,
261605,10421,
261608,1281,
261610,7215,
263269,791,
264433,10,
268012,24238,
268013,22543,
268014,7817,
268015,12448,
269069,128720,
277954,24930,
281498,772270,
281499,207762,
281500,61128,
282345,3,
282348,8127,
285368,820,
287550,657,
287552,9137,
287553,18394,
289137,16605,
289138,20687,
291024,44198,
292174,125507,
293665,3028,
296505,30300,
298682,28738,
298689,19122,
298691,34263,
298693,26787,
298698,10946,
298711,10005,
298801,38059,
305479,12483,
305481,4307,
305928,17147,
306216,2203,
306217,26270,
306218,3403,
306219,1377,
306220,600,
306222,68921,
306226,2610,
306632,660,
307013,29571,
310637,6472,
311119,460,
311122,6563,
311168,15395,
312451,4080,
320343,15372,
320344,2465,
321233,6746,
323470,71307,
323473,103521,
323487,13328,
342280,32176,
346666,19714,
352016,8328,
354890,103329,
355560,6762,
370351,20,
374872,21211,
380554,1160,
380567,799,
381782,1183,
405018,530,
405039,22403,
405069,1644,
407096,20,
408003,10173,
413689,49,
414074,545,
415360,130,
436418,14880,
436433,39278,
443299,1065,
443925,17101,
475652,2120,
475862,1126,
475871,11589,
475875,7805,
475982,37975,
475988,750,
475991,96802,
476009,38822,
476043,4500,
476518,39179,
476624,292,
476664,86400,
476712,14922,
476714,66028,
476933,534528,
476941,867,
476947,499472,
476954,28163,
476955,32592,
476956,10352,
476957,18029,
476963,10784,
476998,1420,
477015,41102,
477034,3857,
477044,23520,
477825,13233,
479387,64378,
479530,118889,
489540,121042,
489541,92268,
502299,10046,
505579,8400,
506739,1024,
516219,160,
528888,1680,
539181,1910,
539182,1091,
539183,3223,
539185,2413,
540717,24659,
541078,5758,
545747,11523,
551042,35131,
551043,13901,
554510,3508,
571696,4370,
592593,37751,
592684,30011,
592685,7341,
592705,47544,
609071,168291,
611732,790,
612011,1643,
615902,2160,
615926,270,
624479,712526,
624480,362316,
624622,100,
624625,34813,
624774,130688,
624775,11206,
625681,23232,
625765,19689,
625767,5547,
626499,73405,
626630,97,
626997,422453,
626998,4312,
627160,82561,
627314,114171,
627326,54450,
627327,124430,
627328,104845,
627329,79505,
627330,49829,
627331,55924,
627332,56339,
627595,140,
627597,823,
628074,53995,
630763,25053,
630791,48893,
636858,40759,
639164,8058,
639608,15879,
639628,1527,
641849,8406,
643215,2212,
643216,6778,
645815,1709,
645818,119,
645820,2950,
651777,46,
652574,1088,
655846,175,
662889,43547,
663419,2,
663981,205860,
663982,256171,
663983,257395,
663984,45540,
663985,202305,
663986,266837,
663987,83099,
663988,42019,
663992,367,
663994,1200,
663996,3801,
664047,129126,
665371,4250,
665401,8,
666653,10000,
666654,1983,
666655,7401,
667138,1855,
671538,493,
671563,2493,
671568,3,
671597,67261,
671637,81556,
671639,45680,
679231,4409,
686913,8645,
696079,1800,
696080,4800,
