Product Gmid,Quantity,Expiry
321233,10,9/1/2020
645820,10,9/2/2020
645818,10,9/3/2020
645819,10,9/4/2020
632896,10,9/5/2020
475652,10,9/6/2020
475862,10,9/7/2020
475982,10,9/8/2020
475871,10,9/9/2020
475875,10,9/10/2020
380567,10,9/11/2020
684820,10,9/12/2020
539185,10,9/13/2020
539183,10,9/14/2020
539181,10,9/15/2020
539182,10,9/16/2020
196680,10,9/17/2020
196681,10,9/18/2020
663419,10,9/19/2020
281498,10,9/21/2020
281499,10,9/22/2020
281500,10,9/23/2020
298801,10,9/24/2020
354883,10,9/25/2020
651772,10,9/26/2020
475987,10,9/27/2020
476931,10,9/28/2020
475991,10,9/29/2020
475988,10,9/30/2020
352016,10,10/1/2020
679090,10,10/2/2020
475994,10,10/3/2020
476949,10,10/4/2020
476950,10,10/5/2020
346667,10,10/6/2020
654229,10,10/7/2020
651891,10,10/8/2020
476959,10,10/9/2020
476938,10,10/10/2020
476936,10,10/11/2020
652574,10,10/12/2020
653030,10,10/13/2020
651969,10,10/14/2020
551042,10,10/15/2020
551043,10,10/16/2020
628074,10,10/17/2020
668290,10,10/18/2020
245298,10,10/19/2020
554510,10,10/20/2020
554523,10,10/21/2020
323487,10,10/22/2020
298682,10,10/23/2020
320343,10,10/24/2020
320344,10,10/25/2020
305481,10,10/26/2020
141662,10,10/27/2020
305479,10,10/28/2020
371243,10,10/29/2020
624625,10,10/30/2020
625767,11,10/31/2020
630763,12,11/1/2020
625765,13,11/2/2020
630791,14,11/3/2020
487907,15,11/4/2020
240939,16,11/5/2020
611732,17,11/6/2020
663982,18,11/7/2020
624480,19,11/8/2020
627331,20,11/9/2020
443925,21,11/10/2020
627329,22,11/11/2020
627332,23,11/12/2020
627328,24,11/13/2020
663981,25,11/14/2020
663988,26,11/15/2020
627314,27,11/16/2020
627327,28,11/17/2020
626997,29,11/18/2020
627326,30,11/19/2020
663983,31,11/20/2020
624479,32,11/21/2020
627330,33,11/22/2020
626630,34,11/23/2020
324267,35,11/24/2020
627160,36,11/25/2020
693896,37,11/26/2020
476664,38,11/27/2020
370351,39,11/28/2020
528888,40,11/29/2020
502299,41,11/30/2020
641849,42,12/1/2020
643215,43,12/2/2020
643216,44,12/3/2020
642931,45,12/4/2020
592593,46,12/5/2020
671538,47,12/6/2020
224938,48,12/7/2020
541078,49,12/8/2020
664051,50,12/9/2020
664047,51,12/10/2020
645815,52,12/11/2020
67294,53,12/12/2020
354890,54,12/13/2020
663984,55,12/14/2020
645817,56,12/15/2020
663985,57,12/16/2020
342280,58,12/17/2020
476963,59,12/18/2020
476043,60,12/19/2020
476006,61,12/20/2020
476956,62,12/21/2020
476009,63,12/22/2020
476955,64,12/23/2020
477034,65,12/24/2020
477015,66,12/25/2020
476954,67,12/26/2020
476957,68,12/27/2020
663986,69,12/28/2020
665371,70,12/29/2020
297260,71,12/30/2020
663987,72,12/31/2020
390465,73,1/1/2021
285368,74,1/2/2021
638521,75,1/3/2021
390470,76,1/4/2021
264456,77,1/5/2021
476933,78,1/6/2021
298685,79,1/7/2021
296593,80,1/8/2021
405018,81,1/9/2021
405039,82,1/10/2021
415360,83,1/11/2021
405069,84,1/12/2021
305478,85,1/13/2021
481580,86,1/14/2021
671568,87,1/15/2021
