country,distributor,customer,product_gmid,supply_price,resale_price,tender_price,special_resale,special_tender,promotion
ET,,,627546,4.503,4.288816504,0,0,0,Promoted
ET,,,632892,6.6975,6.378935939,0,0,0,Promoted
ET,,,261610,11.2955,10.7582338,0,0,0,Promoted
ET,,,196681,13.1955,12.56786102,0,0,0,Promoted
ET,,,655023,10.697,10.18820123,0,0,0,Promoted
ET,,,655024,14.497,13.80745566,0,0,0,Promoted
ET,,,655025,21.299,20.2859211,0,0,0,Promoted
ET,,,551042,6.897,6.568946797,0,0,0,Promoted
ET,,,615926,,0,0,0,0,Promoted
ET,,,380567,,0,0,0,0,Promoted
ET,,,515056,12.198,11.61780673,0,0,0,Promoted
ET,,,514930,15.5325,14.7937025,0,0,0,Promoted
ET,,,245298,0,2.714440825,0,0,0,non-promoted
ET,,,305481,7.201,6.858487152,0,0,0,promoted
ET,,,641849,8.797,8.378574014,0,0,0,promoted
ET,,,728129,11.096,10.56822295,0,0,0,promoted
ET,,,730439,35.891,34.18385813,0,0,0,promoted
ET,,,440221,0,4.976474846,0,0,0,non-promoted
ET,,,405018,0,4.605501267,0,0,0,non-promoted
ET,,,405039,0,4.867897213,0,0,0,non-promoted
ET,,,405069,0,4.596453131,0,0,0,non-promoted
ET,,,390465,0,2.452044879,0,0,0,non-promoted
ET,,,296593,0,3.519724937,0,0,0,non-promoted
ET,,,505579,3.2015,3.04922186,0,0,0,non-promoted
ET,,,287552,6.745,6.42417662,0,0,0,non-promoted
ET,,,298689,8.9015,8.478103511,0,0,0,promoted
ET,,,544062,20.2065,19.24538545,0,0,0,non-promoted
ET,,,479387,2.28,2.17155266,0,0,0,non-promoted
ET,,,479530,0,2.442996743,0,0,0,non-promoted
ET,,,426259,0,235.5057908,0,0,0,non-promoted
ET,,,633072,30.2955,28.85450597,0,0,0,promoted
ET,,,223652,0,10.22891784,0,0,0,promoted
ET,,,615902,39.9665,38.06550851,0,0,0,promoted
ET,,,196680,9.842,9.373868983,0,0,0,promoted
