country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
Ethiopia ,196680,12.75,9.85,9.3535,9.3535,
Ethiopia ,261604,3.16,4.5,3.192,4.2751,
Ethiopia ,261605,5.23,6.7,4.662,6.3651,
Ethiopia ,261610,9.72,11.3,8.5881,10.735,
Ethiopia ,196681,13.52,13.2,10.0321,12.54,
Ethiopia ,306222,8.45,10.7,5.1461,10.165,
Ethiopia ,306225,11.2,14.5,5.5001,13.7751,
Ethiopia ,306226,16.3,21.3,11.8598,20.2351,
Ethiopia ,551042,5.46,6.9,2.664,6.5551,
Ethiopia ,247831,12.88,12.2,9.2721,11.5901,
Ethiopia ,247832,14.05,15.54,11.476,14.763,
Ethiopia ,305481,5.86,7.2,5.168,6.84,
Ethiopia ,371243,6.16,8.8,4.3,8.3601,
Ethiopia ,502299,8.65,11.1,5.1393,10.545,
Ethiopia ,494133,25.37,35.9,22.2,34.1051,
Ethiopia ,440221,4.78,5.5,4.18,5.2251,
Ethiopia ,405018,3.03,4.44,4.218,4.218,
Ethiopia ,251814,8.06,14.8,10.5,14.06,
Ethiopia ,405039,3.06,4.5,4.2707,4.2707,
Ethiopia ,415360,8.2,14.8,10.5,14.06,
Ethiopia ,405069,3.08,4.83,4.5871,4.5871,
Ethiopia ,251823,7.37,14.8,10.5,14.06,
Ethiopia ,615902,36.1,42.18,35.0001,40.071,
Ethiopia ,380554,35.47,42.18,35.0001,40.071,
Ethiopia ,296593,2.64,3.7,2.886,3.515,
Ethiopia ,305478,3.12,3.2,2.1281,3.0401,
Ethiopia ,287552,4.76,7.1,3.626,6.745,
Ethiopia ,298689,6.18,8.9,4.1625,8.4551,
Ethiopia ,222428,16.83,20.22,8.51,19.2024,
Ethiopia ,479387,1.44,2.4,1.3498,2.28,
Ethiopia ,479530,1.63,2.7,1.7813,2.5651,
Ethiopia ,413689,65.65,70.1,29.045,66.595,
Ethiopia ,415325,310.03,380.4,258.1032,361.38,
Ethiopia ,545747,18.42,30.3,16.65,28.7851,
Ethiopia ,643216,25.37,35.9,22.2,34.1051,
Ethiopia ,641849,6.16,8.8,4.3,8.3601,
Ethiopia ,639918,8.65,11.1,5.1393,10.545,
