Month,Country,distributor,GMID,Product,Qty,Source
1,UG,Lifepharma,287552,NO - SPA 40MG TAB BL10x10,1056,EPDIS
1,UG,Lifepharma,508116,NO-SPA 40MG/2ML INJ AMP/25,600,EPDIS
1,UG,Lifepharma,477015,FLEMING 500-125MG TAB BL2X7,660,EPDIS
1,UG,Lifepharma,660728,RHINATHIOL 2.5G/125ML  1SYR,1200,EPDIS
1,UG,Lifepharma,660727,RHINATHIOL 6.25G/125ML  1SYR,1200,EPDIS
1,UG,Lifepharma,641849,EPILIM 200MG TAB BL10X10,224,EPDIS
1,UG,Lifepharma,641849,EPILIM 200MG/5ML SYR300ML,240,EPDIS
1,UG,Lifepharma,655023,CLEXANE 4000IU/0.4ML INJ2,270,EPDIS
1,UG,Lifepharma,655024,CLEXANE 6000IU/0.6ML INJ2,270,EPDIS
1,UG,Lifepharma,655025,CLEXANE 8000IU/0.8ML INJ2,270,EPDIS
1,UG,Highchem,508116,NO-SPA 40MG/2ML INJ AMP/25,320,EPDIS
1,UG,Highchem,641849,EPILIM 200MG/5ML SP300ML,144,EPDIS
1,UG,Highchem,655023,CLEXANE 4KIU/0.4ML INJ2,360,EPDIS
1,TZ,Laborex,287552,NO - SPA 40MG CP BL10x10,960,EPDIS
1,TZ,Laborex,307013,AMARYL M 2MG/500MG CP30,300,EPDIS
1,TZ,Laborex,635227,RHINATHIOL PROMETH SP/125ML,1200,EPDIS
1,TZ,Laborex,477825,RHINATHIOL 5% AD SS SP 200ML,480,EPDIS
1,TZ,Laborex,479387,RHINATHIOL2% ENFT SP FL/125ML,1440,EPDIS
1,TZ,Laborex,479530,RHINATHIOL AD 5% SP FL/125ML,1200,EPDIS
1,TZ,Laborex,641849,EPILIM 200MG/5ML SP300ML,480,EPDIS
1,TZ,Laborex,655025,CLEXANE 8KIU/0.8ML INJ2,360,EPDIS
2,ET,EBG,196680,APROVEL 150MG TAB BL2x14,216,EPDIS
2,ET,EBG,247831,"CO-APROVEL 150/12,5MG TAB28",216,EPDIS
2,ET,EBG,247832,"CO-APROVEL 300/12,5MG TAB28",144,EPDIS
2,ET,EBG,627546,AMARYL 1MG TAB BL2x 15,360,EPDIS
2,ET,EBG,632892,AMARYL 2MG TAB BL2x 15,2000,EPDIS
2,ET,EBG,261610,AMARYL 4MG TAB BL2x 15,1344,EPDIS
2,ET,EBG,305481,DAONIL 5MG TAB100,2000,EPDIS
2,ET,EBG,505579,LASIX 40MG TAB20,1200,EPDIS
2,ET,EBG,615902,LANTUS SOLOSTAR 100IU 3ML 5PN,750,EPDIS
2,ET,EBG,730439,EPILIM CHRONO 500 TAB 10X10,500,EPDIS
2,ET,EBG,655023,CLEXANE 4000IU/0.4ML INJ2,1500,EPDIS
2,ET,EBG,655024,CLEXANE 6000IU/0.6ML INJ2,1500,EPDIS
2,ET,EBG,655025,CLEXANE 8000IU/0.8ML INJ2,450,EPDIS
3,ET,EBG,196680,APROVEL 150MG TAB BL2x14,216,EPDIS
3,ET,EBG,196681,APROVEL 300MG TAB BL2x14,144,EPDIS
3,ET,EBG,247831,"CO-APROVEL 150/12,5MG TAB28",432,EPDIS
3,ET,EBG,627546,AMARYL 1MG TAB BL2x 15,600,EPDIS
3,ET,EBG,632892,AMARYL 2MG TAB BL2x 15,2000,EPDIS
3,ET,EBG,261610,AMARYL 4MG TAB BL2x 15,2400,EPDIS
3,ET,EBG,298689,ORELOX 100MG TAB10,700,EPDIS
3,ET,EBG,544062,PLAVIX 75MG TAB28,192,EPDIS
3,ET,EBG,615902,LANTUS SOLOSTAR 100IU 3ML 5PN,500,EPDIS
3,ET,EBG,633072,XATRAL LP 10MG TAB30,600,EPDIS
3,ET,EBG,730439,EPILIM CHRONO 500 TAB 10X10,960,EPDIS
3,ET,EBG,655023,CLEXANE 4000IU/0.4ML INJ2,2700,EPDIS
3,ET,EBG,655025,CLEXANE 8000IU/0.8ML INJ2,450,EPDIS
3,ET,EBG,728129,EPILIM 200MG TAB BL10X10,1600,EPDIS
3,ET,PFSA,641849,EPILIM 200MG/5ML SP300ML,11711,EPDIS
