MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
1,ET,Beker,,Clexane 4000IU 21NJD SWI,200
1,ET,Beker,,NO-SPA Tab 40mg of 100 Total,10
1,ET,Dejen,,AMARYL 2MG Tab. BL2*15,480
1,ET,Dejen,,AMARYL 4MG Tab. BL2*15,2186
1,ET,Dejen,,CLEXANE 6000IU/0.6ML Inj 2,304
1,ET,Dejen,,CLEXANE 8000IU/0.8ML Inj. 2,90
1,ET,Dejen,,DAONIL 5MG Tab. 100,170
1,ET,Dejen,,LASIX 40MG TAB. 20,1319
1,ET,Dejen,,NO-SPA 40MG TAB. BL10*10,15
1,ET,Dejen,,ORELOX 100MG TAB10,405
1,ET,Dejen,,Rhinathiol 2.5G/125ML,1960
1,ET,Dejen,,Rhinathiol 6.25G/125ML,2011
1,ET,Dejen,,Xatral LP 10mg TAB 30,75
1,ET,Dugda,,AMARYL 2mg 2x15 Tab,379
1,ET,Dugda,,CLEXANE 4000 IU/0.4ml 2 INJ ,871
1,ET,Dugda,,CLEXANE 6000 IU/0.6ml 2 INJ ,228
1,ET,Dugda,,CLEXANE 8000 IU/0.8ml 2 INJ,116
1,ET,Dugda,,CLOMID 50 mg OF 10 Tab,330
1,ET,Dugda,,CO-Aprovel 150/12.5 mg of 28Tab,455
1,ET,Dugda,,CO-Aprovel 300/12.5 mg of 28Tab,190
1,ET,Dugda,,DAONIL 5 mg OF 100 Tab,4211
1,ET,Dugda,,NO-SPA 40 mg 10X10 Tab,273
1,ET,Dugda,,ORELOX 100 mg OF 10 Tab,876
1,ET,EBG,,Amaryl SA 2mg 30 tabs,70
1,ET,EBG,,DAONIL 5MG OF 10*10,10
1,ET,EBG,,Lantus solostar 300 units of 5,10
1,ET,EBG,,NO-SPA Tab 40mg of 100 Total,293
1,ET,EBG,,Rhinathiol SRP AD 5% 125ml ,240
1,ET,EBG,,Rhinathol 2% SRP ENF 125 ml EX LUS ,15
1,ET,Zemera,,Clexane 4000IU/0.4ml of 2,50
1,ET,Zemera,,Orelox 100mg of 10tab,63
1,TZ,Bahari,,Rhinothiol 6.25mg Adults ,10
1,TZ,JD,,FLEMING 228MG SYRUP 70ML (AUGMENTIN),3
1,TZ,JD,,SANOFI AMARYL M 2MG TABS 30S,10
1,TZ,JD,,SANOFI AMARYL TABS 1MG 30S,15
1,TZ,JD,,SANOFI AMARYL TABS 2MG 30S,22
1,TZ,JD,,SANOFI AMARYL TABS 4MG 30S UK,30
1,TZ,JD,,SANOFI CLEXANE INJ 40MG 2S (4000 ANTI-XA IU/0.4 ML),237
1,TZ,JD,,SANOFI EPILIM 200MG TAB 100S U.K,39
1,TZ,JD,,SANOFI EPILIM 200MG/5ML SYRUP * 300ML 1 U.K,34
1,TZ,JD,,SANOFI EPILIM CHRONO 500MG TAB 100S,70
1,TZ,JD,,SANOFI FLEMING 625MG TABS 14S,15
1,TZ,JD,,SANOFI NO-SPA 40MG TABS 100S,245
1,TZ,JD,,SANOFI NO-SPA 40MG TABS 20S,161
1,TZ,JD,,SANOFI ORELOX TABS 200MG 10S,49
1,TZ,JD,,SANOFI RHINATHIOL PROMETHAZINE SYRUP 125MLS,92
1,TZ,JD,,SANOFI RHINATHIOL SYRUP 2% CHILD 125MLS 1 U.K,727
1,TZ,JD,,SANOFI RHINATHIOL SYRUP 5% ADULT 125MLS 1 U.K,744
1,TZ,Laborex,,AMARYL TABS 1MG 30'S          ,11
1,TZ,Laborex,,AMARYL TABS 2MG 30'S          ,36
1,TZ,Laborex,,AMARYL TABS 4MG 30'S          ,16
1,TZ,Laborex,,EPILIM CHRONO TABS 500MG 100S ,28
1,TZ,Laborex,,EPILIM EC TABS 200MG 100'S    ,28
1,TZ,Laborex,,EPILIM SYRUP 200MG/5ML 300ML  ,159
1,TZ,Laborex,,NO SPA 40MG CP B/100          ,-8
1,TZ,Laborex,,RHINATHIOL AD 5% S/S 10G200ML ,943
1,TZ,Laborex,,"RHINATHIOL ENF 2% 2,5G /125ML ",772
1,UG,Eris,,"Bioferon 305mg Caps, 30's",11
1,UG,Eris,,"Clexane 40mg Inj, 2's",72
1,UG,Eris,,"Clexane 80mg Inj, 2's",34
1,UG,Eris,,"Epilim 200mg Tabs, 100's",8
1,UG,Eris,,"Epilim Chrono 500mg Tabs, 100's",11
1,UG,Eris,,"Epilim Syrup 200mg/5ml, 300ml",2
1,UG,Eris,,"Flagentyl 500mg Tabs, 4's",19
1,UG,Eris,,"Fleming 228mg/5ml, 70ml",310
1,UG,Eris,,"Fleming 625mg Tabs, 14's",318
1,UG,Eris,,"Lantus Solostar 100IU, 3ml 5PN",2
1,UG,Eris,,"Maalox Plus 200mg Tabs, 4x10",22
1,UG,Eris,,"No Spa 40mg Tabs, 100's",28
1,UG,Eris,,"Orelox 100mg Tabs, 10's",1
1,UG,Eris,,"Rhinathiol Chesty Cough Adult, 125ml",10
1,UG,Laborex,,AMARYL TABS 1MG 30'S          ,84
1,UG,Laborex,,AMARYL TABS 2MG 30'S          ,10
1,UG,Laborex,,AMARYL TABS 4MG 30'S          ,10
1,UG,Laborex,,CLEXANE 40MG INJ 2'S          ,125
