MONTH,COUNTRY,DISTRIBUTOR,Distributor NAMING,QUANTITY_UNITS
1,ET,Beker,Amaryl SA 2mg 30 tabs,4
1,ET,Beker,Amaryl SA 4mg 2*15 tabs,5
1,ET,Beker,Clexane 4000IU 21NJD SWI,306
1,ET,Beker,Clexane 6000IU 21NJD SWI,901
1,ET,Beker,Clexane 8000IU 21NJD SWI,23
1,ET,Beker,Clomid 50mg 10 tab,3
1,ET,Beker,NO-SPA Tab 40mg of 100 Total,18
1,ET,Dejen,AMARYL 2MG Tab. BL2*15,4474
1,ET,Dejen,AMARYL 4MG Tab. BL2*15,881
1,ET,Dejen,CLEXANE 4000 IU/0.4ml 2 INJ ,4000
1,ET,Dejen,CLEXANE 6000IU/0.6ML Inj 2,3286
1,ET,Dejen,CLEXANE 8000IU/0.8ML Inj. 2,1650
1,ET,Dejen,DAONIL 5MG Tab. 100,30833
1,ET,Dejen,EPILIM 200 mg 10X10 Tab,2836
1,ET,Dejen,EPILIM 200 mg/5ml syrup,7
1,ET,Dejen,EPILIM CHRONO 500 mg 10X10 Tab,3
1,ET,Dejen,LASIX 40MG TAB. 20,675
1,ET,Dejen,NO-SPA 40MG TAB. BL10*10,1340
1,ET,Dejen,ORELOX 100MG TAB10,3591
1,ET,Dejen,Rhinathiol 2.5G/125ML,14427
1,ET,Dejen,Rhinathiol 6.25G/125ML,23000
1,ET,Dejen,Xatral LP 10mg TAB 30,595
1,ET,Dugda,AMARYL 4mg 2x15 Tab,54
1,ET,Dugda,CLEXANE 4000 IU/0.4ml 2 INJ ,997
1,ET,Dugda,CLEXANE 8000 IU/0.8ml 2 INJ,498
1,ET,Dugda,CLOMID 50 mg OF 10 Tab,321
1,ET,Dugda,CO-Aprovel 150/12.5 mg of 28Tab,1203
1,ET,Dugda,CO-Aprovel 300/12.5 mg of 28Tab,696
1,ET,Dugda,DAONIL 5 mg OF 100 Tab,7467
1,ET,Dugda,NO-SPA 40 mg 10X10 Tab,3205
1,ET,Dugda,ORELOX 100 mg OF 10 Tab,3676
1,ET,EBG,Amaryl SA 2mg 30 tabs,31
1,ET,EBG,Aprovel  Rm 150 28cap,47
1,ET,EBG,Aprovel Rm 300 28cap,40
1,ET,EBG,Clexane 4000IU 21NJD SWI,620
1,ET,EBG,Clexane 6000IU 21NJD SWI,514
1,ET,EBG,DAONIL 5MG OF 10*10,208
1,ET,EBG,LASIX 40MG OF 20,25
1,ET,EBG,NO-SPA Tab 40mg of 100 Total,2756
1,ET,EBG,Rhinathiol SRP AD 5% 125ml ,17
1,ET,Zemera,Clexane 6000IU/0.6ml of 2,965
1,ET,Zemera,Clexane 8000IU/0.8ml of 2,185
1,TZ,Bahari,Epilim Tabs 200mg ,129
1,TZ,Bahari,Flagently Tabs 500mg-4,189
1,TZ,Bahari,FLEMING SYRUP 228,294
1,TZ,Bahari,FLEMING TABLET 625,527
1,TZ,Bahari,No-Spa Tabs 40mg 100'S,1
1,TZ,Bahari,Orelox 200mg Tabs,430
1,TZ,Bahari,Rhinathiol Adults Sugarfree,3
1,TZ,Bahari,Rhinothiol 6.25mg Adults ,2565
1,TZ,JD,FLEMING 228MG SYRUP 70ML (AUGMENTIN),74
1,TZ,JD,SANOFI AMARYL M 2MG TABS 30S,1128
1,TZ,JD,SANOFI AMARYL TABS 1MG 30S,185
1,TZ,JD,SANOFI AMARYL TABS 2MG 30S,245
1,TZ,JD,SANOFI AMARYL TABS 4MG 30S UK,153
1,TZ,JD,SANOFI EPILIM 200MG/5ML SYRUP * 300ML 1 U.K,353
1,TZ,JD,SANOFI EPILIM CHRONO 500MG TAB 100S,117
1,TZ,JD,SANOFI FLEMING 625MG TABS 14S,337
1,TZ,JD,SANOFI NO-SPA 40MG TABS 100S,511
1,TZ,JD,SANOFI NO-SPA 40MG TABS 20S,385
1,TZ,JD,SANOFI ORELOX TABS 200MG 10S,13
1,TZ,JD,SANOFI RHINATHIOL PROMETHAZINE SYRUP 125MLS,1
1,TZ,JD,SANOFI RHINATHIOL SYRUP 2% CHILD 125MLS 1 U.K,6541
1,TZ,JD,SANOFI RHINATHIOL SYRUP 5% ADULT 125MLS 1 U.K,441
1,TZ,Laborex,AMARYL TABS 1MG 30'S          ,390
1,TZ,Laborex,AMARYL TABS 2MG 30'S          ,438
1,TZ,Laborex,AMARYL TABS 4MG 30'S          ,3
1,TZ,Laborex,"RHINATHIOL ENF 2% 2,5G /125ML ",763
1,UG,Eris,"Bioferon 305mg Caps, 30's",436
1,UG,Eris,Cordarone 200mg Tabs 30's,8
1,UG,Eris,"Epilim 200mg Tabs, 100's",75
1,UG,Eris,"Epilim Chrono 500mg Tabs, 100's",28
1,UG,Eris,"Epilim Syrup 200mg/5ml, 300ml",221
1,UG,Eris,"Flagentyl 500mg Tabs, 4's",170
1,UG,Eris,"Fleming 228mg/5ml, 70ml",1636
