GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
475871,VE,9792,,SI,EPDIS,FR
475875,VE,1184,,SI,EPDIS,FR
475982,VE,11160,,SI,EPDIS,FR
476624,VE,117,,SI,EPDIS,FR
476998,VE,1920,,SI,EPDIS,FR
476956,VE,25350,,SI,EPDIS,FR
476957,VE,15572,,SI,EPDIS,FR
476963,VE,7980,,SI,EPDIS,FR
477015,VE,14827,,SI,EPDIS,FR
476518,VE,50051,,SI,EPDIS,FR
477787,VE,2230,,SI,EPDIS,FR
476712,VE,16327,,SI,EPDIS,FR
Div Rx 1,VE,,-1334.44,SI,TEDIS C/M BURKINA FASO,FR
Div Rx 1,VE,,-8946.88,SI,G.A.P.O.B. GROUPEMENT D ACHAT DES,BJ
Div Rx 1,VE,,-3016.36,SI,UNION BENINOISE DE PHARMACIENS,BJ
Div Rx 1,VE,,-8492.8,SI,MEX P/C  D.P.C.I.,CI
Div Rx 1,VE,,-6205.44,SI,TEDIS PHARMA COTE D IVOIRE,FR
Div Rx 1,VE,,-1210.34,SI,GRANDE PHARMACIE DES FORESTIERS,GA
Div Rx 2,VE,,-9917.59,SI,EPDIS,FR
305928,RE,,-99,SI,C O F A R M A,MG
354950,VE,,-70.35,SI,C O F A R M A,MG
476716,VE,,-218,SI,PLANETPHARMA S.A.    NE,NE
Div Rx 2,VE,,-17507.94,SI,EPDIS,FR
476518,DC,,-8.96952,SI,MEX P/C DPBF,BF
476963,DC,,-33.36875,SI,MEX P/C DPBF,BF
298709,DC,,-9.71698,SI,UBIPHARM BURKINA,BF
310637,DC,,-3.10329375,SI,UBIPHARM BURKINA,BF
39171,DC,,-13.61445,SI,UBIPHARM BURKINA,BF
209742,DC,,-38.4408,SI,UBIPHARM BURKINA,BF
268013,DC,,-36.759015,SI,UBIPHARM BURKINA,BF
592989,DC,,-6.540275,SI,UBIPHARM BURKINA,BF
592980,DC,,-4.53815,SI,UBIPHARM BURKINA,BF
306218,DC,,-40.074534,SI,UBIPHARM BURKINA,BF
346667,DC,,-16.017,SI,UBIPHARM BURKINA,BF
282319,DC,,-67.2714,SI,UBIPHARM BURKINA,BF
196681,DC,,-5.76612,SI,UBIPHARM BURKINA,BF
374872,DC,,-17.106156,SI,UBIPHARM BURKINA,BF
293665,DC,,-10.2108375,SI,UBIPHARM BURKINA,BF
354950,DC,,-8.157992,SI,UBIPHARM BURKINA,BF
249439,DC,,-25.434996,SI,UBIPHARM BURKINA,BF
571696,DC,,-21.735069,SI,UBIPHARM BURKINA,BF
408003,DC,,-12.258344,SI,UBIPHARM BURKINA,BF
476947,DC,,-37.5732125,SI,LABOREX BURKINA,BF
307013,DC,,-25.41364,SI,LABOREX BURKINA,BF
489540,DC,,-103.79016,SI,UBIPHARM BURKINA,BF
476938,DC,,-1.6017,SI,TEDIS BURKINA,BF
476938,DC,,-1.6017,SI,LABOREX BURKINA,BF
306216,DC,,-4.773066,SI,TEDIS BURKINA,BF
282348,DC,,-9.6102,SI,TEDIS BURKINA,BF
247832,DC,,-11.53224,SI,TEDIS BURKINA,BF
479387,DC,,-34.084176,SI,TEDIS BURKINA,BF
476518,DC,,-44.8476,SI,LABOREX BURKINA,BF
298709,DC,,-2.24238,SI,TEDIS BURKINA,BF
289137,DC,,-52.64254,SI,MEX P/C DPBF,BF
630791,DC,,-3.977555,SI,MEX P/C DPBF,BF
625767,DC,,-1.92204,SI,MEX P/C DPBF,BF
346666,DC,,-4.148403,SI,MEX P/C DPBF,BF
479530,DC,,-4.9930328,SI,MEX P/C DPBF,BF
287552,DC,,-1.3160635,SI,LABOREX BURKINA,BF
630763,DC,,-6.35341,SI,TEDIS BURKINA,BF
476947,DC,,-57.6612,SI,UBIPHARM BURKINA,BF
307013,DC,,-10.165456,SI,UBIPHARM BURKINA,BF
539182,DC,,-4.00425,SI,UBIPHARM BURKINA,BF
545747,DC,,-98.13082,SI,LABOREX BURKINA,BF
310637,DC,,-4.137725,SI,LABOREX BURKINA,BF
209742,DC,,-28.8306,SI,LABOREX BURKINA,BF
592979,DC,,-7.4746,SI,LABOREX BURKINA,BF
