country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
KE,475652,0.76,3.4,,3.23,
KE,554510,7.4,8.82,,8.379,
KE,261608,5.7,6,,5.7,
KE,321233,4.77,5.83,,5.5385,
KE,475862,0.99,2.4,,2.28,
KE,539185,13.29,11.68,,11.096,
KE,539183,12.94,11.6,,11.02,
KE,539181,14.94,14.5,,13.775,
KE,539182,14.03,13.7,,13.015,
KE,196680,12.75,10.6,,10.07,
KE,196681,13.52,13.72,,13.034,
KE,475987,1.84,2,,1.9,
KE,475988,3.59,3.9,,3.705,
KE,475991,1.01,1.16,,1.102,
KE,475994,1.37,1.16,,1.102,
KE,352016,1.14,1.26,,1.197,
KE,476936,1.82,2.1,,1.995,
KE,306220,4.72,5.36,,5.092,
KE,306222,8.45,8.61,,8.1795,
KE,306225,11.2,11.76,,11.172,
KE,306226,16.3,17.22,,16.359,
KE,247831,12.88,12.08,,11.476,
KE,247832,14.05,15.12,,14.364,
KE,370351,139.49,75,,71.25,
KE,407096,334.2,155,,147.25,
KE,528888,2.42,2.97,,2.8215,
KE,371243,6.16,6.72,,6.384,
KE,502299,8.65,9.45,,8.9775,
KE,592593,2.28,3.35,,3.1825,
KE,671538,2.27,2.56,,2.432,
KE,664051,2.72,1.66,,1.577,
KE,664047,2.72,1.66,,1.577,
KE,476963,6.5,12,,11.4,
KE,476009,1.17,1.85,,1.7575,
KE,477015,1.23,2.2,,2.09,
KE,477034,1.9,2.4,,2.28,
KE,476043,3.31,3.75,,3.5625,
KE,476933,0.81,0.9,,0.855,
KE,405018,3.03,4,,3.8,
KE,405039,3.06,4.05,,3.8475,
KE,415360,8.2,11.29,,10.7255,
KE,405069,3.08,4.35,,4.1325,
KE,251823,7.37,11.29,,10.7255,
KE,671563,1.89,2.21,,2.0995,
KE,671568,2.33,2.94,,2.793,
KE,241634,34.3,28,,26.6,
KE,296593,2.64,2.75,,2.6125,
KE,305478,3.12,3.88,,3.686,
KE,292174,2.31,2.5,,2.375,
KE,476941,1.9,2.1,,1.995,
KE,213714,10.71,11.84,,11.248,
KE,289137,4.49,4.52,,4.294,
KE,289138,1.02,1.13,,1.0735,
KE,287552,4.76,5.18,,4.921,
KE,287550,1.25,1.37,,1.3015,
KE,287553,2.46,2.73,,2.5935,
KE,476518,3.09,0.7,,0.665,
KE,298689,6.18,6.82,,6.479,
KE,374872,7.1,7.77,,7.3815,
