country,GMID,"Unified Price
EUR ","Target Resell price
EUR","Tender Price
EUR ","Supply Price
EUR",promotion
KE,268012,2.91,3.06,2.3256,2.907,non-promoted
KE,268013,4.36,4.59,3.4884,4.3605,non-promoted
KE,268014,5.7,6,4.56,5.7,non-promoted
KE,268015,9.2,9.7,7.372,9.215,non-promoted
KE,307013,5.22,4.76,3.6176,4.522,non-promoted
KE,321233,4.77,4.94,,4.693,non-promoted
KE,475982,0.76,0.8,0.722,0.76,non-promoted
KE,475871,0.95,1,0.76,0.95,non-promoted
KE,475875,19.16,20,19,19,non-promoted
KE,196680,12.75,13.67,10.3892,12.9865,non-promoted
KE,196681,13.52,14.4,11.2973,13.68,non-promoted
KE,281498,1.02,1.04,0.7904,0.988,non-promoted
KE,298801,1.96,2.03,,1.9285,non-promoted
KE,281499,1.07,1.11,0.8436,1.0545,non-promoted
KE,281500,1.31,1.37,1.0412,1.3015,non-promoted
KE,354883,0.94,1,0.8075,0.95,non-promoted
KE,679090,1.37,1.5,1.14,1.425,non-promoted
KE,698116,1.01,1.05,0.798,0.9975,non-promoted
KE,636858,2.87,3,2.28,2.85,non-promoted
KE,551042,5.46,5.64,4.2864,5.358,non-promoted
KE,551043,2.71,2.85,2.166,2.7075,non-promoted
KE,247831,12.88,13.67,10.3892,12.9865,non-promoted
KE,515056,12.88,13.67,10.3892,12.9865,non-promoted
KE,247832,14.05,14.4,12.9235,13.68,non-promoted
KE,514930,14.05,14.4,12.9235,13.68,non-promoted
KE,554523,7.4,7.97,6.0572,7.5715,non-promoted
KE,323487,2.28,2.4,1.824,2.28,non-promoted
KE,298682,1.3,1.37,1.0412,1.3015,non-promoted
KE,320343,2.91,3.07,2.3332,2.9165,non-promoted
KE,320344,5.2,5.38,4.0888,5.111,non-promoted
KE,305481,5.86,6.05,4.598,5.7475,non-promoted
KE,305479,1.39,1.45,1.102,1.3775,non-promoted
KE,681573,6.5,7.45,5.662,7.0775,non-promoted
KE,624625,2.31,2.39,2.2705,2.2705,non-promoted
KE,681801,2.31,2.39,2.2705,2.2705,non-promoted
KE,630763,5.83,5.95,5.6525,5.6525,non-promoted
KE,681805,5.83,5.95,5.6525,5.6525,non-promoted
KE,625765,3.66,3.89,3.3535,3.6955,non-promoted
KE,735804,3.66,3.89,3.3535,3.6955,non-promoted
KE,625767,3.4,3.6,3.1065,3.42,non-promoted
KE,240939,5.04,5.31,4.0356,5.0445,non-promoted
KE,611732,2.51,2.64,2.0064,2.508,non-promoted
KE,627331,0.93,0.99,0.7524,0.9405,non-promoted
KE,627329,0.85,0.9,0.684,0.855,non-promoted
KE,627332,0.93,0.99,0.7524,0.9405,non-promoted
KE,627328,0.85,0.9,0.684,0.855,non-promoted
KE,624480,0.87,0.93,0.7068,0.8835,non-promoted
KE,627314,0.93,0.99,0.7524,0.9405,non-promoted
KE,627327,0.85,0.9,0.684,0.855,non-promoted
KE,626997,0.92,0.99,0.7524,0.9405,non-promoted
KE,627326,0.85,0.9,,0.855,non-promoted
KE,626630,1,1.05,0.9477,0.9975,non-promoted
KE,292037,0.94,1.05,,0.9975,non-promoted
KE,627330,0.83,0.86,0.6536,0.817,non-promoted
KE,686669,0.89,0.94,0.8037,0.893,non-promoted
KE,624479,0.89,0.94,0.8037,0.893,non-promoted
KE,626998,1.25,1.3,0.988,1.235,non-promoted
KE,627160,1.8,1.95,1.482,1.8525,non-promoted
KE,618677,2.42,2.54,1.9304,2.413,non-promoted
KE,671538,2.27,1.74,1.3224,1.653,non-promoted
KE,541078,3.56,3.73,2.8348,3.5435,non-promoted
KE,224938,2.57,2.7,2.052,2.565,non-promoted
KE,664051,2.37,3.18,2.4168,3.021,non-promoted
KE,67933,53.93,57.17,,54.3115,non-promoted
KE,678014,1.73,1.8,1.539,1.71,non-promoted
KE,642941,1.75,1.84,1.3984,1.748,non-promoted
KE,476956,4.32,4.55,3.458,4.3225,non-promoted
KE,476963,6.5,6.25,4.75,5.9375,non-promoted
KE,476955,1.76,1.85,1.406,1.7575,non-promoted
KE,476957,2.85,3,2.28,2.85,non-promoted
KE,476954,2.85,3,2.28,2.85,non-promoted
KE,285368,2.74,2.87,2.1812,2.7265,non-promoted
KE,698115,0.81,0.85,0.646,0.8075,non-promoted
KE,625681,2.32,3.51,2.6676,3.3345,non-promoted
KE,518938,0.76,0.8,0.76,0.76,non-promoted
KE,311168,1.9,1.99,1.5124,1.8905,non-promoted
KE,311166,1.19,1.24,0.9424,1.178,non-promoted
KE,293665,2.51,2.55,,2.4225,non-promoted
KE,239907,1.31,1.33,,1.2635,non-promoted
KE,647515,1.31,1.33,,1.2635,non-promoted
KE,292174,2.31,2.5,1.9,2.375,non-promoted
KE,436433,1.49,1.57,1.1932,1.4915,non-promoted
KE,214082,1.89,1.93,1.6502,1.8335,non-promoted
KE,645863,1.81,1.85,1.406,1.7575,non-promoted
KE,647301,2.54,2.61,1.9836,2.4795,non-promoted
KE,476712,1.9,2,1.52,1.9,non-promoted
KE,289137,4.49,4.93,3.7468,4.6835,non-promoted
KE,508116,4.49,4.93,3.7468,4.6835,non-promoted
KE,289138,1.02,1.07,0.8132,1.0165,non-promoted
KE,287552,4.76,4.93,3.7468,4.6835,non-promoted
KE,287550,1.25,1.3,0.988,1.235,non-promoted
KE,287553,2.46,2.55,1.938,2.4225,non-promoted
KE,609071,1.24,1.31,0.9956,1.2445,non-promoted
KE,671597,1.55,1.67,1.2692,1.5865,non-promoted
KE,311122,2.29,2.59,1.9684,2.4605,non-promoted
KE,632425,4.53,4.5,3.42,4.275,non-promoted
KE,298689,6.18,6.49,4.9324,6.1655,non-promoted
KE,374872,7.1,7.5,5.7,7.125,non-promoted
KE,298691,7.4,7.53,5.7228,7.1535,non-promoted
KE,298693,4.41,4.31,3.2756,4.0945,non-promoted
KE,695822,6.7,7.17,5.4492,6.8115,non-promoted
KE,695820,6.87,7.08,5.3808,6.726,non-promoted
KE,695816,3.34,3.28,2.4928,3.116,non-promoted
KE,639164,1.85,1.91,1.4516,1.8145,non-promoted
KE,540717,1.35,1.44,1.0944,1.368,non-promoted
KE,172136,33.55,35.37,31.9215,33.6015,non-promoted
KE,671609,2.61,2.7,2.052,2.565,non-promoted
KE,639608,1.51,1.57,1.1932,1.4915,non-promoted
KE,571696,13,13.57,10.3132,12.8915,non-promoted
KE,187750,2.67,2.81,2.1356,2.6695,non-promoted
KE,187747,4.11,4.41,3.3516,4.1895,non-promoted
KE,479387,1.44,1.53,1.1552,1.4535,non-promoted
KE,660728,1.44,1.53,1.1552,1.4535,non-promoted
KE,323470,2.6,2.74,2.0824,2.603,non-promoted
KE,323473,1.23,0.92,0.874,0.874,non-promoted
KE,355560,3.14,3.25,2.47,3.0875,non-promoted
KE,624775,3.52,3.7,,3.515,non-promoted
KE,624774,3.48,3.66,,3.477,non-promoted
KE,298698,6.52,6.86,5.2136,6.517,non-promoted
KE,636827,2.61,2.44,1.8544,2.318,non-promoted
KE,298711,3.26,3.43,2.6068,3.2585,non-promoted
KE,694156,12.24,10.2,7.752,9.69,non-promoted
KE,310637,8.78,7.75,5.89,7.3625,non-promoted
KE,413689,45.8,58,44.08,55.1,non-promoted
KE,414074,106.4,174,132.24,165.3,non-promoted
KE,671637,2.97,3.16,2.4016,3.002,non-promoted
KE,671639,6.17,6.49,4.9324,6.1655,non-promoted
KE,269069,1.82,1.97,1.4972,1.8715,non-promoted
KE,489540,1.54,1.62,1.2312,1.539,non-promoted
KE,489541,0.93,0.98,0.7448,0.931,non-promoted
KE,666655,13.3,14,10.64,13.3,non-promoted
KE,679231,6.65,7,5.32,6.65,non-promoted
KE,666654,8.08,8.5,6.46,8.075,non-promoted
KE,646799,5.38,5.7,,5.415,non-promoted
,627667,6.18,6.5,4.94,6.175,
,627060,6.65,7,5.32,6.65,
,627061,3.81,4,3.8,3.8,
,627062,5.72,6,5.7,5.7,
,612011,17.79,18.63,14.1588,17.6985,
,633072,18.42,18.38,13.9688,17.461,
,476947,0.46,0.5,0.38,0.475,
,624773,5.45,5.74,4.3624,5.453,
,666653,11.64,12.25,9.31,11.6375,
,662889,3.91,4.12,3.1312,3.914,
,650739,0.77,0.76,0.5776,0.722,
,663982,0.77,0.76,0.5776,0.722,
,650737,0.82,0.86,0.6536,0.817,
,663983,0.82,0.86,0.6536,0.817,
,663984,1.88,1.94,1.4744,1.843,
,663985,1.53,1.68,1.2768,1.596,
,663981,0.86,0.91,,0.8645,
,663996,15.93,17.51,,16.6345,
,663998,2.43,2.63,1.9988,2.4985,
,663992,2.02,1.96,,1.862,
,639628,6.01,6.31,4.7956,5.9945,
,671212,1.53,1.68,1.2768,1.596,
,635403,2.68,3.02,2.869,2.869,
,516219,9.5,10,7.6,9.5,
,268012,2.91,3.06,2.3256,2.907,
,268013,4.36,4.59,3.4884,4.3605,
,268014,5.7,6,4.56,5.7,
,268015,9.2,9.7,7.372,9.215,
,307013,5.22,4.76,3.6176,4.522,
,321233,4.77,4.76,,4.522,
